station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 06:00:00,6,0,0,74,4,13.7,0.0,Clear,1,New Year,74,0,18.5,0.335,low,2,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 07:00:00,7,0,0,294,6,17.7,0.0,Cloudy,1,New Year,368,0,49.0,0.888,high,5,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 08:00:00,8,0,0,852,14,18.6,0.0,Clear,1,New Year,1220,1,60.9,1.0,high,5,Morning Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 09:00:00,9,0,0,1076,14,18.5,0.0,Clear,1,New Year,2222,1,76.9,1.0,high,5,Morning Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 10:00:00,10,0,0,715,14,18.5,0.0,Clear,1,New Year,2643,1,51.1,0.926,high,5,Morning Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 11:00:00,11,0,0,462,7,17.5,0.0,Clear,1,New Year,2253,0,66.0,1.0,high,5,Mid Morning
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 12:00:00,12,0,0,460,7,18.0,0.0,Clear,1,New Year,1637,0,65.7,1.0,high,5,Mid Morning
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 13:00:00,13,0,0,403,7,16.1,0.0,Clear,1,New Year,1325,0,57.6,1.0,high,5,Mid Morning
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 14:00:00,14,0,0,396,7,14.7,0.0,Clear,1,New Year,1259,0,56.6,1.0,high,5,Afternoon
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 15:00:00,15,0,0,413,7,12.4,0.0,Clear,1,New Year,1212,0,59.0,1.0,high,5,Afternoon
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 16:00:00,16,0,0,550,7,12.0,0.0,Clear,1,New Year,1359,0,78.6,1.0,high,5,Afternoon
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 17:00:00,17,0,0,868,13,12.6,0.0,Clear,1,New Year,1831,1,66.8,1.0,high,5,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 18:00:00,18,0,0,913,13,11.8,0.0,Clear,1,New Year,2331,1,70.2,1.0,high,5,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 19:00:00,19,0,0,932,13,9.4,0.0,Clear,1,New Year,2713,1,71.7,1.0,high,5,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 20:00:00,20,0,0,637,13,9.6,0.0,Clear,1,New Year,2482,1,49.0,0.888,high,5,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 21:00:00,21,0,0,296,5,8.6,0.0,Clear,1,New Year,1865,0,59.2,1.0,high,5,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 22:00:00,22,0,0,122,5,10.3,0.0,Clear,1,New Year,1055,0,24.4,0.442,medium,3,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-01 23:00:00,23,0,0,39,0,10.5,0.0,Clear,1,New Year,457,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,161,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,39,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 06:00:00,6,1,0,58,4,14.5,0.0,Clear,0,,58,0,14.5,0.263,low,2,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 07:00:00,7,1,0,193,6,16.3,0.0,Clear,0,,251,0,32.2,0.583,medium,4,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 08:00:00,8,1,0,689,14,17.4,0.0,Cloudy,0,,940,1,49.2,0.891,high,5,Morning Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 09:00:00,9,1,0,741,14,18.4,0.0,Clear,0,,1623,1,52.9,0.958,high,5,Morning Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 10:00:00,10,1,0,516,14,20.4,0.0,Cloudy,0,,1946,1,36.9,0.668,high,4,Morning Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 11:00:00,11,1,0,349,7,19.8,0.0,Cloudy,0,,1606,0,49.9,0.904,high,5,Mid Morning
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 12:00:00,12,1,0,343,7,18.2,0.0,Clear,0,,1208,0,49.0,0.888,high,5,Mid Morning
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 13:00:00,13,1,0,312,7,16.1,0.0,Clear,0,,1004,0,44.6,0.808,high,5,Mid Morning
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 14:00:00,14,1,0,303,7,14.6,0.0,Clear,0,,958,0,43.3,0.784,high,5,Afternoon
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 15:00:00,15,1,0,307,7,13.0,0.0,Clear,0,,922,0,43.9,0.795,high,5,Afternoon
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 16:00:00,16,1,0,384,7,11.6,0.0,Clear,0,,994,0,54.9,0.995,high,5,Afternoon
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 17:00:00,17,1,0,604,13,11.3,0.0,Clear,0,,1295,1,46.5,0.842,high,5,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 18:00:00,18,1,0,666,13,11.6,0.0,Clear,0,,1654,1,51.2,0.928,high,5,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 19:00:00,19,1,0,602,13,10.7,0.0,Clear,0,,1872,1,46.3,0.839,high,5,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 20:00:00,20,1,0,451,13,11.3,0.0,Clear,0,,1719,1,34.7,0.629,medium,4,Evening Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 21:00:00,21,1,0,212,5,9.6,0.0,Clear,0,,1265,0,42.4,0.768,high,5,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 22:00:00,22,1,0,96,5,9.8,0.0,Clear,0,,759,0,19.2,0.348,low,2,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-02 23:00:00,23,1,0,27,0,9.3,0.0,Clear,0,,335,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,123,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,27,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 06:00:00,6,2,0,54,4,14.7,0.0,Cloudy,0,,54,0,13.5,0.245,low,2,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 07:00:00,7,2,0,208,6,16.2,0.0,Clear,0,,262,0,34.7,0.629,medium,4,Night
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 08:00:00,8,2,0,614,14,16.0,0.0,Clear,0,,876,1,43.9,0.795,high,5,Morning Peak
PK22,Mayur Vihar I Pink,Pink Line,2024-01-03 09:00:00,9,2,0,719,14,19.3,0.0,Clear,0,,1541,1,51.4,0.931,high,5,Morning Peak
