station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 06:00:00,6,0,0,80,4,13.7,0.0,Clear,1,New Year,80,0,20.0,0.338,low,2,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 07:00:00,7,0,0,316,6,17.7,0.0,Cloudy,1,New Year,396,0,52.7,0.89,high,5,Night
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 08:00:00,8,0,0,896,14,18.6,0.0,Clear,1,New Year,1292,1,64.0,1.0,high,5,Morning Peak
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 09:00:00,9,0,0,1082,14,18.5,0.0,Clear,1,New Year,2294,1,77.3,1.0,high,5,Morning Peak
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 10:00:00,10,0,0,688,14,18.5,0.0,Clear,1,New Year,2666,1,49.1,0.829,high,5,Morning Peak
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 11:00:00,11,0,0,468,7,17.5,0.0,Clear,1,New Year,2238,0,66.9,1.0,high,5,Mid Morning
PK26,Rajouri Garden Pink,Pink Line,2024-01-01 12:00:00,12,0,0,497,7,18.0,0.0,Clear,1,New Year,1653,0,71.0,1.0,high,5,Mid Morning
