station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 06:00:00,6,0,0,80,4,13.7,0.0,Clear,1,New Year,80,0,20.0,0.316,low,2,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 07:00:00,7,0,0,337,6,17.7,0.0,Cloudy,1,New Year,417,0,56.2,0.888,high,5,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 08:00:00,8,0,0,1025,14,18.6,0.0,Clear,1,New Year,1442,1,73.2,1.0,high,5,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 09:00:00,9,0,0,1136,14,18.5,0.0,Clear,1,New Year,2498,1,81.1,1.0,high,5,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 10:00:00,10,0,0,755,14,18.5,0.0,Clear,1,New Year,2916,1,53.9,0.852,high,5,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 11:00:00,11,0,0,524,7,17.5,0.0,Clear,1,New Year,2415,0,74.9,1.0,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 12:00:00,12,0,0,510,7,18.0,0.0,Clear,1,New Year,1789,0,72.9,1.0,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 13:00:00,13,0,0,455,7,16.1,0.0,Clear,1,New Year,1489,0,65.0,1.0,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 14:00:00,14,0,0,461,7,14.7,0.0,Clear,1,New Year,1426,0,65.9,1.0,high,5,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 15:00:00,15,0,0,458,7,12.4,0.0,Clear,1,New Year,1374,0,65.4,1.0,high,5,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 16:00:00,16,0,0,597,7,12.0,0.0,Clear,1,New Year,1516,0,85.3,1.0,high,5,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 17:00:00,17,0,0,920,13,12.6,0.0,Clear,1,New Year,1975,1,70.8,1.0,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 18:00:00,18,0,0,1150,13,11.8,0.0,Clear,1,New Year,2667,1,88.5,1.0,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 19:00:00,19,0,0,959,13,9.4,0.0,Clear,1,New Year,3029,1,73.8,1.0,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 20:00:00,20,0,0,758,13,9.6,0.0,Clear,1,New Year,2867,1,58.3,0.921,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 21:00:00,21,0,0,330,5,8.6,0.0,Clear,1,New Year,2047,0,66.0,1.0,high,5,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 22:00:00,22,0,0,149,5,10.3,0.0,Clear,1,New Year,1237,0,29.8,0.471,medium,3,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-01 23:00:00,23,0,0,43,0,10.5,0.0,Clear,1,New Year,522,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,192,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,43,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 06:00:00,6,1,0,64,4,14.5,0.0,Clear,0,,64,0,16.0,0.253,low,2,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 07:00:00,7,1,0,250,6,16.3,0.0,Clear,0,,314,0,41.7,0.659,high,4,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 08:00:00,8,1,0,704,14,17.4,0.0,Cloudy,0,,1018,1,50.3,0.795,high,5,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 09:00:00,9,1,0,888,14,18.4,0.0,Clear,0,,1842,1,63.4,1.0,high,5,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 10:00:00,10,1,0,612,14,20.4,0.0,Cloudy,0,,2204,1,43.7,0.69,high,4,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 11:00:00,11,1,0,408,7,19.8,0.0,Cloudy,0,,1908,0,58.3,0.921,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 12:00:00,12,1,0,382,7,18.2,0.0,Clear,0,,1402,0,54.6,0.863,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 13:00:00,13,1,0,364,7,16.1,0.0,Clear,0,,1154,0,52.0,0.821,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 14:00:00,14,1,0,322,7,14.6,0.0,Clear,0,,1068,0,46.0,0.727,high,4,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 15:00:00,15,1,0,352,7,13.0,0.0,Clear,0,,1038,0,50.3,0.795,high,5,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 16:00:00,16,1,0,475,7,11.6,0.0,Clear,0,,1149,0,67.9,1.0,high,5,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 17:00:00,17,1,0,639,13,11.3,0.0,Clear,0,,1466,1,49.2,0.777,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 18:00:00,18,1,0,804,13,11.6,0.0,Clear,0,,1918,1,61.8,0.976,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 19:00:00,19,1,0,728,13,10.7,0.0,Clear,0,,2171,1,56.0,0.885,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 20:00:00,20,1,0,552,13,11.3,0.0,Clear,0,,2084,1,42.5,0.671,high,4,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 21:00:00,21,1,0,240,5,9.6,0.0,Clear,0,,1520,0,48.0,0.758,high,5,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 22:00:00,22,1,0,98,5,9.8,0.0,Clear,0,,890,0,19.6,0.31,low,2,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-02 23:00:00,23,1,0,33,0,9.3,0.0,Clear,0,,371,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,131,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,33,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 06:00:00,6,2,0,64,4,14.7,0.0,Cloudy,0,,64,0,16.0,0.253,low,2,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 07:00:00,7,2,0,248,6,16.2,0.0,Clear,0,,312,0,41.3,0.652,high,4,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 08:00:00,8,2,0,679,14,16.0,0.0,Clear,0,,991,1,48.5,0.766,high,5,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 09:00:00,9,2,0,911,14,19.3,0.0,Clear,0,,1838,1,65.1,1.0,high,5,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 10:00:00,10,2,0,595,14,18.1,0.0,Clear,0,,2185,1,42.5,0.671,high,4,Morning Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 11:00:00,11,2,0,397,7,17.9,0.0,Clear,0,,1903,0,56.7,0.896,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 12:00:00,12,2,0,409,7,18.4,0.0,Clear,0,,1401,0,58.4,0.923,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 13:00:00,13,2,0,371,7,16.5,0.0,Clear,0,,1177,0,53.0,0.837,high,5,Mid Morning
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 14:00:00,14,2,0,320,7,14.9,0.0,Clear,0,,1100,0,45.7,0.722,high,4,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 15:00:00,15,2,0,384,7,12.6,0.0,Clear,0,,1075,0,54.9,0.867,high,5,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 16:00:00,16,2,0,475,7,11.3,0.0,Clear,0,,1179,0,67.9,1.0,high,5,Afternoon
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 17:00:00,17,2,0,671,13,10.7,0.0,Clear,0,,1530,1,51.6,0.815,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 18:00:00,18,2,0,767,13,11.1,0.0,Clear,0,,1913,1,59.0,0.932,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 19:00:00,19,2,0,772,13,11.5,0.0,Cloudy,0,,2210,1,59.4,0.938,high,5,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 20:00:00,20,2,0,508,13,10.0,0.0,Clear,0,,2047,1,39.1,0.618,medium,4,Evening Peak
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 21:00:00,21,2,0,227,5,7.6,0.0,Clear,0,,1507,0,45.4,0.717,high,4,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 22:00:00,22,2,0,97,5,10.0,0.0,Clear,0,,832,0,19.4,0.306,low,2,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-03 23:00:00,23,2,0,31,0,9.9,0.0,Clear,0,,355,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,128,0,0.0,0.0,low,1,Night
PK27,Sarai Kale Khan Nizamuddin,Pink Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,31,0,0.0,0.0,low,1,Night
