station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK28,Shakurpur,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-01 06:00:00,6,0,0,62,4,13.7,0.0,Clear,1,New Year,62,0,15.5,0.356,medium,3,Night
PK28,Shakurpur,Pink Line,2024-01-01 07:00:00,7,0,0,232,6,17.7,0.0,Cloudy,1,New Year,294,0,38.7,0.888,high,5,Night
PK28,Shakurpur,Pink Line,2024-01-01 08:00:00,8,0,0,733,14,18.6,0.0,Clear,1,New Year,1027,1,52.4,1.0,high,5,Morning Peak
PK28,Shakurpur,Pink Line,2024-01-01 09:00:00,9,0,0,849,14,18.5,0.0,Clear,1,New Year,1814,1,60.6,1.0,high,5,Morning Peak
PK28,Shakurpur,Pink Line,2024-01-01 10:00:00,10,0,0,539,14,18.5,0.0,Clear,1,New Year,2121,1,38.5,0.883,high,5,Morning Peak
PK28,Shakurpur,Pink Line,2024-01-01 11:00:00,11,0,0,357,7,17.5,0.0,Clear,1,New Year,1745,0,51.0,1.0,high,5,Mid Morning
PK28,Shakurpur,Pink Line,2024-01-01 12:00:00,12,0,0,365,7,18.0,0.0,Clear,1,New Year,1261,0,52.1,1.0,high,5,Mid Morning
PK28,Shakurpur,Pink Line,2024-01-01 13:00:00,13,0,0,353,7,16.1,0.0,Clear,1,New Year,1075,0,50.4,1.0,high,5,Mid Morning
PK28,Shakurpur,Pink Line,2024-01-01 14:00:00,14,0,0,319,7,14.7,0.0,Clear,1,New Year,1037,0,45.6,1.0,high,5,Afternoon
PK28,Shakurpur,Pink Line,2024-01-01 15:00:00,15,0,0,326,7,12.4,0.0,Clear,1,New Year,998,0,46.6,1.0,high,5,Afternoon
PK28,Shakurpur,Pink Line,2024-01-01 16:00:00,16,0,0,388,7,12.0,0.0,Clear,1,New Year,1033,0,55.4,1.0,high,5,Afternoon
PK28,Shakurpur,Pink Line,2024-01-01 17:00:00,17,0,0,661,13,12.6,0.0,Clear,1,New Year,1375,1,50.8,1.0,high,5,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-01 18:00:00,18,0,0,785,13,11.8,0.0,Clear,1,New Year,1834,1,60.4,1.0,high,5,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-01 19:00:00,19,0,0,676,13,9.4,0.0,Clear,1,New Year,2122,1,52.0,1.0,high,5,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-01 20:00:00,20,0,0,482,13,9.6,0.0,Clear,1,New Year,1943,1,37.1,0.851,high,5,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-01 21:00:00,21,0,0,215,5,8.6,0.0,Clear,1,New Year,1373,0,43.0,0.986,high,5,Night
PK28,Shakurpur,Pink Line,2024-01-01 22:00:00,22,0,0,101,5,10.3,0.0,Clear,1,New Year,798,0,20.2,0.463,medium,3,Night
PK28,Shakurpur,Pink Line,2024-01-01 23:00:00,23,0,0,29,0,10.5,0.0,Clear,1,New Year,345,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,130,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,29,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-02 06:00:00,6,1,0,46,4,14.5,0.0,Clear,0,,46,0,11.5,0.264,low,2,Night
PK28,Shakurpur,Pink Line,2024-01-02 07:00:00,7,1,0,154,6,16.3,0.0,Clear,0,,200,0,25.7,0.589,medium,4,Night
PK28,Shakurpur,Pink Line,2024-01-02 08:00:00,8,1,0,517,14,17.4,0.0,Cloudy,0,,717,1,36.9,0.846,high,5,Morning Peak
PK28,Shakurpur,Pink Line,2024-01-02 09:00:00,9,1,0,591,14,18.4,0.0,Clear,0,,1262,1,42.2,0.968,high,5,Morning Peak
PK28,Shakurpur,Pink Line,2024-01-02 10:00:00,10,1,0,373,14,20.4,0.0,Cloudy,0,,1481,1,26.6,0.61,medium,4,Morning Peak
PK28,Shakurpur,Pink Line,2024-01-02 11:00:00,11,1,0,279,7,19.8,0.0,Cloudy,0,,1243,0,39.9,0.915,high,5,Mid Morning
PK28,Shakurpur,Pink Line,2024-01-02 12:00:00,12,1,0,292,7,18.2,0.0,Clear,0,,944,0,41.7,0.956,high,5,Mid Morning
PK28,Shakurpur,Pink Line,2024-01-02 13:00:00,13,1,0,234,7,16.1,0.0,Clear,0,,805,0,33.4,0.766,high,5,Mid Morning
PK28,Shakurpur,Pink Line,2024-01-02 14:00:00,14,1,0,246,7,14.6,0.0,Clear,0,,772,0,35.1,0.805,high,5,Afternoon
PK28,Shakurpur,Pink Line,2024-01-02 15:00:00,15,1,0,269,7,13.0,0.0,Clear,0,,749,0,38.4,0.881,high,5,Afternoon
PK28,Shakurpur,Pink Line,2024-01-02 16:00:00,16,1,0,287,7,11.6,0.0,Clear,0,,802,0,41.0,0.94,high,5,Afternoon
PK28,Shakurpur,Pink Line,2024-01-02 17:00:00,17,1,0,451,13,11.3,0.0,Clear,0,,1007,1,34.7,0.796,high,5,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-02 18:00:00,18,1,0,590,13,11.6,0.0,Clear,0,,1328,1,45.4,1.0,high,5,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-02 19:00:00,19,1,0,476,13,10.7,0.0,Clear,0,,1517,1,36.6,0.839,high,5,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-02 20:00:00,20,1,0,386,13,11.3,0.0,Clear,0,,1452,1,29.7,0.681,high,4,Evening Peak
PK28,Shakurpur,Pink Line,2024-01-02 21:00:00,21,1,0,158,5,9.6,0.0,Clear,0,,1020,0,31.6,0.725,high,4,Night
PK28,Shakurpur,Pink Line,2024-01-02 22:00:00,22,1,0,66,5,9.8,0.0,Clear,0,,610,0,13.2,0.303,low,2,Night
PK28,Shakurpur,Pink Line,2024-01-02 23:00:00,23,1,0,22,0,9.3,0.0,Clear,0,,246,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,88,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,22,0,0.0,0.0,low,1,Night
PK28,Shakurpur,Pink Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
