station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK30,Shiv Vihar,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 06:00:00,6,0,0,45,4,13.7,0.0,Clear,1,New Year,45,0,11.2,0.354,medium,3,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 07:00:00,7,0,0,166,6,17.7,0.0,Cloudy,1,New Year,211,0,27.7,0.877,high,5,Night
PK30,Shiv Vihar,Pink Line,2024-01-01 08:00:00,8,0,0,499,14,18.6,0.0,Clear,1,New Year,710,1,35.6,1.0,high,5,Morning Peak
PK30,Shiv Vihar,Pink Line,2024-01-01 09:00:00,9,0,0,539,14,18.5,0.0,Clear,1,New Year,1204,1,38.5,1.0,high,5,Morning Peak
PK30,Shiv Vihar,Pink Line,2024-01-01 10:00:00,10,0,0,409,14,18.5,0.0,Clear,1,New Year,1447,1,29.2,0.924,high,5,Morning Peak
PK30,Shiv Vihar,Pink Line,2024-01-01 11:00:00,11,0,0,277,7,17.5,0.0,Clear,1,New Year,1225,0,39.6,1.0,high,5,Mid Morning
PK30,Shiv Vihar,Pink Line,2024-01-01 12:00:00,12,0,0,280,7,18.0,0.0,Clear,1,New Year,966,0,40.0,1.0,high,5,Mid Morning
PK30,Shiv Vihar,Pink Line,2024-01-01 13:00:00,13,0,0,226,7,16.1,0.0,Clear,1,New Year,783,0,32.3,1.0,high,5,Mid Morning
PK30,Shiv Vihar,Pink Line,2024-01-01 14:00:00,14,0,0,240,7,14.7,0.0,Clear,1,New Year,746,0,34.3,1.0,high,5,Afternoon
PK30,Shiv Vihar,Pink Line,2024-01-01 15:00:00,15,0,0,235,7,12.4,0.0,Clear,1,New Year,701,0,33.6,1.0,high,5,Afternoon
PK30,Shiv Vihar,Pink Line,2024-01-01 16:00:00,16,0,0,291,7,12.0,0.0,Clear,1,New Year,766,0,41.6,1.0,high,5,Afternoon
PK30,Shiv Vihar,Pink Line,2024-01-01 17:00:00,17,0,0,463,13,12.6,0.0,Clear,1,New Year,989,1,35.6,1.0,high,5,Evening Peak
