station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK32,South Extension,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-01 06:00:00,6,0,0,107,4,13.7,0.0,Clear,1,New Year,107,0,26.8,0.36,medium,3,Night
PK32,South Extension,Pink Line,2024-01-01 07:00:00,7,0,0,384,6,17.7,0.0,Cloudy,1,New Year,491,0,64.0,0.859,high,5,Night
PK32,South Extension,Pink Line,2024-01-01 08:00:00,8,0,0,1151,14,18.6,0.0,Clear,1,New Year,1642,1,82.2,1.0,high,5,Morning Peak
PK32,South Extension,Pink Line,2024-01-01 09:00:00,9,0,0,1326,14,18.5,0.0,Clear,1,New Year,2861,1,94.7,1.0,high,5,Morning Peak
PK32,South Extension,Pink Line,2024-01-01 10:00:00,10,0,0,977,14,18.5,0.0,Clear,1,New Year,3454,1,69.8,0.937,high,5,Morning Peak
PK32,South Extension,Pink Line,2024-01-01 11:00:00,11,0,0,590,7,17.5,0.0,Clear,1,New Year,2893,0,84.3,1.0,high,5,Mid Morning
PK32,South Extension,Pink Line,2024-01-01 12:00:00,12,0,0,626,7,18.0,0.0,Clear,1,New Year,2193,0,89.4,1.0,high,5,Mid Morning
PK32,South Extension,Pink Line,2024-01-01 13:00:00,13,0,0,573,7,16.1,0.0,Clear,1,New Year,1789,0,81.9,1.0,high,5,Mid Morning
PK32,South Extension,Pink Line,2024-01-01 14:00:00,14,0,0,545,7,14.7,0.0,Clear,1,New Year,1744,0,77.9,1.0,high,5,Afternoon
PK32,South Extension,Pink Line,2024-01-01 15:00:00,15,0,0,544,7,12.4,0.0,Clear,1,New Year,1662,0,77.7,1.0,high,5,Afternoon
PK32,South Extension,Pink Line,2024-01-01 16:00:00,16,0,0,745,7,12.0,0.0,Clear,1,New Year,1834,0,106.4,1.0,high,5,Afternoon
PK32,South Extension,Pink Line,2024-01-01 17:00:00,17,0,0,1133,13,12.6,0.0,Clear,1,New Year,2422,1,87.2,1.0,high,5,Evening Peak
PK32,South Extension,Pink Line,2024-01-01 18:00:00,18,0,0,1200,13,11.8,0.0,Clear,1,New Year,3078,1,92.3,1.0,high,5,Evening Peak
PK32,South Extension,Pink Line,2024-01-01 19:00:00,19,0,0,1078,13,9.4,0.0,Clear,1,New Year,3411,1,82.9,1.0,high,5,Evening Peak
PK32,South Extension,Pink Line,2024-01-01 20:00:00,20,0,0,920,13,9.6,0.0,Clear,1,New Year,3198,1,70.8,0.95,high,5,Evening Peak
PK32,South Extension,Pink Line,2024-01-01 21:00:00,21,0,0,364,5,8.6,0.0,Clear,1,New Year,2362,0,72.8,0.977,high,5,Night
PK32,South Extension,Pink Line,2024-01-01 22:00:00,22,0,0,158,5,10.3,0.0,Clear,1,New Year,1442,0,31.6,0.424,medium,3,Night
PK32,South Extension,Pink Line,2024-01-01 23:00:00,23,0,0,53,0,10.5,0.0,Clear,1,New Year,575,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,211,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,53,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK32,South Extension,Pink Line,2024-01-02 06:00:00,6,1,0,72,4,14.5,0.0,Clear,0,,72,0,18.0,0.242,low,2,Night
PK32,South Extension,Pink Line,2024-01-02 07:00:00,7,1,0,279,6,16.3,0.0,Clear,0,,351,0,46.5,0.624,medium,4,Night
PK32,South Extension,Pink Line,2024-01-02 08:00:00,8,1,0,866,14,17.4,0.0,Cloudy,0,,1217,1,61.9,0.831,high,5,Morning Peak
PK32,South Extension,Pink Line,2024-01-02 09:00:00,9,1,0,964,14,18.4,0.0,Clear,0,,2109,1,68.9,0.925,high,5,Morning Peak
PK32,South Extension,Pink Line,2024-01-02 10:00:00,10,1,0,697,14,20.4,0.0,Cloudy,0,,2527,1,49.8,0.668,high,4,Morning Peak
PK32,South Extension,Pink Line,2024-01-02 11:00:00,11,1,0,437,7,19.8,0.0,Cloudy,0,,2098,0,62.4,0.838,high,5,Mid Morning
PK32,South Extension,Pink Line,2024-01-02 12:00:00,12,1,0,443,7,18.2,0.0,Clear,0,,1577,0,63.3,0.85,high,5,Mid Morning
PK32,South Extension,Pink Line,2024-01-02 13:00:00,13,1,0,403,7,16.1,0.0,Clear,0,,1283,0,57.6,0.773,high,5,Mid Morning
PK32,South Extension,Pink Line,2024-01-02 14:00:00,14,1,0,370,7,14.6,0.0,Clear,0,,1216,0,52.9,0.71,high,4,Afternoon
PK32,South Extension,Pink Line,2024-01-02 15:00:00,15,1,0,440,7,13.0,0.0,Clear,0,,1213,0,62.9,0.844,high,5,Afternoon
PK32,South Extension,Pink Line,2024-01-02 16:00:00,16,1,0,521,7,11.6,0.0,Clear,0,,1331,0,74.4,0.999,high,5,Afternoon
PK32,South Extension,Pink Line,2024-01-02 17:00:00,17,1,0,848,13,11.3,0.0,Clear,0,,1809,1,65.2,0.875,high,5,Evening Peak
PK32,South Extension,Pink Line,2024-01-02 18:00:00,18,1,0,882,13,11.6,0.0,Clear,0,,2251,1,67.8,0.91,high,5,Evening Peak
PK32,South Extension,Pink Line,2024-01-02 19:00:00,19,1,0,828,13,10.7,0.0,Clear,0,,2558,1,63.7,0.855,high,5,Evening Peak
PK32,South Extension,Pink Line,2024-01-02 20:00:00,20,1,0,613,13,11.3,0.0,Clear,0,,2323,1,47.2,0.634,medium,4,Evening Peak
PK32,South Extension,Pink Line,2024-01-02 21:00:00,21,1,0,300,5,9.6,0.0,Clear,0,,1741,0,60.0,0.805,high,5,Night
