station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 06:00:00,6,0,0,51,4,13.7,0.0,Clear,1,New Year,51,0,12.8,0.326,low,2,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 07:00:00,7,0,0,212,6,17.7,0.0,Cloudy,1,New Year,263,0,35.3,0.899,high,5,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 08:00:00,8,0,0,602,14,18.6,0.0,Clear,1,New Year,865,1,43.0,1.0,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 09:00:00,9,0,0,757,14,18.5,0.0,Clear,1,New Year,1571,1,54.1,1.0,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 10:00:00,10,0,0,450,14,18.5,0.0,Clear,1,New Year,1809,1,32.1,0.818,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 11:00:00,11,0,0,364,7,17.5,0.0,Clear,1,New Year,1571,0,52.0,1.0,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 12:00:00,12,0,0,324,7,18.0,0.0,Clear,1,New Year,1138,0,46.3,1.0,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 13:00:00,13,0,0,320,7,16.1,0.0,Clear,1,New Year,1008,0,45.7,1.0,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 14:00:00,14,0,0,294,7,14.7,0.0,Clear,1,New Year,938,0,42.0,1.0,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 15:00:00,15,0,0,315,7,12.4,0.0,Clear,1,New Year,929,0,45.0,1.0,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 16:00:00,16,0,0,385,7,12.0,0.0,Clear,1,New Year,994,0,55.0,1.0,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 17:00:00,17,0,0,562,13,12.6,0.0,Clear,1,New Year,1262,1,43.2,1.0,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 18:00:00,18,0,0,634,13,11.8,0.0,Clear,1,New Year,1581,1,48.8,1.0,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 19:00:00,19,0,0,666,13,9.4,0.0,Clear,1,New Year,1862,1,51.2,1.0,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 20:00:00,20,0,0,424,13,9.6,0.0,Clear,1,New Year,1724,1,32.6,0.83,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 21:00:00,21,0,0,193,5,8.6,0.0,Clear,1,New Year,1283,0,38.6,0.983,high,5,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 22:00:00,22,0,0,93,5,10.3,0.0,Clear,1,New Year,710,0,18.6,0.474,medium,3,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-01 23:00:00,23,0,0,29,0,10.5,0.0,Clear,1,New Year,315,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,122,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,29,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 06:00:00,6,1,0,42,4,14.5,0.0,Clear,0,,42,0,10.5,0.267,low,2,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 07:00:00,7,1,0,161,6,16.3,0.0,Clear,0,,203,0,26.8,0.683,high,4,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 08:00:00,8,1,0,482,14,17.4,0.0,Cloudy,0,,685,1,34.4,0.876,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 09:00:00,9,1,0,499,14,18.4,0.0,Clear,0,,1142,1,35.6,0.907,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 10:00:00,10,1,0,364,14,20.4,0.0,Cloudy,0,,1345,1,26.0,0.662,high,4,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 11:00:00,11,1,0,256,7,19.8,0.0,Cloudy,0,,1119,0,36.6,0.932,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 12:00:00,12,1,0,248,7,18.2,0.0,Clear,0,,868,0,35.4,0.902,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 13:00:00,13,1,0,236,7,16.1,0.0,Clear,0,,740,0,33.7,0.858,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 14:00:00,14,1,0,202,7,14.6,0.0,Clear,0,,686,0,28.9,0.736,high,4,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 15:00:00,15,1,0,230,7,13.0,0.0,Clear,0,,668,0,32.9,0.838,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 16:00:00,16,1,0,284,7,11.6,0.0,Clear,0,,716,0,40.6,1.0,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 17:00:00,17,1,0,402,13,11.3,0.0,Clear,0,,916,1,30.9,0.787,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 18:00:00,18,1,0,487,13,11.6,0.0,Clear,0,,1173,1,37.5,0.955,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 19:00:00,19,1,0,445,13,10.7,0.0,Clear,0,,1334,1,34.2,0.871,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 20:00:00,20,1,0,317,13,11.3,0.0,Clear,0,,1249,1,24.4,0.621,medium,4,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 21:00:00,21,1,0,159,5,9.6,0.0,Clear,0,,921,0,31.8,0.81,high,5,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 22:00:00,22,1,0,65,5,9.8,0.0,Clear,0,,541,0,13.0,0.331,low,2,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-02 23:00:00,23,1,0,21,0,9.3,0.0,Clear,0,,245,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,86,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,21,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 06:00:00,6,2,0,41,4,14.7,0.0,Cloudy,0,,41,0,10.2,0.26,low,2,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 07:00:00,7,2,0,151,6,16.2,0.0,Clear,0,,192,0,25.2,0.642,medium,4,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 08:00:00,8,2,0,462,14,16.0,0.0,Clear,0,,654,1,33.0,0.84,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 09:00:00,9,2,0,522,14,19.3,0.0,Clear,0,,1135,1,37.3,0.95,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 10:00:00,10,2,0,377,14,18.1,0.0,Clear,0,,1361,1,26.9,0.685,high,4,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 11:00:00,11,2,0,262,7,17.9,0.0,Clear,0,,1161,0,37.4,0.953,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 12:00:00,12,2,0,241,7,18.4,0.0,Clear,0,,880,0,34.4,0.876,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 13:00:00,13,2,0,228,7,16.5,0.0,Clear,0,,731,0,32.6,0.83,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 14:00:00,14,2,0,200,7,14.9,0.0,Clear,0,,669,0,28.6,0.728,high,4,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 15:00:00,15,2,0,216,7,12.6,0.0,Clear,0,,644,0,30.9,0.787,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 16:00:00,16,2,0,282,7,11.3,0.0,Clear,0,,698,0,40.3,1.0,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 17:00:00,17,2,0,412,13,10.7,0.0,Clear,0,,910,1,31.7,0.807,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 18:00:00,18,2,0,492,13,11.1,0.0,Clear,0,,1186,1,37.8,0.963,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 19:00:00,19,2,0,478,13,11.5,0.0,Cloudy,0,,1382,1,36.8,0.937,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 20:00:00,20,2,0,328,13,10.0,0.0,Clear,0,,1298,1,25.2,0.642,medium,4,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 21:00:00,21,2,0,158,5,7.6,0.0,Clear,0,,964,0,31.6,0.805,high,5,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 22:00:00,22,2,0,60,5,10.0,0.0,Clear,0,,546,0,12.0,0.306,low,2,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-03 23:00:00,23,2,0,20,0,9.9,0.0,Clear,0,,238,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,80,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,20,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 06:00:00,6,3,0,41,4,13.6,0.0,Clear,0,,41,0,10.2,0.26,low,2,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 07:00:00,7,3,0,145,6,16.3,0.0,Clear,0,,186,0,24.2,0.616,medium,4,Night
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 08:00:00,8,3,0,455,14,18.9,0.0,Clear,0,,641,1,32.5,0.828,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 09:00:00,9,3,0,533,14,21.2,0.0,Clear,0,,1133,1,38.1,0.97,high,5,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 10:00:00,10,3,0,386,14,19.8,0.0,Clear,0,,1374,1,27.6,0.703,high,4,Morning Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 11:00:00,11,3,0,231,7,21.6,0.0,Clear,0,,1150,0,33.0,0.84,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 12:00:00,12,3,0,231,7,19.3,0.0,Clear,0,,848,0,33.0,0.84,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 13:00:00,13,3,0,241,7,17.4,0.0,Clear,0,,703,0,34.4,0.876,high,5,Mid Morning
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 14:00:00,14,3,0,220,7,13.5,0.0,Clear,0,,692,0,31.4,0.8,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 15:00:00,15,3,0,229,7,13.1,0.0,Clear,0,,690,0,32.7,0.833,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 16:00:00,16,3,0,284,7,11.6,0.0,Cloudy,0,,733,0,40.6,1.0,high,5,Afternoon
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 17:00:00,17,3,0,450,13,12.0,0.0,Clear,0,,963,1,34.6,0.881,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 18:00:00,18,3,0,499,13,11.2,0.0,Clear,0,,1233,1,38.4,0.978,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 19:00:00,19,3,0,466,13,11.4,0.0,Clear,0,,1415,1,35.8,0.912,high,5,Evening Peak
PK33,Shree Ram Mandir Mayur Vihar,Pink Line,2024-01-04 20:00:00,20,3,0,365,13,9.0,0.0,Clear,0,,1330,1,28.1,0.716,high,4,Evening Peak
