station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 06:00:00,6,0,0,46,4,13.7,0.0,Clear,1,New Year,46,0,11.5,0.322,low,2,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 07:00:00,7,0,0,190,6,17.7,0.0,Cloudy,1,New Year,236,0,31.7,0.888,high,5,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 08:00:00,8,0,0,540,14,18.6,0.0,Clear,1,New Year,776,1,38.6,1.0,high,5,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 09:00:00,9,0,0,705,14,18.5,0.0,Clear,1,New Year,1435,1,50.4,1.0,high,5,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 10:00:00,10,0,0,462,14,18.5,0.0,Clear,1,New Year,1707,1,33.0,0.924,high,5,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 11:00:00,11,0,0,284,7,17.5,0.0,Clear,1,New Year,1451,0,40.6,1.0,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 12:00:00,12,0,0,289,7,18.0,0.0,Clear,1,New Year,1035,0,41.3,1.0,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 13:00:00,13,0,0,254,7,16.1,0.0,Clear,1,New Year,827,0,36.3,1.0,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 14:00:00,14,0,0,263,7,14.7,0.0,Clear,1,New Year,806,0,37.6,1.0,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 15:00:00,15,0,0,270,7,12.4,0.0,Clear,1,New Year,787,0,38.6,1.0,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 16:00:00,16,0,0,347,7,12.0,0.0,Clear,1,New Year,880,0,49.6,1.0,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 17:00:00,17,0,0,530,13,12.6,0.0,Clear,1,New Year,1147,1,40.8,1.0,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 18:00:00,18,0,0,575,13,11.8,0.0,Clear,1,New Year,1452,1,44.2,1.0,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 19:00:00,19,0,0,542,13,9.4,0.0,Clear,1,New Year,1647,1,41.7,1.0,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 20:00:00,20,0,0,422,13,9.6,0.0,Clear,1,New Year,1539,1,32.5,0.91,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 21:00:00,21,0,0,180,5,8.6,0.0,Clear,1,New Year,1144,0,36.0,1.0,high,5,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 22:00:00,22,0,0,82,5,10.3,0.0,Clear,1,New Year,684,0,16.4,0.459,medium,3,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-01 23:00:00,23,0,0,23,0,10.5,0.0,Clear,1,New Year,285,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,105,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,23,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 06:00:00,6,1,0,38,4,14.5,0.0,Clear,0,,38,0,9.5,0.266,low,2,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 07:00:00,7,1,0,129,6,16.3,0.0,Clear,0,,167,0,21.5,0.602,medium,4,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 08:00:00,8,1,0,445,14,17.4,0.0,Cloudy,0,,612,1,31.8,0.891,high,5,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 09:00:00,9,1,0,497,14,18.4,0.0,Clear,0,,1071,1,35.5,0.994,high,5,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 10:00:00,10,1,0,349,14,20.4,0.0,Cloudy,0,,1291,1,24.9,0.697,high,4,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 11:00:00,11,1,0,226,7,19.8,0.0,Cloudy,0,,1072,0,32.3,0.905,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 12:00:00,12,1,0,227,7,18.2,0.0,Clear,0,,802,0,32.4,0.908,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 13:00:00,13,1,0,189,7,16.1,0.0,Clear,0,,642,0,27.0,0.756,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 14:00:00,14,1,0,199,7,14.6,0.0,Clear,0,,615,0,28.4,0.796,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 15:00:00,15,1,0,204,7,13.0,0.0,Clear,0,,592,0,29.1,0.815,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 16:00:00,16,1,0,242,7,11.6,0.0,Clear,0,,645,0,34.6,0.969,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 17:00:00,17,1,0,382,13,11.3,0.0,Clear,0,,828,1,29.4,0.824,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 18:00:00,18,1,0,446,13,11.6,0.0,Clear,0,,1070,1,34.3,0.961,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 19:00:00,19,1,0,439,13,10.7,0.0,Clear,0,,1267,1,33.8,0.947,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 20:00:00,20,1,0,301,13,11.3,0.0,Clear,0,,1186,1,23.2,0.65,high,4,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 21:00:00,21,1,0,126,5,9.6,0.0,Clear,0,,866,0,25.2,0.706,high,4,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 22:00:00,22,1,0,60,5,9.8,0.0,Clear,0,,487,0,12.0,0.336,low,2,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-02 23:00:00,23,1,0,17,0,9.3,0.0,Clear,0,,203,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,77,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,17,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 06:00:00,6,2,0,38,4,14.7,0.0,Cloudy,0,,38,0,9.5,0.266,low,2,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 07:00:00,7,2,0,140,6,16.2,0.0,Clear,0,,178,0,23.3,0.653,high,4,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 08:00:00,8,2,0,393,14,16.0,0.0,Clear,0,,571,1,28.1,0.787,high,5,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 09:00:00,9,2,0,473,14,19.3,0.0,Clear,0,,1006,1,33.8,0.947,high,5,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 10:00:00,10,2,0,301,14,18.1,0.0,Clear,0,,1167,1,21.5,0.602,medium,4,Morning Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 11:00:00,11,2,0,234,7,17.9,0.0,Clear,0,,1008,0,33.4,0.936,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 12:00:00,12,2,0,231,7,18.4,0.0,Clear,0,,766,0,33.0,0.924,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 13:00:00,13,2,0,190,7,16.5,0.0,Clear,0,,655,0,27.1,0.759,high,5,Mid Morning
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 14:00:00,14,2,0,185,7,14.9,0.0,Clear,0,,606,0,26.4,0.739,high,4,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 15:00:00,15,2,0,199,7,12.6,0.0,Clear,0,,574,0,28.4,0.796,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 16:00:00,16,2,0,250,7,11.3,0.0,Clear,0,,634,0,35.7,1.0,high,5,Afternoon
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 17:00:00,17,2,0,406,13,10.7,0.0,Clear,0,,855,1,31.2,0.874,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 18:00:00,18,2,0,422,13,11.1,0.0,Clear,0,,1078,1,32.5,0.91,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 19:00:00,19,2,0,428,13,11.5,0.0,Cloudy,0,,1256,1,32.9,0.922,high,5,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 20:00:00,20,2,0,287,13,10.0,0.0,Clear,0,,1137,1,22.1,0.619,medium,4,Evening Peak
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 21:00:00,21,2,0,125,5,7.6,0.0,Clear,0,,840,0,25.0,0.7,high,4,Night
PK34,Trilokpuri Sanjay Lake,Pink Line,2024-01-03 22:00:00,22,2,0,54,5,10.0,0.0,Clear,0,,466,0,10.8,0.303,low,2,Night
