station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD01,Dilshad Garden,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-01 06:00:00,6,0,0,72,5,13.7,0.0,Clear,1,New Year,72,0,14.4,0.41,medium,3,Night
RD01,Dilshad Garden,Red Line,2024-01-01 07:00:00,7,0,0,271,8,17.7,0.0,Cloudy,1,New Year,343,0,33.9,0.966,high,5,Night
RD01,Dilshad Garden,Red Line,2024-01-01 08:00:00,8,0,0,834,20,18.6,0.0,Clear,1,New Year,1177,1,41.7,1.0,high,5,Morning Peak
RD01,Dilshad Garden,Red Line,2024-01-01 09:00:00,9,0,0,857,20,18.5,0.0,Clear,1,New Year,1962,1,42.9,1.0,high,5,Morning Peak
RD01,Dilshad Garden,Red Line,2024-01-01 10:00:00,10,0,0,630,20,18.5,0.0,Clear,1,New Year,2321,1,31.5,0.897,high,5,Morning Peak
RD01,Dilshad Garden,Red Line,2024-01-01 11:00:00,11,0,0,398,10,17.5,0.0,Clear,1,New Year,1885,0,39.8,1.0,high,5,Mid Morning
RD01,Dilshad Garden,Red Line,2024-01-01 12:00:00,12,0,0,410,10,18.0,0.0,Clear,1,New Year,1438,0,41.0,1.0,high,5,Mid Morning
RD01,Dilshad Garden,Red Line,2024-01-01 13:00:00,13,0,0,403,10,16.1,0.0,Clear,1,New Year,1211,0,40.3,1.0,high,5,Mid Morning
RD01,Dilshad Garden,Red Line,2024-01-01 14:00:00,14,0,0,348,10,14.7,0.0,Clear,1,New Year,1161,0,34.8,0.991,high,5,Afternoon
RD01,Dilshad Garden,Red Line,2024-01-01 15:00:00,15,0,0,416,10,12.4,0.0,Clear,1,New Year,1167,0,41.6,1.0,high,5,Afternoon
RD01,Dilshad Garden,Red Line,2024-01-01 16:00:00,16,0,0,459,10,12.0,0.0,Clear,1,New Year,1223,0,45.9,1.0,high,5,Afternoon
RD01,Dilshad Garden,Red Line,2024-01-01 17:00:00,17,0,0,668,18,12.6,0.0,Clear,1,New Year,1543,1,37.1,1.0,high,5,Evening Peak
RD01,Dilshad Garden,Red Line,2024-01-01 18:00:00,18,0,0,856,18,11.8,0.0,Clear,1,New Year,1983,1,47.6,1.0,high,5,Evening Peak
RD01,Dilshad Garden,Red Line,2024-01-01 19:00:00,19,0,0,754,18,9.4,0.0,Clear,1,New Year,2278,1,41.9,1.0,high,5,Evening Peak
RD01,Dilshad Garden,Red Line,2024-01-01 20:00:00,20,0,0,613,18,9.6,0.0,Clear,1,New Year,2223,1,34.1,0.972,high,5,Evening Peak
RD01,Dilshad Garden,Red Line,2024-01-01 21:00:00,21,0,0,257,7,8.6,0.0,Clear,1,New Year,1624,0,36.7,1.0,high,5,Night
RD01,Dilshad Garden,Red Line,2024-01-01 22:00:00,22,0,0,101,7,10.3,0.0,Clear,1,New Year,971,0,14.4,0.41,medium,3,Night
RD01,Dilshad Garden,Red Line,2024-01-01 23:00:00,23,0,0,35,0,10.5,0.0,Clear,1,New Year,393,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,136,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,35,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD01,Dilshad Garden,Red Line,2024-01-02 06:00:00,6,1,0,53,5,14.5,0.0,Clear,0,,53,0,10.6,0.302,low,2,Night
RD01,Dilshad Garden,Red Line,2024-01-02 07:00:00,7,1,0,174,8,16.3,0.0,Clear,0,,227,0,21.8,0.621,medium,4,Night
RD01,Dilshad Garden,Red Line,2024-01-02 08:00:00,8,1,0,596,20,17.4,0.0,Cloudy,0,,823,1,29.8,0.849,high,5,Morning Peak
RD01,Dilshad Garden,Red Line,2024-01-02 09:00:00,9,1,0,632,20,18.4,0.0,Clear,0,,1402,1,31.6,0.9,high,5,Morning Peak
RD01,Dilshad Garden,Red Line,2024-01-02 10:00:00,10,1,0,420,20,20.4,0.0,Cloudy,0,,1648,1,21.0,0.598,medium,4,Morning Peak
RD01,Dilshad Garden,Red Line,2024-01-02 11:00:00,11,1,0,323,10,19.8,0.0,Cloudy,0,,1375,0,32.3,0.92,high,5,Mid Morning
RD01,Dilshad Garden,Red Line,2024-01-02 12:00:00,12,1,0,323,10,18.2,0.0,Clear,0,,1066,0,32.3,0.92,high,5,Mid Morning
RD01,Dilshad Garden,Red Line,2024-01-02 13:00:00,13,1,0,281,10,16.1,0.0,Clear,0,,927,0,28.1,0.801,high,5,Mid Morning
RD01,Dilshad Garden,Red Line,2024-01-02 14:00:00,14,1,0,283,10,14.6,0.0,Clear,0,,887,0,28.3,0.806,high,5,Afternoon
RD01,Dilshad Garden,Red Line,2024-01-02 15:00:00,15,1,0,270,10,13.0,0.0,Clear,0,,834,0,27.0,0.769,high,5,Afternoon
RD01,Dilshad Garden,Red Line,2024-01-02 16:00:00,16,1,0,354,10,11.6,0.0,Clear,0,,907,0,35.4,1.0,high,5,Afternoon
RD01,Dilshad Garden,Red Line,2024-01-02 17:00:00,17,1,0,553,18,11.3,0.0,Clear,0,,1177,1,30.7,0.875,high,5,Evening Peak
