station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD02,Jhilmil,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-01 06:00:00,6,0,0,44,5,13.7,0.0,Clear,1,New Year,44,0,8.8,0.419,medium,3,Night
RD02,Jhilmil,Red Line,2024-01-01 07:00:00,7,0,0,141,8,17.7,0.0,Cloudy,1,New Year,185,0,17.6,0.838,high,5,Night
RD02,Jhilmil,Red Line,2024-01-01 08:00:00,8,0,0,500,20,18.6,0.0,Clear,1,New Year,685,1,25.0,1.0,high,5,Morning Peak
RD02,Jhilmil,Red Line,2024-01-01 09:00:00,9,0,0,548,20,18.5,0.0,Clear,1,New Year,1189,1,27.4,1.0,high,5,Morning Peak
RD02,Jhilmil,Red Line,2024-01-01 10:00:00,10,0,0,342,20,18.5,0.0,Clear,1,New Year,1390,1,17.1,0.814,high,5,Morning Peak
RD02,Jhilmil,Red Line,2024-01-01 11:00:00,11,0,0,265,10,17.5,0.0,Clear,1,New Year,1155,0,26.5,1.0,high,5,Mid Morning
RD02,Jhilmil,Red Line,2024-01-01 12:00:00,12,0,0,248,10,18.0,0.0,Clear,1,New Year,855,0,24.8,1.0,high,5,Mid Morning
RD02,Jhilmil,Red Line,2024-01-01 13:00:00,13,0,0,242,10,16.1,0.0,Clear,1,New Year,755,0,24.2,1.0,high,5,Mid Morning
RD02,Jhilmil,Red Line,2024-01-01 14:00:00,14,0,0,206,10,14.7,0.0,Clear,1,New Year,696,0,20.6,0.981,high,5,Afternoon
RD02,Jhilmil,Red Line,2024-01-01 15:00:00,15,0,0,244,10,12.4,0.0,Clear,1,New Year,692,0,24.4,1.0,high,5,Afternoon
RD02,Jhilmil,Red Line,2024-01-01 16:00:00,16,0,0,296,10,12.0,0.0,Clear,1,New Year,746,0,29.6,1.0,high,5,Afternoon
RD02,Jhilmil,Red Line,2024-01-01 17:00:00,17,0,0,465,18,12.6,0.0,Clear,1,New Year,1005,1,25.8,1.0,high,5,Evening Peak
RD02,Jhilmil,Red Line,2024-01-01 18:00:00,18,0,0,485,18,11.8,0.0,Clear,1,New Year,1246,1,26.9,1.0,high,5,Evening Peak
RD02,Jhilmil,Red Line,2024-01-01 19:00:00,19,0,0,500,18,9.4,0.0,Clear,1,New Year,1450,1,27.8,1.0,high,5,Evening Peak
RD02,Jhilmil,Red Line,2024-01-01 20:00:00,20,0,0,351,18,9.6,0.0,Clear,1,New Year,1336,1,19.5,0.929,high,5,Evening Peak
RD02,Jhilmil,Red Line,2024-01-01 21:00:00,21,0,0,161,7,8.6,0.0,Clear,1,New Year,1012,0,23.0,1.0,high,5,Night
RD02,Jhilmil,Red Line,2024-01-01 22:00:00,22,0,0,65,7,10.3,0.0,Clear,1,New Year,577,0,9.3,0.443,medium,3,Night
RD02,Jhilmil,Red Line,2024-01-01 23:00:00,23,0,0,19,0,10.5,0.0,Clear,1,New Year,245,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,84,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,19,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-02 06:00:00,6,1,0,30,5,14.5,0.0,Clear,0,,30,0,6.0,0.286,low,2,Night
RD02,Jhilmil,Red Line,2024-01-02 07:00:00,7,1,0,111,8,16.3,0.0,Clear,0,,141,0,13.9,0.662,high,4,Night
RD02,Jhilmil,Red Line,2024-01-02 08:00:00,8,1,0,366,20,17.4,0.0,Cloudy,0,,507,1,18.3,0.871,high,5,Morning Peak
RD02,Jhilmil,Red Line,2024-01-02 09:00:00,9,1,0,428,20,18.4,0.0,Clear,0,,905,1,21.4,1.0,high,5,Morning Peak
RD02,Jhilmil,Red Line,2024-01-02 10:00:00,10,1,0,278,20,20.4,0.0,Cloudy,0,,1072,1,13.9,0.662,high,4,Morning Peak
RD02,Jhilmil,Red Line,2024-01-02 11:00:00,11,1,0,199,10,19.8,0.0,Cloudy,0,,905,0,19.9,0.948,high,5,Mid Morning
RD02,Jhilmil,Red Line,2024-01-02 12:00:00,12,1,0,197,10,18.2,0.0,Clear,0,,674,0,19.7,0.938,high,5,Mid Morning
RD02,Jhilmil,Red Line,2024-01-02 13:00:00,13,1,0,169,10,16.1,0.0,Clear,0,,565,0,16.9,0.805,high,5,Mid Morning
RD02,Jhilmil,Red Line,2024-01-02 14:00:00,14,1,0,169,10,14.6,0.0,Clear,0,,535,0,16.9,0.805,high,5,Afternoon
RD02,Jhilmil,Red Line,2024-01-02 15:00:00,15,1,0,184,10,13.0,0.0,Clear,0,,522,0,18.4,0.876,high,5,Afternoon
RD02,Jhilmil,Red Line,2024-01-02 16:00:00,16,1,0,205,10,11.6,0.0,Clear,0,,558,0,20.5,0.976,high,5,Afternoon
RD02,Jhilmil,Red Line,2024-01-02 17:00:00,17,1,0,338,18,11.3,0.0,Clear,0,,727,1,18.8,0.895,high,5,Evening Peak
RD02,Jhilmil,Red Line,2024-01-02 18:00:00,18,1,0,368,18,11.6,0.0,Clear,0,,911,1,20.4,0.971,high,5,Evening Peak
RD02,Jhilmil,Red Line,2024-01-02 19:00:00,19,1,0,371,18,10.7,0.0,Clear,0,,1077,1,20.6,0.981,high,5,Evening Peak
RD02,Jhilmil,Red Line,2024-01-02 20:00:00,20,1,0,238,18,11.3,0.0,Clear,0,,977,1,13.2,0.629,medium,4,Evening Peak
RD02,Jhilmil,Red Line,2024-01-02 21:00:00,21,1,0,106,7,9.6,0.0,Clear,0,,715,0,15.1,0.719,high,4,Night
RD02,Jhilmil,Red Line,2024-01-02 22:00:00,22,1,0,51,7,9.8,0.0,Clear,0,,395,0,7.3,0.348,low,2,Night
RD02,Jhilmil,Red Line,2024-01-02 23:00:00,23,1,0,16,0,9.3,0.0,Clear,0,,173,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,67,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,16,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD02,Jhilmil,Red Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
