station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD03,Kashmere Gate,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-01 06:00:00,6,0,0,1641,5,13.7,0.0,Clear,1,New Year,1641,0,328.2,0.37,medium,3,Night
RD03,Kashmere Gate,Red Line,2024-01-01 07:00:00,7,0,0,6425,8,17.7,0.0,Cloudy,1,New Year,8066,0,803.1,0.905,high,5,Night
RD03,Kashmere Gate,Red Line,2024-01-01 08:00:00,8,0,0,19732,20,18.6,0.0,Clear,1,New Year,27798,1,986.6,1.0,high,5,Morning Peak
RD03,Kashmere Gate,Red Line,2024-01-01 09:00:00,9,0,0,24666,20,18.5,0.0,Clear,1,New Year,50823,1,1233.3,1.0,high,5,Morning Peak
RD03,Kashmere Gate,Red Line,2024-01-01 10:00:00,10,0,0,14408,20,18.5,0.0,Clear,1,New Year,58806,1,720.4,0.811,high,5,Morning Peak
RD03,Kashmere Gate,Red Line,2024-01-01 11:00:00,11,0,0,10512,10,17.5,0.0,Clear,1,New Year,49586,0,1051.2,1.0,high,5,Mid Morning
RD03,Kashmere Gate,Red Line,2024-01-01 12:00:00,12,0,0,10756,10,18.0,0.0,Clear,1,New Year,35676,0,1075.6,1.0,high,5,Mid Morning
RD03,Kashmere Gate,Red Line,2024-01-01 13:00:00,13,0,0,9360,10,16.1,0.0,Clear,1,New Year,30628,0,936.0,1.0,high,5,Mid Morning
RD03,Kashmere Gate,Red Line,2024-01-01 14:00:00,14,0,0,8582,10,14.7,0.0,Clear,1,New Year,28698,0,858.2,0.967,high,5,Afternoon
RD03,Kashmere Gate,Red Line,2024-01-01 15:00:00,15,0,0,10549,10,12.4,0.0,Clear,1,New Year,28491,0,1054.9,1.0,high,5,Afternoon
RD03,Kashmere Gate,Red Line,2024-01-01 16:00:00,16,0,0,12206,10,12.0,0.0,Clear,1,New Year,31337,0,1220.6,1.0,high,5,Afternoon
RD03,Kashmere Gate,Red Line,2024-01-01 17:00:00,17,0,0,18653,18,12.6,0.0,Clear,1,New Year,41408,1,1036.3,1.0,high,5,Evening Peak
RD03,Kashmere Gate,Red Line,2024-01-01 18:00:00,18,0,0,20075,18,11.8,0.0,Clear,1,New Year,50934,1,1115.3,1.0,high,5,Evening Peak
RD03,Kashmere Gate,Red Line,2024-01-01 19:00:00,19,0,0,19698,18,9.4,0.0,Clear,1,New Year,58426,1,1094.3,1.0,high,5,Evening Peak
RD03,Kashmere Gate,Red Line,2024-01-01 20:00:00,20,0,0,15164,18,9.6,0.0,Clear,1,New Year,54937,1,842.4,0.949,high,5,Evening Peak
RD03,Kashmere Gate,Red Line,2024-01-01 21:00:00,21,0,0,6296,7,8.6,0.0,Clear,1,New Year,41158,0,899.4,1.0,high,5,Night
RD03,Kashmere Gate,Red Line,2024-01-01 22:00:00,22,0,0,2588,7,10.3,0.0,Clear,1,New Year,24048,0,369.7,0.416,medium,3,Night
RD03,Kashmere Gate,Red Line,2024-01-01 23:00:00,23,0,0,912,0,10.5,0.0,Clear,1,New Year,9796,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,3500,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,912,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD03,Kashmere Gate,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
