station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD04,Netaji Subhash Place,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 06:00:00,6,0,0,129,5,13.7,0.0,Clear,1,New Year,129,0,25.8,0.398,medium,3,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 07:00:00,7,0,0,452,8,17.7,0.0,Cloudy,1,New Year,581,0,56.5,0.872,high,5,Night
RD04,Netaji Subhash Place,Red Line,2024-01-01 08:00:00,8,0,0,1496,20,18.6,0.0,Clear,1,New Year,2077,1,74.8,1.0,high,5,Morning Peak
RD04,Netaji Subhash Place,Red Line,2024-01-01 09:00:00,9,0,0,1821,20,18.5,0.0,Clear,1,New Year,3769,1,91.0,1.0,high,5,Morning Peak
RD04,Netaji Subhash Place,Red Line,2024-01-01 10:00:00,10,0,0,1109,20,18.5,0.0,Clear,1,New Year,4426,1,55.5,0.857,high,5,Morning Peak
RD04,Netaji Subhash Place,Red Line,2024-01-01 11:00:00,11,0,0,821,10,17.5,0.0,Clear,1,New Year,3751,0,82.1,1.0,high,5,Mid Morning
RD04,Netaji Subhash Place,Red Line,2024-01-01 12:00:00,12,0,0,748,10,18.0,0.0,Clear,1,New Year,2678,0,74.8,1.0,high,5,Mid Morning
RD04,Netaji Subhash Place,Red Line,2024-01-01 13:00:00,13,0,0,731,10,16.1,0.0,Clear,1,New Year,2300,0,73.1,1.0,high,5,Mid Morning
RD04,Netaji Subhash Place,Red Line,2024-01-01 14:00:00,14,0,0,689,10,14.7,0.0,Clear,1,New Year,2168,0,68.9,1.0,high,5,Afternoon
RD04,Netaji Subhash Place,Red Line,2024-01-01 15:00:00,15,0,0,681,10,12.4,0.0,Clear,1,New Year,2101,0,68.1,1.0,high,5,Afternoon
RD04,Netaji Subhash Place,Red Line,2024-01-01 16:00:00,16,0,0,839,10,12.0,0.0,Clear,1,New Year,2209,0,83.9,1.0,high,5,Afternoon
RD04,Netaji Subhash Place,Red Line,2024-01-01 17:00:00,17,0,0,1269,18,12.6,0.0,Clear,1,New Year,2789,1,70.5,1.0,high,5,Evening Peak
RD04,Netaji Subhash Place,Red Line,2024-01-01 18:00:00,18,0,0,1497,18,11.8,0.0,Clear,1,New Year,3605,1,83.2,1.0,high,5,Evening Peak
RD04,Netaji Subhash Place,Red Line,2024-01-01 19:00:00,19,0,0,1487,18,9.4,0.0,Clear,1,New Year,4253,1,82.6,1.0,high,5,Evening Peak
