station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD08,Rohini East,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD08,Rohini East,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD08,Rohini East,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD08,Rohini East,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD08,Rohini East,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD08,Rohini East,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD08,Rohini East,Red Line,2024-01-01 06:00:00,6,0,0,68,5,13.7,0.0,Clear,1,New Year,68,0,13.6,0.389,medium,3,Night
RD08,Rohini East,Red Line,2024-01-01 07:00:00,7,0,0,256,8,17.7,0.0,Cloudy,1,New Year,324,0,32.0,0.914,high,5,Night
RD08,Rohini East,Red Line,2024-01-01 08:00:00,8,0,0,825,20,18.6,0.0,Clear,1,New Year,1149,1,41.2,1.0,high,5,Morning Peak
RD08,Rohini East,Red Line,2024-01-01 09:00:00,9,0,0,862,20,18.5,0.0,Clear,1,New Year,1943,1,43.1,1.0,high,5,Morning Peak
RD08,Rohini East,Red Line,2024-01-01 10:00:00,10,0,0,586,20,18.5,0.0,Clear,1,New Year,2273,1,29.3,0.837,high,5,Morning Peak
RD08,Rohini East,Red Line,2024-01-01 11:00:00,11,0,0,446,10,17.5,0.0,Clear,1,New Year,1894,0,44.6,1.0,high,5,Mid Morning
RD08,Rohini East,Red Line,2024-01-01 12:00:00,12,0,0,424,10,18.0,0.0,Clear,1,New Year,1456,0,42.4,1.0,high,5,Mid Morning
RD08,Rohini East,Red Line,2024-01-01 13:00:00,13,0,0,378,10,16.1,0.0,Clear,1,New Year,1248,0,37.8,1.0,high,5,Mid Morning
RD08,Rohini East,Red Line,2024-01-01 14:00:00,14,0,0,372,10,14.7,0.0,Clear,1,New Year,1174,0,37.2,1.0,high,5,Afternoon
RD08,Rohini East,Red Line,2024-01-01 15:00:00,15,0,0,408,10,12.4,0.0,Clear,1,New Year,1158,0,40.8,1.0,high,5,Afternoon
RD08,Rohini East,Red Line,2024-01-01 16:00:00,16,0,0,498,10,12.0,0.0,Clear,1,New Year,1278,0,49.8,1.0,high,5,Afternoon
RD08,Rohini East,Red Line,2024-01-01 17:00:00,17,0,0,753,18,12.6,0.0,Clear,1,New Year,1659,1,41.8,1.0,high,5,Evening Peak
RD08,Rohini East,Red Line,2024-01-01 18:00:00,18,0,0,859,18,11.8,0.0,Clear,1,New Year,2110,1,47.7,1.0,high,5,Evening Peak
RD08,Rohini East,Red Line,2024-01-01 19:00:00,19,0,0,744,18,9.4,0.0,Clear,1,New Year,2356,1,41.3,1.0,high,5,Evening Peak
RD08,Rohini East,Red Line,2024-01-01 20:00:00,20,0,0,545,18,9.6,0.0,Clear,1,New Year,2148,1,30.3,0.866,high,5,Evening Peak
