station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD10,Seelampur,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-01 06:00:00,6,0,0,45,5,13.7,0.0,Clear,1,New Year,45,0,9.0,0.369,medium,3,Night
RD10,Seelampur,Red Line,2024-01-01 07:00:00,7,0,0,177,8,17.7,0.0,Cloudy,1,New Year,222,0,22.1,0.906,high,5,Night
RD10,Seelampur,Red Line,2024-01-01 08:00:00,8,0,0,504,20,18.6,0.0,Clear,1,New Year,726,1,25.2,1.0,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-01 09:00:00,9,0,0,653,20,18.5,0.0,Clear,1,New Year,1334,1,32.6,1.0,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-01 10:00:00,10,0,0,457,20,18.5,0.0,Clear,1,New Year,1614,1,22.9,0.939,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-01 11:00:00,11,0,0,280,10,17.5,0.0,Clear,1,New Year,1390,0,28.0,1.0,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-01 12:00:00,12,0,0,281,10,18.0,0.0,Clear,1,New Year,1018,0,28.1,1.0,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-01 13:00:00,13,0,0,262,10,16.1,0.0,Clear,1,New Year,823,0,26.2,1.0,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-01 14:00:00,14,0,0,261,10,14.7,0.0,Clear,1,New Year,804,0,26.1,1.0,high,5,Afternoon
RD10,Seelampur,Red Line,2024-01-01 15:00:00,15,0,0,257,10,12.4,0.0,Clear,1,New Year,780,0,25.7,1.0,high,5,Afternoon
RD10,Seelampur,Red Line,2024-01-01 16:00:00,16,0,0,347,10,12.0,0.0,Clear,1,New Year,865,0,34.7,1.0,high,5,Afternoon
RD10,Seelampur,Red Line,2024-01-01 17:00:00,17,0,0,545,18,12.6,0.0,Clear,1,New Year,1149,1,30.3,1.0,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-01 18:00:00,18,0,0,627,18,11.8,0.0,Clear,1,New Year,1519,1,34.8,1.0,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-01 19:00:00,19,0,0,537,18,9.4,0.0,Clear,1,New Year,1709,1,29.8,1.0,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-01 20:00:00,20,0,0,402,18,9.6,0.0,Clear,1,New Year,1566,1,22.3,0.914,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-01 21:00:00,21,0,0,189,7,8.6,0.0,Clear,1,New Year,1128,0,27.0,1.0,high,5,Night
RD10,Seelampur,Red Line,2024-01-01 22:00:00,22,0,0,77,7,10.3,0.0,Clear,1,New Year,668,0,11.0,0.451,medium,3,Night
RD10,Seelampur,Red Line,2024-01-01 23:00:00,23,0,0,24,0,10.5,0.0,Clear,1,New Year,290,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,101,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,24,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-02 06:00:00,6,1,0,35,5,14.5,0.0,Clear,0,,35,0,7.0,0.287,low,2,Night
RD10,Seelampur,Red Line,2024-01-02 07:00:00,7,1,0,128,8,16.3,0.0,Clear,0,,163,0,16.0,0.656,high,4,Night
RD10,Seelampur,Red Line,2024-01-02 08:00:00,8,1,0,406,20,17.4,0.0,Cloudy,0,,569,1,20.3,0.832,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-02 09:00:00,9,1,0,488,20,18.4,0.0,Clear,0,,1022,1,24.4,1.0,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-02 10:00:00,10,1,0,326,20,20.4,0.0,Cloudy,0,,1220,1,16.3,0.668,high,4,Morning Peak
RD10,Seelampur,Red Line,2024-01-02 11:00:00,11,1,0,222,10,19.8,0.0,Cloudy,0,,1036,0,22.2,0.91,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-02 12:00:00,12,1,0,230,10,18.2,0.0,Clear,0,,778,0,23.0,0.943,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-02 13:00:00,13,1,0,183,10,16.1,0.0,Clear,0,,635,0,18.3,0.75,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-02 14:00:00,14,1,0,177,10,14.6,0.0,Clear,0,,590,0,17.7,0.725,high,4,Afternoon
RD10,Seelampur,Red Line,2024-01-02 15:00:00,15,1,0,188,10,13.0,0.0,Clear,0,,548,0,18.8,0.77,high,5,Afternoon
RD10,Seelampur,Red Line,2024-01-02 16:00:00,16,1,0,254,10,11.6,0.0,Clear,0,,619,0,25.4,1.0,high,5,Afternoon
RD10,Seelampur,Red Line,2024-01-02 17:00:00,17,1,0,355,18,11.3,0.0,Clear,0,,797,1,19.7,0.807,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-02 18:00:00,18,1,0,453,18,11.6,0.0,Clear,0,,1062,1,25.2,1.0,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-02 19:00:00,19,1,0,388,18,10.7,0.0,Clear,0,,1196,1,21.6,0.885,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-02 20:00:00,20,1,0,285,18,11.3,0.0,Clear,0,,1126,1,15.8,0.648,medium,4,Evening Peak
RD10,Seelampur,Red Line,2024-01-02 21:00:00,21,1,0,141,7,9.6,0.0,Clear,0,,814,0,20.1,0.824,high,5,Night
RD10,Seelampur,Red Line,2024-01-02 22:00:00,22,1,0,58,7,9.8,0.0,Clear,0,,484,0,8.3,0.34,low,2,Night
RD10,Seelampur,Red Line,2024-01-02 23:00:00,23,1,0,16,0,9.3,0.0,Clear,0,,215,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,74,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,16,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-03 06:00:00,6,2,0,35,5,14.7,0.0,Cloudy,0,,35,0,7.0,0.287,low,2,Night
RD10,Seelampur,Red Line,2024-01-03 07:00:00,7,2,0,127,8,16.2,0.0,Clear,0,,162,0,15.9,0.652,high,4,Night
RD10,Seelampur,Red Line,2024-01-03 08:00:00,8,2,0,409,20,16.0,0.0,Clear,0,,571,1,20.4,0.836,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-03 09:00:00,9,2,0,507,20,19.3,0.0,Clear,0,,1043,1,25.4,1.0,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-03 10:00:00,10,2,0,313,20,18.1,0.0,Clear,0,,1229,1,15.7,0.643,medium,4,Morning Peak
RD10,Seelampur,Red Line,2024-01-03 11:00:00,11,2,0,213,10,17.9,0.0,Clear,0,,1033,0,21.3,0.873,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-03 12:00:00,12,2,0,210,10,18.4,0.0,Clear,0,,736,0,21.0,0.861,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-03 13:00:00,13,2,0,197,10,16.5,0.0,Clear,0,,620,0,19.7,0.807,high,5,Mid Morning
RD10,Seelampur,Red Line,2024-01-03 14:00:00,14,2,0,173,10,14.9,0.0,Clear,0,,580,0,17.3,0.709,high,4,Afternoon
RD10,Seelampur,Red Line,2024-01-03 15:00:00,15,2,0,188,10,12.6,0.0,Clear,0,,558,0,18.8,0.77,high,5,Afternoon
RD10,Seelampur,Red Line,2024-01-03 16:00:00,16,2,0,249,10,11.3,0.0,Clear,0,,610,0,24.9,1.0,high,5,Afternoon
RD10,Seelampur,Red Line,2024-01-03 17:00:00,17,2,0,382,18,10.7,0.0,Clear,0,,819,1,21.2,0.869,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-03 18:00:00,18,2,0,435,18,11.1,0.0,Clear,0,,1066,1,24.2,0.992,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-03 19:00:00,19,2,0,430,18,11.5,0.0,Cloudy,0,,1247,1,23.9,0.98,high,5,Evening Peak
RD10,Seelampur,Red Line,2024-01-03 20:00:00,20,2,0,296,18,10.0,0.0,Clear,0,,1161,1,16.4,0.672,high,4,Evening Peak
RD10,Seelampur,Red Line,2024-01-03 21:00:00,21,2,0,131,7,7.6,0.0,Clear,0,,857,0,18.7,0.766,high,5,Night
RD10,Seelampur,Red Line,2024-01-03 22:00:00,22,2,0,58,7,10.0,0.0,Clear,0,,485,0,8.3,0.34,low,2,Night
RD10,Seelampur,Red Line,2024-01-03 23:00:00,23,2,0,16,0,9.9,0.0,Clear,0,,205,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,74,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,16,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD10,Seelampur,Red Line,2024-01-04 06:00:00,6,3,0,33,5,13.6,0.0,Clear,0,,33,0,6.6,0.27,low,2,Night
RD10,Seelampur,Red Line,2024-01-04 07:00:00,7,3,0,126,8,16.3,0.0,Clear,0,,159,0,15.8,0.648,medium,4,Night
RD10,Seelampur,Red Line,2024-01-04 08:00:00,8,3,0,426,20,18.9,0.0,Clear,0,,585,1,21.3,0.873,high,5,Morning Peak
RD10,Seelampur,Red Line,2024-01-04 09:00:00,9,3,0,460,20,21.2,0.0,Clear,0,,1012,1,23.0,0.943,high,5,Morning Peak
