station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD12,Shastri Park,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-01 06:00:00,6,0,0,52,5,13.7,0.0,Clear,1,New Year,52,0,10.4,0.373,medium,3,Night
RD12,Shastri Park,Red Line,2024-01-01 07:00:00,7,0,0,199,8,17.7,0.0,Cloudy,1,New Year,251,0,24.9,0.892,high,5,Night
RD12,Shastri Park,Red Line,2024-01-01 08:00:00,8,0,0,663,20,18.6,0.0,Clear,1,New Year,914,1,33.1,1.0,high,5,Morning Peak
RD12,Shastri Park,Red Line,2024-01-01 09:00:00,9,0,0,750,20,18.5,0.0,Clear,1,New Year,1612,1,37.5,1.0,high,5,Morning Peak
RD12,Shastri Park,Red Line,2024-01-01 10:00:00,10,0,0,449,20,18.5,0.0,Clear,1,New Year,1862,1,22.4,0.803,high,5,Morning Peak
RD12,Shastri Park,Red Line,2024-01-01 11:00:00,11,0,0,317,10,17.5,0.0,Clear,1,New Year,1516,0,31.7,1.0,high,5,Mid Morning
RD12,Shastri Park,Red Line,2024-01-01 12:00:00,12,0,0,351,10,18.0,0.0,Clear,1,New Year,1117,0,35.1,1.0,high,5,Mid Morning
RD12,Shastri Park,Red Line,2024-01-01 13:00:00,13,0,0,307,10,16.1,0.0,Clear,1,New Year,975,0,30.7,1.0,high,5,Mid Morning
RD12,Shastri Park,Red Line,2024-01-01 14:00:00,14,0,0,306,10,14.7,0.0,Clear,1,New Year,964,0,30.6,1.0,high,5,Afternoon
RD12,Shastri Park,Red Line,2024-01-01 15:00:00,15,0,0,330,10,12.4,0.0,Clear,1,New Year,943,0,33.0,1.0,high,5,Afternoon
RD12,Shastri Park,Red Line,2024-01-01 16:00:00,16,0,0,370,10,12.0,0.0,Clear,1,New Year,1006,0,37.0,1.0,high,5,Afternoon
RD12,Shastri Park,Red Line,2024-01-01 17:00:00,17,0,0,621,18,12.6,0.0,Clear,1,New Year,1321,1,34.5,1.0,high,5,Evening Peak
RD12,Shastri Park,Red Line,2024-01-01 18:00:00,18,0,0,725,18,11.8,0.0,Clear,1,New Year,1716,1,40.3,1.0,high,5,Evening Peak
RD12,Shastri Park,Red Line,2024-01-01 19:00:00,19,0,0,643,18,9.4,0.0,Clear,1,New Year,1989,1,35.7,1.0,high,5,Evening Peak
RD12,Shastri Park,Red Line,2024-01-01 20:00:00,20,0,0,451,18,9.6,0.0,Clear,1,New Year,1819,1,25.1,0.9,high,5,Evening Peak
RD12,Shastri Park,Red Line,2024-01-01 21:00:00,21,0,0,200,7,8.6,0.0,Clear,1,New Year,1294,0,28.6,1.0,high,5,Night
RD12,Shastri Park,Red Line,2024-01-01 22:00:00,22,0,0,88,7,10.3,0.0,Clear,1,New Year,739,0,12.6,0.452,medium,3,Night
RD12,Shastri Park,Red Line,2024-01-01 23:00:00,23,0,0,28,0,10.5,0.0,Clear,1,New Year,316,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,116,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,28,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD12,Shastri Park,Red Line,2024-01-02 06:00:00,6,1,0,40,5,14.5,0.0,Clear,0,,40,0,8.0,0.287,low,2,Night
RD12,Shastri Park,Red Line,2024-01-02 07:00:00,7,1,0,160,8,16.3,0.0,Clear,0,,200,0,20.0,0.717,high,4,Night
RD12,Shastri Park,Red Line,2024-01-02 08:00:00,8,1,0,437,20,17.4,0.0,Cloudy,0,,637,1,21.9,0.785,high,5,Morning Peak
RD12,Shastri Park,Red Line,2024-01-02 09:00:00,9,1,0,516,20,18.4,0.0,Clear,0,,1113,1,25.8,0.925,high,5,Morning Peak
