station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD15,Arthala,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-01 06:00:00,6,0,0,32,5,13.7,0.0,Clear,1,New Year,32,0,6.4,0.381,medium,3,Night
RD15,Arthala,Red Line,2024-01-01 07:00:00,7,0,0,113,8,17.7,0.0,Cloudy,1,New Year,145,0,14.1,0.839,high,5,Night
RD15,Arthala,Red Line,2024-01-01 08:00:00,8,0,0,379,20,18.6,0.0,Clear,1,New Year,524,1,18.9,1.0,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-01 09:00:00,9,0,0,449,20,18.5,0.0,Clear,1,New Year,941,1,22.4,1.0,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-01 10:00:00,10,0,0,304,20,18.5,0.0,Clear,1,New Year,1132,1,15.2,0.905,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-01 11:00:00,11,0,0,204,10,17.5,0.0,Clear,1,New Year,957,0,20.4,1.0,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-01 12:00:00,12,0,0,198,10,18.0,0.0,Clear,1,New Year,706,0,19.8,1.0,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-01 13:00:00,13,0,0,185,10,16.1,0.0,Clear,1,New Year,587,0,18.5,1.0,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-01 14:00:00,14,0,0,182,10,14.7,0.0,Clear,1,New Year,565,0,18.2,1.0,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-01 15:00:00,15,0,0,201,10,12.4,0.0,Clear,1,New Year,568,0,20.1,1.0,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-01 16:00:00,16,0,0,218,10,12.0,0.0,Clear,1,New Year,601,0,21.8,1.0,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-01 17:00:00,17,0,0,364,18,12.6,0.0,Clear,1,New Year,783,1,20.2,1.0,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-01 18:00:00,18,0,0,390,18,11.8,0.0,Clear,1,New Year,972,1,21.7,1.0,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-01 19:00:00,19,0,0,356,18,9.4,0.0,Clear,1,New Year,1110,1,19.8,1.0,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-01 20:00:00,20,0,0,259,18,9.6,0.0,Clear,1,New Year,1005,1,14.4,0.857,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-01 21:00:00,21,0,0,117,7,8.6,0.0,Clear,1,New Year,732,0,16.7,0.994,high,5,Night
RD15,Arthala,Red Line,2024-01-01 22:00:00,22,0,0,53,7,10.3,0.0,Clear,1,New Year,429,0,7.6,0.452,medium,3,Night
RD15,Arthala,Red Line,2024-01-01 23:00:00,23,0,0,16,0,10.5,0.0,Clear,1,New Year,186,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,69,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,16,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-02 06:00:00,6,1,0,23,5,14.5,0.0,Clear,0,,23,0,4.6,0.274,low,2,Night
RD15,Arthala,Red Line,2024-01-02 07:00:00,7,1,0,94,8,16.3,0.0,Clear,0,,117,0,11.8,0.702,high,4,Night
RD15,Arthala,Red Line,2024-01-02 08:00:00,8,1,0,279,20,17.4,0.0,Cloudy,0,,396,1,13.9,0.827,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-02 09:00:00,9,1,0,299,20,18.4,0.0,Clear,0,,672,1,14.9,0.887,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-02 10:00:00,10,1,0,203,20,20.4,0.0,Cloudy,0,,781,1,10.2,0.607,medium,4,Morning Peak
RD15,Arthala,Red Line,2024-01-02 11:00:00,11,1,0,156,10,19.8,0.0,Cloudy,0,,658,0,15.6,0.929,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-02 12:00:00,12,1,0,159,10,18.2,0.0,Clear,0,,518,0,15.9,0.946,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-02 13:00:00,13,1,0,130,10,16.1,0.0,Clear,0,,445,0,13.0,0.774,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-02 14:00:00,14,1,0,129,10,14.6,0.0,Clear,0,,418,0,12.9,0.768,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-02 15:00:00,15,1,0,145,10,13.0,0.0,Clear,0,,404,0,14.5,0.863,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-02 16:00:00,16,1,0,163,10,11.6,0.0,Clear,0,,437,0,16.3,0.97,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-02 17:00:00,17,1,0,274,18,11.3,0.0,Clear,0,,582,1,15.2,0.905,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-02 18:00:00,18,1,0,283,18,11.6,0.0,Clear,0,,720,1,15.7,0.935,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-02 19:00:00,19,1,0,287,18,10.7,0.0,Clear,0,,844,1,15.9,0.946,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-02 20:00:00,20,1,0,199,18,11.3,0.0,Clear,0,,769,1,11.1,0.661,high,4,Evening Peak
RD15,Arthala,Red Line,2024-01-02 21:00:00,21,1,0,90,7,9.6,0.0,Clear,0,,576,0,12.9,0.768,high,5,Night
RD15,Arthala,Red Line,2024-01-02 22:00:00,22,1,0,40,7,9.8,0.0,Clear,0,,329,0,5.7,0.339,low,2,Night
RD15,Arthala,Red Line,2024-01-02 23:00:00,23,1,0,13,0,9.3,0.0,Clear,0,,143,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,53,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,13,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-03 06:00:00,6,2,0,25,5,14.7,0.0,Cloudy,0,,25,0,5.0,0.298,low,2,Night
RD15,Arthala,Red Line,2024-01-03 07:00:00,7,2,0,87,8,16.2,0.0,Clear,0,,112,0,10.9,0.649,medium,4,Night
RD15,Arthala,Red Line,2024-01-03 08:00:00,8,2,0,273,20,16.0,0.0,Clear,0,,385,1,13.7,0.815,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-03 09:00:00,9,2,0,318,20,19.3,0.0,Clear,0,,678,1,15.9,0.946,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-03 10:00:00,10,2,0,206,20,18.1,0.0,Clear,0,,797,1,10.3,0.613,medium,4,Morning Peak
RD15,Arthala,Red Line,2024-01-03 11:00:00,11,2,0,145,10,17.9,0.0,Clear,0,,669,0,14.5,0.863,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-03 12:00:00,12,2,0,147,10,18.4,0.0,Clear,0,,498,0,14.7,0.875,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-03 13:00:00,13,2,0,137,10,16.5,0.0,Clear,0,,429,0,13.7,0.815,high,5,Mid Morning
RD15,Arthala,Red Line,2024-01-03 14:00:00,14,2,0,125,10,14.9,0.0,Clear,0,,409,0,12.5,0.744,high,4,Afternoon
RD15,Arthala,Red Line,2024-01-03 15:00:00,15,2,0,135,10,12.6,0.0,Clear,0,,397,0,13.5,0.804,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-03 16:00:00,16,2,0,159,10,11.3,0.0,Clear,0,,419,0,15.9,0.946,high,5,Afternoon
RD15,Arthala,Red Line,2024-01-03 17:00:00,17,2,0,265,18,10.7,0.0,Clear,0,,559,1,14.7,0.875,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-03 18:00:00,18,2,0,293,18,11.1,0.0,Clear,0,,717,1,16.3,0.97,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-03 19:00:00,19,2,0,268,18,11.5,0.0,Cloudy,0,,826,1,14.9,0.887,high,5,Evening Peak
RD15,Arthala,Red Line,2024-01-03 20:00:00,20,2,0,196,18,10.0,0.0,Clear,0,,757,1,10.9,0.649,medium,4,Evening Peak
RD15,Arthala,Red Line,2024-01-03 21:00:00,21,2,0,92,7,7.6,0.0,Clear,0,,556,0,13.1,0.78,high,5,Night
RD15,Arthala,Red Line,2024-01-03 22:00:00,22,2,0,41,7,10.0,0.0,Clear,0,,329,0,5.9,0.351,medium,3,Night
RD15,Arthala,Red Line,2024-01-03 23:00:00,23,2,0,11,0,9.9,0.0,Clear,0,,144,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,52,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,11,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD15,Arthala,Red Line,2024-01-04 06:00:00,6,3,0,25,5,13.6,0.0,Clear,0,,25,0,5.0,0.298,low,2,Night
RD15,Arthala,Red Line,2024-01-04 07:00:00,7,3,0,91,8,16.3,0.0,Clear,0,,116,0,11.4,0.679,high,4,Night
RD15,Arthala,Red Line,2024-01-04 08:00:00,8,3,0,267,20,18.9,0.0,Clear,0,,383,1,13.3,0.792,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-04 09:00:00,9,3,0,337,20,21.2,0.0,Clear,0,,695,1,16.9,1.0,high,5,Morning Peak
RD15,Arthala,Red Line,2024-01-04 10:00:00,10,3,0,227,20,19.8,0.0,Clear,0,,831,1,11.3,0.673,high,4,Morning Peak
RD15,Arthala,Red Line,2024-01-04 11:00:00,11,3,0,154,10,21.6,0.0,Clear,0,,718,0,15.4,0.917,high,5,Mid Morning
