station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD16,Inderlok,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-01 06:00:00,6,0,0,101,5,13.7,0.0,Clear,1,New Year,101,0,20.2,0.383,medium,3,Night
RD16,Inderlok,Red Line,2024-01-01 07:00:00,7,0,0,389,8,17.7,0.0,Cloudy,1,New Year,490,0,48.6,0.921,high,5,Night
RD16,Inderlok,Red Line,2024-01-01 08:00:00,8,0,0,1078,20,18.6,0.0,Clear,1,New Year,1568,1,53.9,1.0,high,5,Morning Peak
RD16,Inderlok,Red Line,2024-01-01 09:00:00,9,0,0,1454,20,18.5,0.0,Clear,1,New Year,2921,1,72.7,1.0,high,5,Morning Peak
RD16,Inderlok,Red Line,2024-01-01 10:00:00,10,0,0,916,20,18.5,0.0,Clear,1,New Year,3448,1,45.8,0.868,high,5,Morning Peak
RD16,Inderlok,Red Line,2024-01-01 11:00:00,11,0,0,618,10,17.5,0.0,Clear,1,New Year,2988,0,61.8,1.0,high,5,Mid Morning
RD16,Inderlok,Red Line,2024-01-01 12:00:00,12,0,0,593,10,18.0,0.0,Clear,1,New Year,2127,0,59.3,1.0,high,5,Mid Morning
RD16,Inderlok,Red Line,2024-01-01 13:00:00,13,0,0,554,10,16.1,0.0,Clear,1,New Year,1765,0,55.4,1.0,high,5,Mid Morning
RD16,Inderlok,Red Line,2024-01-01 14:00:00,14,0,0,565,10,14.7,0.0,Clear,1,New Year,1712,0,56.5,1.0,high,5,Afternoon
RD16,Inderlok,Red Line,2024-01-01 15:00:00,15,0,0,564,10,12.4,0.0,Clear,1,New Year,1683,0,56.4,1.0,high,5,Afternoon
RD16,Inderlok,Red Line,2024-01-01 16:00:00,16,0,0,674,10,12.0,0.0,Clear,1,New Year,1803,0,67.4,1.0,high,5,Afternoon
RD16,Inderlok,Red Line,2024-01-01 17:00:00,17,0,0,1045,18,12.6,0.0,Clear,1,New Year,2283,1,58.1,1.0,high,5,Evening Peak
RD16,Inderlok,Red Line,2024-01-01 18:00:00,18,0,0,1229,18,11.8,0.0,Clear,1,New Year,2948,1,68.3,1.0,high,5,Evening Peak
RD16,Inderlok,Red Line,2024-01-01 19:00:00,19,0,0,1259,18,9.4,0.0,Clear,1,New Year,3533,1,69.9,1.0,high,5,Evening Peak
RD16,Inderlok,Red Line,2024-01-01 20:00:00,20,0,0,904,18,9.6,0.0,Clear,1,New Year,3392,1,50.2,0.951,high,5,Evening Peak
RD16,Inderlok,Red Line,2024-01-01 21:00:00,21,0,0,410,7,8.6,0.0,Clear,1,New Year,2573,0,58.6,1.0,high,5,Night
RD16,Inderlok,Red Line,2024-01-01 22:00:00,22,0,0,164,7,10.3,0.0,Clear,1,New Year,1478,0,23.4,0.443,medium,3,Night
RD16,Inderlok,Red Line,2024-01-01 23:00:00,23,0,0,54,0,10.5,0.0,Clear,1,New Year,628,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,218,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,54,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD16,Inderlok,Red Line,2024-01-02 06:00:00,6,1,0,79,5,14.5,0.0,Clear,0,,79,0,15.8,0.299,low,2,Night
RD16,Inderlok,Red Line,2024-01-02 07:00:00,7,1,0,282,8,16.3,0.0,Clear,0,,361,0,35.2,0.667,high,4,Night
RD16,Inderlok,Red Line,2024-01-02 08:00:00,8,1,0,885,20,17.4,0.0,Cloudy,0,,1246,1,44.2,0.838,high,5,Morning Peak
RD16,Inderlok,Red Line,2024-01-02 09:00:00,9,1,0,1072,20,18.4,0.0,Clear,0,,2239,1,53.6,1.0,high,5,Morning Peak
