station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD18,Keshav Puram,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-01 06:00:00,6,0,0,42,5,13.7,0.0,Clear,1,New Year,42,0,8.4,0.376,medium,3,Night
RD18,Keshav Puram,Red Line,2024-01-01 07:00:00,7,0,0,168,8,17.7,0.0,Cloudy,1,New Year,210,0,21.0,0.939,high,5,Night
RD18,Keshav Puram,Red Line,2024-01-01 08:00:00,8,0,0,487,20,18.6,0.0,Clear,1,New Year,697,1,24.4,1.0,high,5,Morning Peak
RD18,Keshav Puram,Red Line,2024-01-01 09:00:00,9,0,0,615,20,18.5,0.0,Clear,1,New Year,1270,1,30.8,1.0,high,5,Morning Peak
RD18,Keshav Puram,Red Line,2024-01-01 10:00:00,10,0,0,408,20,18.5,0.0,Clear,1,New Year,1510,1,20.4,0.912,high,5,Morning Peak
RD18,Keshav Puram,Red Line,2024-01-01 11:00:00,11,0,0,264,10,17.5,0.0,Clear,1,New Year,1287,0,26.4,1.0,high,5,Mid Morning
RD18,Keshav Puram,Red Line,2024-01-01 12:00:00,12,0,0,263,10,18.0,0.0,Clear,1,New Year,935,0,26.3,1.0,high,5,Mid Morning
RD18,Keshav Puram,Red Line,2024-01-01 13:00:00,13,0,0,231,10,16.1,0.0,Clear,1,New Year,758,0,23.1,1.0,high,5,Mid Morning
RD18,Keshav Puram,Red Line,2024-01-01 14:00:00,14,0,0,226,10,14.7,0.0,Clear,1,New Year,720,0,22.6,1.0,high,5,Afternoon
RD18,Keshav Puram,Red Line,2024-01-01 15:00:00,15,0,0,236,10,12.4,0.0,Clear,1,New Year,693,0,23.6,1.0,high,5,Afternoon
RD18,Keshav Puram,Red Line,2024-01-01 16:00:00,16,0,0,314,10,12.0,0.0,Clear,1,New Year,776,0,31.4,1.0,high,5,Afternoon
RD18,Keshav Puram,Red Line,2024-01-01 17:00:00,17,0,0,496,18,12.6,0.0,Clear,1,New Year,1046,1,27.6,1.0,high,5,Evening Peak
RD18,Keshav Puram,Red Line,2024-01-01 18:00:00,18,0,0,522,18,11.8,0.0,Clear,1,New Year,1332,1,29.0,1.0,high,5,Evening Peak
RD18,Keshav Puram,Red Line,2024-01-01 19:00:00,19,0,0,533,18,9.4,0.0,Clear,1,New Year,1551,1,29.6,1.0,high,5,Evening Peak
RD18,Keshav Puram,Red Line,2024-01-01 20:00:00,20,0,0,364,18,9.6,0.0,Clear,1,New Year,1419,1,20.2,0.903,high,5,Evening Peak
RD18,Keshav Puram,Red Line,2024-01-01 21:00:00,21,0,0,169,7,8.6,0.0,Clear,1,New Year,1066,0,24.1,1.0,high,5,Night
RD18,Keshav Puram,Red Line,2024-01-01 22:00:00,22,0,0,70,7,10.3,0.0,Clear,1,New Year,603,0,10.0,0.447,medium,3,Night
RD18,Keshav Puram,Red Line,2024-01-01 23:00:00,23,0,0,22,0,10.5,0.0,Clear,1,New Year,261,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,92,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,22,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD18,Keshav Puram,Red Line,2024-01-02 06:00:00,6,1,0,33,5,14.5,0.0,Clear,0,,33,0,6.6,0.295,low,2,Night
RD18,Keshav Puram,Red Line,2024-01-02 07:00:00,7,1,0,110,8,16.3,0.0,Clear,0,,143,0,13.8,0.617,medium,4,Night
RD18,Keshav Puram,Red Line,2024-01-02 08:00:00,8,1,0,394,20,17.4,0.0,Cloudy,0,,537,1,19.7,0.881,high,5,Morning Peak
RD18,Keshav Puram,Red Line,2024-01-02 09:00:00,9,1,0,423,20,18.4,0.0,Clear,0,,927,1,21.1,0.943,high,5,Morning Peak
