station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD22,Mansarovar Park,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD22,Mansarovar Park,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD22,Mansarovar Park,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD22,Mansarovar Park,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD22,Mansarovar Park,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD22,Mansarovar Park,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD22,Mansarovar Park,Red Line,2024-01-01 06:00:00,6,0,0,51,5,13.7,0.0,Clear,1,New Year,51,0,10.2,0.407,medium,3,Night
RD22,Mansarovar Park,Red Line,2024-01-01 07:00:00,7,0,0,172,8,17.7,0.0,Cloudy,1,New Year,223,0,21.5,0.858,high,5,Night
RD22,Mansarovar Park,Red Line,2024-01-01 08:00:00,8,0,0,597,20,18.6,0.0,Clear,1,New Year,820,1,29.9,1.0,high,5,Morning Peak
RD22,Mansarovar Park,Red Line,2024-01-01 09:00:00,9,0,0,650,20,18.5,0.0,Clear,1,New Year,1419,1,32.5,1.0,high,5,Morning Peak
RD22,Mansarovar Park,Red Line,2024-01-01 10:00:00,10,0,0,418,20,18.5,0.0,Clear,1,New Year,1665,1,20.9,0.834,high,5,Morning Peak
RD22,Mansarovar Park,Red Line,2024-01-01 11:00:00,11,0,0,325,10,17.5,0.0,Clear,1,New Year,1393,0,32.5,1.0,high,5,Mid Morning
RD22,Mansarovar Park,Red Line,2024-01-01 12:00:00,12,0,0,284,10,18.0,0.0,Clear,1,New Year,1027,0,28.4,1.0,high,5,Mid Morning
