station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD23,Mohan Nagar,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-01 06:00:00,6,0,0,35,5,13.7,0.0,Clear,1,New Year,35,0,7.0,0.357,medium,3,Night
RD23,Mohan Nagar,Red Line,2024-01-01 07:00:00,7,0,0,139,8,17.7,0.0,Cloudy,1,New Year,174,0,17.4,0.888,high,5,Night
RD23,Mohan Nagar,Red Line,2024-01-01 08:00:00,8,0,0,424,20,18.6,0.0,Clear,1,New Year,598,1,21.2,1.0,high,5,Morning Peak
RD23,Mohan Nagar,Red Line,2024-01-01 09:00:00,9,0,0,521,20,18.5,0.0,Clear,1,New Year,1084,1,26.1,1.0,high,5,Morning Peak
RD23,Mohan Nagar,Red Line,2024-01-01 10:00:00,10,0,0,317,20,18.5,0.0,Clear,1,New Year,1262,1,15.8,0.806,high,5,Morning Peak
RD23,Mohan Nagar,Red Line,2024-01-01 11:00:00,11,0,0,230,10,17.5,0.0,Clear,1,New Year,1068,0,23.0,1.0,high,5,Mid Morning
RD23,Mohan Nagar,Red Line,2024-01-01 12:00:00,12,0,0,250,10,18.0,0.0,Clear,1,New Year,797,0,25.0,1.0,high,5,Mid Morning
RD23,Mohan Nagar,Red Line,2024-01-01 13:00:00,13,0,0,198,10,16.1,0.0,Clear,1,New Year,678,0,19.8,1.0,high,5,Mid Morning
RD23,Mohan Nagar,Red Line,2024-01-01 14:00:00,14,0,0,200,10,14.7,0.0,Clear,1,New Year,648,0,20.0,1.0,high,5,Afternoon
RD23,Mohan Nagar,Red Line,2024-01-01 15:00:00,15,0,0,233,10,12.4,0.0,Clear,1,New Year,631,0,23.3,1.0,high,5,Afternoon
RD23,Mohan Nagar,Red Line,2024-01-01 16:00:00,16,0,0,255,10,12.0,0.0,Clear,1,New Year,688,0,25.5,1.0,high,5,Afternoon
RD23,Mohan Nagar,Red Line,2024-01-01 17:00:00,17,0,0,392,18,12.6,0.0,Clear,1,New Year,880,1,21.8,1.0,high,5,Evening Peak
RD23,Mohan Nagar,Red Line,2024-01-01 18:00:00,18,0,0,438,18,11.8,0.0,Clear,1,New Year,1085,1,24.3,1.0,high,5,Evening Peak
RD23,Mohan Nagar,Red Line,2024-01-01 19:00:00,19,0,0,442,18,9.4,0.0,Clear,1,New Year,1272,1,24.6,1.0,high,5,Evening Peak
RD23,Mohan Nagar,Red Line,2024-01-01 20:00:00,20,0,0,318,18,9.6,0.0,Clear,1,New Year,1198,1,17.7,0.903,high,5,Evening Peak
RD23,Mohan Nagar,Red Line,2024-01-01 21:00:00,21,0,0,150,7,8.6,0.0,Clear,1,New Year,910,0,21.4,1.0,high,5,Night
RD23,Mohan Nagar,Red Line,2024-01-01 22:00:00,22,0,0,58,7,10.3,0.0,Clear,1,New Year,526,0,8.3,0.423,medium,3,Night
RD23,Mohan Nagar,Red Line,2024-01-01 23:00:00,23,0,0,20,0,10.5,0.0,Clear,1,New Year,228,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,78,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,20,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD23,Mohan Nagar,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
