station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD24,Pul Bangash,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-01 06:00:00,6,0,0,43,5,13.7,0.0,Clear,1,New Year,43,0,8.6,0.386,medium,3,Night
RD24,Pul Bangash,Red Line,2024-01-01 07:00:00,7,0,0,151,8,17.7,0.0,Cloudy,1,New Year,194,0,18.9,0.848,high,5,Night
RD24,Pul Bangash,Red Line,2024-01-01 08:00:00,8,0,0,506,20,18.6,0.0,Clear,1,New Year,700,1,25.3,1.0,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-01 09:00:00,9,0,0,599,20,18.5,0.0,Clear,1,New Year,1256,1,29.9,1.0,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-01 10:00:00,10,0,0,406,20,18.5,0.0,Clear,1,New Year,1511,1,20.3,0.91,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-01 11:00:00,11,0,0,272,10,17.5,0.0,Clear,1,New Year,1277,0,27.2,1.0,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-01 12:00:00,12,0,0,264,10,18.0,0.0,Clear,1,New Year,942,0,26.4,1.0,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-01 13:00:00,13,0,0,247,10,16.1,0.0,Clear,1,New Year,783,0,24.7,1.0,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-01 14:00:00,14,0,0,243,10,14.7,0.0,Clear,1,New Year,754,0,24.3,1.0,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-01 15:00:00,15,0,0,267,10,12.4,0.0,Clear,1,New Year,757,0,26.7,1.0,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-01 16:00:00,16,0,0,291,10,12.0,0.0,Clear,1,New Year,801,0,29.1,1.0,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-01 17:00:00,17,0,0,485,18,12.6,0.0,Clear,1,New Year,1043,1,26.9,1.0,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-01 18:00:00,18,0,0,519,18,11.8,0.0,Clear,1,New Year,1295,1,28.8,1.0,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-01 19:00:00,19,0,0,475,18,9.4,0.0,Clear,1,New Year,1479,1,26.4,1.0,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-01 20:00:00,20,0,0,346,18,9.6,0.0,Clear,1,New Year,1340,1,19.2,0.861,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-01 21:00:00,21,0,0,156,7,8.6,0.0,Clear,1,New Year,977,0,22.3,1.0,high,5,Night
RD24,Pul Bangash,Red Line,2024-01-01 22:00:00,22,0,0,71,7,10.3,0.0,Clear,1,New Year,573,0,10.1,0.453,medium,3,Night
RD24,Pul Bangash,Red Line,2024-01-01 23:00:00,23,0,0,22,0,10.5,0.0,Clear,1,New Year,249,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,93,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,22,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-02 06:00:00,6,1,0,31,5,14.5,0.0,Clear,0,,31,0,6.2,0.278,low,2,Night
RD24,Pul Bangash,Red Line,2024-01-02 07:00:00,7,1,0,125,8,16.3,0.0,Clear,0,,156,0,15.6,0.7,high,4,Night
RD24,Pul Bangash,Red Line,2024-01-02 08:00:00,8,1,0,372,20,17.4,0.0,Cloudy,0,,528,1,18.6,0.834,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-02 09:00:00,9,1,0,399,20,18.4,0.0,Clear,0,,896,1,19.9,0.892,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-02 10:00:00,10,1,0,270,20,20.4,0.0,Cloudy,0,,1041,1,13.5,0.605,medium,4,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-02 11:00:00,11,1,0,208,10,19.8,0.0,Cloudy,0,,877,0,20.8,0.933,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-02 12:00:00,12,1,0,212,10,18.2,0.0,Clear,0,,690,0,21.2,0.951,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-02 13:00:00,13,1,0,173,10,16.1,0.0,Clear,0,,593,0,17.3,0.776,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-02 14:00:00,14,1,0,172,10,14.6,0.0,Clear,0,,557,0,17.2,0.771,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-02 15:00:00,15,1,0,193,10,13.0,0.0,Clear,0,,538,0,19.3,0.865,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-02 16:00:00,16,1,0,217,10,11.6,0.0,Clear,0,,582,0,21.7,0.973,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-02 17:00:00,17,1,0,365,18,11.3,0.0,Clear,0,,775,1,20.3,0.91,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-02 18:00:00,18,1,0,378,18,11.6,0.0,Clear,0,,960,1,21.0,0.942,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-02 19:00:00,19,1,0,383,18,10.7,0.0,Clear,0,,1126,1,21.3,0.955,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-02 20:00:00,20,1,0,266,18,11.3,0.0,Clear,0,,1027,1,14.8,0.664,high,4,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-02 21:00:00,21,1,0,120,7,9.6,0.0,Clear,0,,769,0,17.1,0.767,high,5,Night
RD24,Pul Bangash,Red Line,2024-01-02 22:00:00,22,1,0,53,7,9.8,0.0,Clear,0,,439,0,7.6,0.341,low,2,Night
RD24,Pul Bangash,Red Line,2024-01-02 23:00:00,23,1,0,17,0,9.3,0.0,Clear,0,,190,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,70,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,17,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-03 06:00:00,6,2,0,33,5,14.7,0.0,Cloudy,0,,33,0,6.6,0.296,low,2,Night
RD24,Pul Bangash,Red Line,2024-01-03 07:00:00,7,2,0,116,8,16.2,0.0,Clear,0,,149,0,14.5,0.65,high,4,Night
RD24,Pul Bangash,Red Line,2024-01-03 08:00:00,8,2,0,364,20,16.0,0.0,Clear,0,,513,1,18.2,0.816,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-03 09:00:00,9,2,0,424,20,19.3,0.0,Clear,0,,904,1,21.2,0.951,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-03 10:00:00,10,2,0,274,20,18.1,0.0,Clear,0,,1062,1,13.7,0.614,medium,4,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-03 11:00:00,11,2,0,193,10,17.9,0.0,Clear,0,,891,0,19.3,0.865,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-03 12:00:00,12,2,0,196,10,18.4,0.0,Clear,0,,663,0,19.6,0.879,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-03 13:00:00,13,2,0,182,10,16.5,0.0,Clear,0,,571,0,18.2,0.816,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-03 14:00:00,14,2,0,166,10,14.9,0.0,Clear,0,,544,0,16.6,0.744,high,4,Afternoon
RD24,Pul Bangash,Red Line,2024-01-03 15:00:00,15,2,0,181,10,12.6,0.0,Clear,0,,529,0,18.1,0.812,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-03 16:00:00,16,2,0,211,10,11.3,0.0,Clear,0,,558,0,21.1,0.946,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-03 17:00:00,17,2,0,353,18,10.7,0.0,Clear,0,,745,1,19.6,0.879,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-03 18:00:00,18,2,0,391,18,11.1,0.0,Clear,0,,955,1,21.7,0.973,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-03 19:00:00,19,2,0,357,18,11.5,0.0,Cloudy,0,,1101,1,19.8,0.888,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-03 20:00:00,20,2,0,261,18,10.0,0.0,Clear,0,,1009,1,14.5,0.65,high,4,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-03 21:00:00,21,2,0,123,7,7.6,0.0,Clear,0,,741,0,17.6,0.789,high,5,Night
RD24,Pul Bangash,Red Line,2024-01-03 22:00:00,22,2,0,55,7,10.0,0.0,Clear,0,,439,0,7.9,0.354,medium,3,Night
RD24,Pul Bangash,Red Line,2024-01-03 23:00:00,23,2,0,15,0,9.9,0.0,Clear,0,,193,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,70,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,15,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-04 06:00:00,6,3,0,34,5,13.6,0.0,Clear,0,,34,0,6.8,0.305,low,2,Night
RD24,Pul Bangash,Red Line,2024-01-04 07:00:00,7,3,0,122,8,16.3,0.0,Clear,0,,156,0,15.2,0.682,high,4,Night
RD24,Pul Bangash,Red Line,2024-01-04 08:00:00,8,3,0,356,20,18.9,0.0,Clear,0,,512,1,17.8,0.798,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-04 09:00:00,9,3,0,450,20,21.2,0.0,Clear,0,,928,1,22.5,1.0,high,5,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-04 10:00:00,10,3,0,303,20,19.8,0.0,Clear,0,,1109,1,15.2,0.682,high,4,Morning Peak
RD24,Pul Bangash,Red Line,2024-01-04 11:00:00,11,3,0,205,10,21.6,0.0,Clear,0,,958,0,20.5,0.919,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-04 12:00:00,12,3,0,215,10,19.3,0.0,Clear,0,,723,0,21.5,0.964,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-04 13:00:00,13,3,0,182,10,17.4,0.0,Clear,0,,602,0,18.2,0.816,high,5,Mid Morning
RD24,Pul Bangash,Red Line,2024-01-04 14:00:00,14,3,0,181,10,13.5,0.0,Clear,0,,578,0,18.1,0.812,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-04 15:00:00,15,3,0,183,10,13.1,0.0,Clear,0,,546,0,18.3,0.821,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-04 16:00:00,16,3,0,204,10,11.6,0.0,Cloudy,0,,568,0,20.4,0.915,high,5,Afternoon
RD24,Pul Bangash,Red Line,2024-01-04 17:00:00,17,3,0,357,18,12.0,0.0,Clear,0,,744,1,19.8,0.888,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-04 18:00:00,18,3,0,429,18,11.2,0.0,Clear,0,,990,1,23.8,1.0,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-04 19:00:00,19,3,0,374,18,11.4,0.0,Clear,0,,1160,1,20.8,0.933,high,5,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-04 20:00:00,20,3,0,279,18,9.0,0.0,Clear,0,,1082,1,15.5,0.695,high,4,Evening Peak
RD24,Pul Bangash,Red Line,2024-01-04 21:00:00,21,3,0,113,7,9.4,0.0,Clear,0,,766,0,16.1,0.722,high,4,Night
RD24,Pul Bangash,Red Line,2024-01-04 22:00:00,22,3,0,53,7,9.6,0.0,Clear,0,,445,0,7.6,0.341,low,2,Night
RD24,Pul Bangash,Red Line,2024-01-04 23:00:00,23,3,0,15,0,10.1,0.0,Clear,0,,181,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-05 00:00:00,0,4,0,0,0,13.0,0.0,Clear,0,,68,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-05 01:00:00,1,4,0,0,0,12.0,0.0,Clear,0,,15,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-05 02:00:00,2,4,0,0,0,13.7,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-05 03:00:00,3,4,0,0,0,13.8,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-05 04:00:00,4,4,0,0,0,15.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-05 05:00:00,5,4,0,0,0,12.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD24,Pul Bangash,Red Line,2024-01-05 06:00:00,6,4,0,33,5,13.9,0.0,Clear,0,,33,0,6.6,0.296,low,2,Night
RD24,Pul Bangash,Red Line,2024-01-05 07:00:00,7,4,0,120,8,17.2,0.0,Clear,0,,153,0,15.0,0.673,high,4,Night
RD24,Pul Bangash,Red Line,2024-01-05 08:00:00,8,4,0,356,20,17.1,0.0,Clear,0,,509,1,17.8,0.798,high,5,Morning Peak
