station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD26,Rohini Sector 18-19,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 06:00:00,6,0,0,39,5,13.7,0.0,Clear,1,New Year,39,0,7.8,0.398,medium,3,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 07:00:00,7,0,0,145,8,17.7,0.0,Cloudy,1,New Year,184,0,18.1,0.923,high,5,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 08:00:00,8,0,0,436,20,18.6,0.0,Clear,1,New Year,620,1,21.8,1.0,high,5,Morning Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-01 09:00:00,9,0,0,472,20,18.5,0.0,Clear,1,New Year,1053,1,23.6,1.0,high,5,Morning Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-01 10:00:00,10,0,0,358,20,18.5,0.0,Clear,1,New Year,1266,1,17.9,0.913,high,5,Morning Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-01 11:00:00,11,0,0,242,10,17.5,0.0,Clear,1,New Year,1072,0,24.2,1.0,high,5,Mid Morning
RD26,Rohini Sector 18-19,Red Line,2024-01-01 12:00:00,12,0,0,245,10,18.0,0.0,Clear,1,New Year,845,0,24.5,1.0,high,5,Mid Morning
RD26,Rohini Sector 18-19,Red Line,2024-01-01 13:00:00,13,0,0,198,10,16.1,0.0,Clear,1,New Year,685,0,19.8,1.0,high,5,Mid Morning
RD26,Rohini Sector 18-19,Red Line,2024-01-01 14:00:00,14,0,0,210,10,14.7,0.0,Clear,1,New Year,653,0,21.0,1.0,high,5,Afternoon
RD26,Rohini Sector 18-19,Red Line,2024-01-01 15:00:00,15,0,0,205,10,12.4,0.0,Clear,1,New Year,613,0,20.5,1.0,high,5,Afternoon
RD26,Rohini Sector 18-19,Red Line,2024-01-01 16:00:00,16,0,0,254,10,12.0,0.0,Clear,1,New Year,669,0,25.4,1.0,high,5,Afternoon
RD26,Rohini Sector 18-19,Red Line,2024-01-01 17:00:00,17,0,0,405,18,12.6,0.0,Clear,1,New Year,864,1,22.5,1.0,high,5,Evening Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-01 18:00:00,18,0,0,452,18,11.8,0.0,Clear,1,New Year,1111,1,25.1,1.0,high,5,Evening Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-01 19:00:00,19,0,0,456,18,9.4,0.0,Clear,1,New Year,1313,1,25.3,1.0,high,5,Evening Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-01 20:00:00,20,0,0,333,18,9.6,0.0,Clear,1,New Year,1241,1,18.5,0.944,high,5,Evening Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-01 21:00:00,21,0,0,141,7,8.6,0.0,Clear,1,New Year,930,0,20.1,1.0,high,5,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 22:00:00,22,0,0,66,7,10.3,0.0,Clear,1,New Year,540,0,9.4,0.48,medium,3,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-01 23:00:00,23,0,0,19,0,10.5,0.0,Clear,1,New Year,226,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,85,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,19,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 06:00:00,6,1,0,30,5,14.5,0.0,Clear,0,,30,0,6.0,0.306,low,2,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 07:00:00,7,1,0,103,8,16.3,0.0,Clear,0,,133,0,12.9,0.658,high,4,Night
RD26,Rohini Sector 18-19,Red Line,2024-01-02 08:00:00,8,1,0,306,20,17.4,0.0,Cloudy,0,,439,1,15.3,0.781,high,5,Morning Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-02 09:00:00,9,1,0,400,20,18.4,0.0,Clear,0,,809,1,20.0,1.0,high,5,Morning Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-02 10:00:00,10,1,0,258,20,20.4,0.0,Cloudy,0,,964,1,12.9,0.658,high,4,Morning Peak
RD26,Rohini Sector 18-19,Red Line,2024-01-02 11:00:00,11,1,0,172,10,19.8,0.0,Cloudy,0,,830,0,17.2,0.878,high,5,Mid Morning
RD26,Rohini Sector 18-19,Red Line,2024-01-02 12:00:00,12,1,0,168,10,18.2,0.0,Clear,0,,598,0,16.8,0.857,high,5,Mid Morning
RD26,Rohini Sector 18-19,Red Line,2024-01-02 13:00:00,13,1,0,150,10,16.1,0.0,Clear,0,,490,0,15.0,0.765,high,5,Mid Morning
