station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD29,Shastri Nagar,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD29,Shastri Nagar,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD29,Shastri Nagar,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD29,Shastri Nagar,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD29,Shastri Nagar,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD29,Shastri Nagar,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD29,Shastri Nagar,Red Line,2024-01-01 06:00:00,6,0,0,41,5,13.7,0.0,Clear,1,New Year,41,0,8.2,0.368,medium,3,Night
RD29,Shastri Nagar,Red Line,2024-01-01 07:00:00,7,0,0,169,8,17.7,0.0,Cloudy,1,New Year,210,0,21.1,0.948,high,5,Night
RD29,Shastri Nagar,Red Line,2024-01-01 08:00:00,8,0,0,482,20,18.6,0.0,Clear,1,New Year,692,1,24.1,1.0,high,5,Morning Peak
RD29,Shastri Nagar,Red Line,2024-01-01 09:00:00,9,0,0,605,20,18.5,0.0,Clear,1,New Year,1256,1,30.2,1.0,high,5,Morning Peak
RD29,Shastri Nagar,Red Line,2024-01-01 10:00:00,10,0,0,360,20,18.5,0.0,Clear,1,New Year,1447,1,18.0,0.808,high,5,Morning Peak
RD29,Shastri Nagar,Red Line,2024-01-01 11:00:00,11,0,0,291,10,17.5,0.0,Clear,1,New Year,1256,0,29.1,1.0,high,5,Mid Morning
RD29,Shastri Nagar,Red Line,2024-01-01 12:00:00,12,0,0,259,10,18.0,0.0,Clear,1,New Year,910,0,25.9,1.0,high,5,Mid Morning
RD29,Shastri Nagar,Red Line,2024-01-01 13:00:00,13,0,0,256,10,16.1,0.0,Clear,1,New Year,806,0,25.6,1.0,high,5,Mid Morning
RD29,Shastri Nagar,Red Line,2024-01-01 14:00:00,14,0,0,235,10,14.7,0.0,Clear,1,New Year,750,0,23.5,1.0,high,5,Afternoon
RD29,Shastri Nagar,Red Line,2024-01-01 15:00:00,15,0,0,252,10,12.4,0.0,Clear,1,New Year,743,0,25.2,1.0,high,5,Afternoon
RD29,Shastri Nagar,Red Line,2024-01-01 16:00:00,16,0,0,308,10,12.0,0.0,Clear,1,New Year,795,0,30.8,1.0,high,5,Afternoon
RD29,Shastri Nagar,Red Line,2024-01-01 17:00:00,17,0,0,450,18,12.6,0.0,Clear,1,New Year,1010,1,25.0,1.0,high,5,Evening Peak
RD29,Shastri Nagar,Red Line,2024-01-01 18:00:00,18,0,0,507,18,11.8,0.0,Clear,1,New Year,1265,1,28.2,1.0,high,5,Evening Peak
RD29,Shastri Nagar,Red Line,2024-01-01 19:00:00,19,0,0,533,18,9.4,0.0,Clear,1,New Year,1490,1,29.6,1.0,high,5,Evening Peak
RD29,Shastri Nagar,Red Line,2024-01-01 20:00:00,20,0,0,339,18,9.6,0.0,Clear,1,New Year,1379,1,18.8,0.844,high,5,Evening Peak
RD29,Shastri Nagar,Red Line,2024-01-01 21:00:00,21,0,0,154,7,8.6,0.0,Clear,1,New Year,1026,0,22.0,0.988,high,5,Night
RD29,Shastri Nagar,Red Line,2024-01-01 22:00:00,22,0,0,75,7,10.3,0.0,Clear,1,New Year,568,0,10.7,0.481,medium,3,Night
RD29,Shastri Nagar,Red Line,2024-01-01 23:00:00,23,0,0,23,0,10.5,0.0,Clear,1,New Year,252,0,0.0,0.0,low,1,Night
