station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
RD30,Shyam Park,Red Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-01 06:00:00,6,0,0,28,5,13.7,0.0,Clear,1,New Year,28,0,5.6,0.4,medium,3,Night
RD30,Shyam Park,Red Line,2024-01-01 07:00:00,7,0,0,96,8,17.7,0.0,Cloudy,1,New Year,124,0,12.0,0.857,high,5,Night
RD30,Shyam Park,Red Line,2024-01-01 08:00:00,8,0,0,333,20,18.6,0.0,Clear,1,New Year,457,1,16.6,1.0,high,5,Morning Peak
RD30,Shyam Park,Red Line,2024-01-01 09:00:00,9,0,0,381,20,18.5,0.0,Clear,1,New Year,810,1,19.1,1.0,high,5,Morning Peak
RD30,Shyam Park,Red Line,2024-01-01 10:00:00,10,0,0,233,20,18.5,0.0,Clear,1,New Year,947,1,11.7,0.836,high,5,Morning Peak
RD30,Shyam Park,Red Line,2024-01-01 11:00:00,11,0,0,182,10,17.5,0.0,Clear,1,New Year,796,0,18.2,1.0,high,5,Mid Morning
RD30,Shyam Park,Red Line,2024-01-01 12:00:00,12,0,0,157,10,18.0,0.0,Clear,1,New Year,572,0,15.7,1.0,high,5,Mid Morning
RD30,Shyam Park,Red Line,2024-01-01 13:00:00,13,0,0,150,10,16.1,0.0,Clear,1,New Year,489,0,15.0,1.0,high,5,Mid Morning
RD30,Shyam Park,Red Line,2024-01-01 14:00:00,14,0,0,152,10,14.7,0.0,Clear,1,New Year,459,0,15.2,1.0,high,5,Afternoon
RD30,Shyam Park,Red Line,2024-01-01 15:00:00,15,0,0,164,10,12.4,0.0,Clear,1,New Year,466,0,16.4,1.0,high,5,Afternoon
RD30,Shyam Park,Red Line,2024-01-01 16:00:00,16,0,0,189,10,12.0,0.0,Clear,1,New Year,505,0,18.9,1.0,high,5,Afternoon
RD30,Shyam Park,Red Line,2024-01-01 17:00:00,17,0,0,299,18,12.6,0.0,Clear,1,New Year,652,1,16.6,1.0,high,5,Evening Peak
RD30,Shyam Park,Red Line,2024-01-01 18:00:00,18,0,0,336,18,11.8,0.0,Clear,1,New Year,824,1,18.7,1.0,high,5,Evening Peak
RD30,Shyam Park,Red Line,2024-01-01 19:00:00,19,0,0,317,18,9.4,0.0,Clear,1,New Year,952,1,17.6,1.0,high,5,Evening Peak
RD30,Shyam Park,Red Line,2024-01-01 20:00:00,20,0,0,236,18,9.6,0.0,Clear,1,New Year,889,1,13.1,0.936,high,5,Evening Peak
RD30,Shyam Park,Red Line,2024-01-01 21:00:00,21,0,0,96,7,8.6,0.0,Clear,1,New Year,649,0,13.7,0.979,high,5,Night
RD30,Shyam Park,Red Line,2024-01-01 22:00:00,22,0,0,47,7,10.3,0.0,Clear,1,New Year,379,0,6.7,0.479,medium,3,Night
RD30,Shyam Park,Red Line,2024-01-01 23:00:00,23,0,0,13,0,10.5,0.0,Clear,1,New Year,156,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,60,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,13,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
RD30,Shyam Park,Red Line,2024-01-02 06:00:00,6,1,0,20,5,14.5,0.0,Clear,0,,20,0,4.0,0.286,low,2,Night
RD30,Shyam Park,Red Line,2024-01-02 07:00:00,7,1,0,76,8,16.3,0.0,Clear,0,,96,0,9.5,0.679,high,4,Night
RD30,Shyam Park,Red Line,2024-01-02 08:00:00,8,1,0,222,20,17.4,0.0,Cloudy,0,,318,1,11.1,0.793,high,5,Morning Peak
RD30,Shyam Park,Red Line,2024-01-02 09:00:00,9,1,0,288,20,18.4,0.0,Clear,0,,586,1,14.4,1.0,high,5,Morning Peak
RD30,Shyam Park,Red Line,2024-01-02 10:00:00,10,1,0,185,20,20.4,0.0,Cloudy,0,,695,1,9.2,0.657,high,4,Morning Peak
RD30,Shyam Park,Red Line,2024-01-02 11:00:00,11,1,0,120,10,19.8,0.0,Cloudy,0,,593,0,12.0,0.857,high,5,Mid Morning
RD30,Shyam Park,Red Line,2024-01-02 12:00:00,12,1,0,130,10,18.2,0.0,Clear,0,,435,0,13.0,0.929,high,5,Mid Morning
RD30,Shyam Park,Red Line,2024-01-02 13:00:00,13,1,0,118,10,16.1,0.0,Clear,0,,368,0,11.8,0.843,high,5,Mid Morning
RD30,Shyam Park,Red Line,2024-01-02 14:00:00,14,1,0,104,10,14.6,0.0,Clear,0,,352,0,10.4,0.743,high,4,Afternoon
RD30,Shyam Park,Red Line,2024-01-02 15:00:00,15,1,0,106,10,13.0,0.0,Clear,0,,328,0,10.6,0.757,high,5,Afternoon
