station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL01,Badarpur,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-01 06:00:00,6,0,0,65,4,13.7,0.0,Clear,1,New Year,65,0,16.2,0.362,medium,3,Night
VL01,Badarpur,Violet Line,2024-01-01 07:00:00,7,0,0,244,6,17.7,0.0,Cloudy,1,New Year,309,0,40.7,0.908,high,5,Night
VL01,Badarpur,Violet Line,2024-01-01 08:00:00,8,0,0,750,14,18.6,0.0,Clear,1,New Year,1059,1,53.6,1.0,high,5,Morning Peak
VL01,Badarpur,Violet Line,2024-01-01 09:00:00,9,0,0,771,14,18.5,0.0,Clear,1,New Year,1765,1,55.1,1.0,high,5,Morning Peak
VL01,Badarpur,Violet Line,2024-01-01 10:00:00,10,0,0,567,14,18.5,0.0,Clear,1,New Year,2088,1,40.5,0.904,high,5,Morning Peak
VL01,Badarpur,Violet Line,2024-01-01 11:00:00,11,0,0,358,7,17.5,0.0,Clear,1,New Year,1696,0,51.1,1.0,high,5,Mid Morning
VL01,Badarpur,Violet Line,2024-01-01 12:00:00,12,0,0,369,7,18.0,0.0,Clear,1,New Year,1294,0,52.7,1.0,high,5,Mid Morning
VL01,Badarpur,Violet Line,2024-01-01 13:00:00,13,0,0,362,7,16.1,0.0,Clear,1,New Year,1089,0,51.7,1.0,high,5,Mid Morning
VL01,Badarpur,Violet Line,2024-01-01 14:00:00,14,0,0,313,7,14.7,0.0,Clear,1,New Year,1044,0,44.7,0.998,high,5,Afternoon
VL01,Badarpur,Violet Line,2024-01-01 15:00:00,15,0,0,375,7,12.4,0.0,Clear,1,New Year,1050,0,53.6,1.0,high,5,Afternoon
VL01,Badarpur,Violet Line,2024-01-01 16:00:00,16,0,0,413,7,12.0,0.0,Clear,1,New Year,1101,0,59.0,1.0,high,5,Afternoon
VL01,Badarpur,Violet Line,2024-01-01 17:00:00,17,0,0,601,13,12.6,0.0,Clear,1,New Year,1389,1,46.2,1.0,high,5,Evening Peak
VL01,Badarpur,Violet Line,2024-01-01 18:00:00,18,0,0,771,13,11.8,0.0,Clear,1,New Year,1785,1,59.3,1.0,high,5,Evening Peak
VL01,Badarpur,Violet Line,2024-01-01 19:00:00,19,0,0,678,13,9.4,0.0,Clear,1,New Year,2050,1,52.2,1.0,high,5,Evening Peak
VL01,Badarpur,Violet Line,2024-01-01 20:00:00,20,0,0,552,13,9.6,0.0,Clear,1,New Year,2001,1,42.5,0.949,high,5,Evening Peak
VL01,Badarpur,Violet Line,2024-01-01 21:00:00,21,0,0,232,5,8.6,0.0,Clear,1,New Year,1462,0,46.4,1.0,high,5,Night
VL01,Badarpur,Violet Line,2024-01-01 22:00:00,22,0,0,91,5,10.3,0.0,Clear,1,New Year,875,0,18.2,0.406,medium,3,Night
VL01,Badarpur,Violet Line,2024-01-01 23:00:00,23,0,0,32,0,10.5,0.0,Clear,1,New Year,355,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,123,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,32,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL01,Badarpur,Violet Line,2024-01-02 06:00:00,6,1,0,48,4,14.5,0.0,Clear,0,,48,0,12.0,0.268,low,2,Night
VL01,Badarpur,Violet Line,2024-01-02 07:00:00,7,1,0,157,6,16.3,0.0,Clear,0,,205,0,26.2,0.585,medium,4,Night
VL01,Badarpur,Violet Line,2024-01-02 08:00:00,8,1,0,537,14,17.4,0.0,Cloudy,0,,742,1,38.4,0.857,high,5,Morning Peak
VL01,Badarpur,Violet Line,2024-01-02 09:00:00,9,1,0,569,14,18.4,0.0,Clear,0,,1263,1,40.6,0.906,high,5,Morning Peak
VL01,Badarpur,Violet Line,2024-01-02 10:00:00,10,1,0,378,14,20.4,0.0,Cloudy,0,,1484,1,27.0,0.603,medium,4,Morning Peak
VL01,Badarpur,Violet Line,2024-01-02 11:00:00,11,1,0,291,7,19.8,0.0,Cloudy,0,,1238,0,41.6,0.929,high,5,Mid Morning
VL01,Badarpur,Violet Line,2024-01-02 12:00:00,12,1,0,291,7,18.2,0.0,Clear,0,,960,0,41.6,0.929,high,5,Mid Morning
VL01,Badarpur,Violet Line,2024-01-02 13:00:00,13,1,0,253,7,16.1,0.0,Clear,0,,835,0,36.1,0.806,high,5,Mid Morning
VL01,Badarpur,Violet Line,2024-01-02 14:00:00,14,1,0,255,7,14.6,0.0,Clear,0,,799,0,36.4,0.812,high,5,Afternoon
VL01,Badarpur,Violet Line,2024-01-02 15:00:00,15,1,0,243,7,13.0,0.0,Clear,0,,751,0,34.7,0.775,high,5,Afternoon
