station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL02,Central Secretariat N,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 06:00:00,6,0,0,1399,4,13.7,0.0,Clear,1,New Year,1399,0,349.8,0.369,medium,3,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 07:00:00,7,0,0,4513,6,17.7,0.0,Cloudy,1,New Year,5912,0,752.2,0.793,high,5,Night
VL02,Central Secretariat N,Violet Line,2024-01-01 08:00:00,8,0,0,16007,14,18.6,0.0,Clear,1,New Year,21919,1,1143.4,1.0,high,5,Morning Peak
VL02,Central Secretariat N,Violet Line,2024-01-01 09:00:00,9,0,0,17544,14,18.5,0.0,Clear,1,New Year,38064,1,1253.1,1.0,high,5,Morning Peak
VL02,Central Secretariat N,Violet Line,2024-01-01 10:00:00,10,0,0,10936,14,18.5,0.0,Clear,1,New Year,44487,1,781.1,0.824,high,5,Morning Peak
VL02,Central Secretariat N,Violet Line,2024-01-01 11:00:00,11,0,0,8489,7,17.5,0.0,Clear,1,New Year,36969,0,1212.7,1.0,high,5,Mid Morning
VL02,Central Secretariat N,Violet Line,2024-01-01 12:00:00,12,0,0,7952,7,18.0,0.0,Clear,1,New Year,27377,0,1136.0,1.0,high,5,Mid Morning
VL02,Central Secretariat N,Violet Line,2024-01-01 13:00:00,13,0,0,7742,7,16.1,0.0,Clear,1,New Year,24183,0,1106.0,1.0,high,5,Mid Morning
VL02,Central Secretariat N,Violet Line,2024-01-01 14:00:00,14,0,0,6595,7,14.7,0.0,Clear,1,New Year,22289,0,942.1,0.993,high,5,Afternoon
VL02,Central Secretariat N,Violet Line,2024-01-01 15:00:00,15,0,0,7804,7,12.4,0.0,Clear,1,New Year,22141,0,1114.9,1.0,high,5,Afternoon
VL02,Central Secretariat N,Violet Line,2024-01-01 16:00:00,16,0,0,9487,7,12.0,0.0,Clear,1,New Year,23886,0,1355.3,1.0,high,5,Afternoon
VL02,Central Secretariat N,Violet Line,2024-01-01 17:00:00,17,0,0,14865,13,12.6,0.0,Clear,1,New Year,32156,1,1143.5,1.0,high,5,Evening Peak
VL02,Central Secretariat N,Violet Line,2024-01-01 18:00:00,18,0,0,15525,13,11.8,0.0,Clear,1,New Year,39877,1,1194.2,1.0,high,5,Evening Peak
