station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL03,Gobind Puri,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-01 06:00:00,6,0,0,77,4,13.7,0.0,Clear,1,New Year,77,0,19.2,0.325,low,2,Night
VL03,Gobind Puri,Violet Line,2024-01-01 07:00:00,7,0,0,301,6,17.7,0.0,Cloudy,1,New Year,378,0,50.2,0.851,high,5,Night
VL03,Gobind Puri,Violet Line,2024-01-01 08:00:00,8,0,0,925,14,18.6,0.0,Clear,1,New Year,1303,1,66.1,1.0,high,5,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-01 09:00:00,9,0,0,1156,14,18.5,0.0,Clear,1,New Year,2382,1,82.6,1.0,high,5,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-01 10:00:00,10,0,0,675,14,18.5,0.0,Clear,1,New Year,2756,1,48.2,0.817,high,5,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-01 11:00:00,11,0,0,493,7,17.5,0.0,Clear,1,New Year,2324,0,70.4,1.0,high,5,Mid Morning
VL03,Gobind Puri,Violet Line,2024-01-01 12:00:00,12,0,0,504,7,18.0,0.0,Clear,1,New Year,1672,0,72.0,1.0,high,5,Mid Morning
VL03,Gobind Puri,Violet Line,2024-01-01 13:00:00,13,0,0,439,7,16.1,0.0,Clear,1,New Year,1436,0,62.7,1.0,high,5,Mid Morning
VL03,Gobind Puri,Violet Line,2024-01-01 14:00:00,14,0,0,402,7,14.7,0.0,Clear,1,New Year,1345,0,57.4,0.973,high,5,Afternoon
VL03,Gobind Puri,Violet Line,2024-01-01 15:00:00,15,0,0,495,7,12.4,0.0,Clear,1,New Year,1336,0,70.7,1.0,high,5,Afternoon
VL03,Gobind Puri,Violet Line,2024-01-01 16:00:00,16,0,0,572,7,12.0,0.0,Clear,1,New Year,1469,0,81.7,1.0,high,5,Afternoon
VL03,Gobind Puri,Violet Line,2024-01-01 17:00:00,17,0,0,874,13,12.6,0.0,Clear,1,New Year,1941,1,67.2,1.0,high,5,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-01 18:00:00,18,0,0,941,13,11.8,0.0,Clear,1,New Year,2387,1,72.4,1.0,high,5,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-01 19:00:00,19,0,0,923,13,9.4,0.0,Clear,1,New Year,2738,1,71.0,1.0,high,5,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-01 20:00:00,20,0,0,711,13,9.6,0.0,Clear,1,New Year,2575,1,54.7,0.927,high,5,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-01 21:00:00,21,0,0,295,5,8.6,0.0,Clear,1,New Year,1929,0,59.0,1.0,high,5,Night
VL03,Gobind Puri,Violet Line,2024-01-01 22:00:00,22,0,0,121,5,10.3,0.0,Clear,1,New Year,1127,0,24.2,0.41,medium,3,Night
VL03,Gobind Puri,Violet Line,2024-01-01 23:00:00,23,0,0,43,0,10.5,0.0,Clear,1,New Year,459,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,164,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,43,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-02 06:00:00,6,1,0,63,4,14.5,0.0,Clear,0,,63,0,15.8,0.268,low,2,Night
VL03,Gobind Puri,Violet Line,2024-01-02 07:00:00,7,1,0,229,6,16.3,0.0,Clear,0,,292,0,38.2,0.647,medium,4,Night
VL03,Gobind Puri,Violet Line,2024-01-02 08:00:00,8,1,0,724,14,17.4,0.0,Cloudy,0,,1016,1,51.7,0.876,high,5,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-02 09:00:00,9,1,0,805,14,18.4,0.0,Clear,0,,1758,1,57.5,0.975,high,5,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-02 10:00:00,10,1,0,557,14,20.4,0.0,Cloudy,0,,2086,1,39.8,0.675,high,4,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-02 11:00:00,11,1,0,362,7,19.8,0.0,Cloudy,0,,1724,0,51.7,0.876,high,5,Mid Morning
VL03,Gobind Puri,Violet Line,2024-01-02 12:00:00,12,1,0,394,7,18.2,0.0,Clear,0,,1313,0,56.3,0.954,high,5,Mid Morning
VL03,Gobind Puri,Violet Line,2024-01-02 13:00:00,13,1,0,315,7,16.1,0.0,Clear,0,,1071,0,45.0,0.763,high,5,Mid Morning
VL03,Gobind Puri,Violet Line,2024-01-02 14:00:00,14,1,0,299,7,14.6,0.0,Clear,0,,1008,0,42.7,0.724,high,4,Afternoon
VL03,Gobind Puri,Violet Line,2024-01-02 15:00:00,15,1,0,331,7,13.0,0.0,Clear,0,,945,0,47.3,0.802,high,5,Afternoon
VL03,Gobind Puri,Violet Line,2024-01-02 16:00:00,16,1,0,388,7,11.6,0.0,Clear,0,,1018,0,55.4,0.939,high,5,Afternoon
VL03,Gobind Puri,Violet Line,2024-01-02 17:00:00,17,1,0,623,13,11.3,0.0,Clear,0,,1342,1,47.9,0.812,high,5,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-02 18:00:00,18,1,0,746,13,11.6,0.0,Clear,0,,1757,1,57.4,0.973,high,5,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-02 19:00:00,19,1,0,696,13,10.7,0.0,Clear,0,,2065,1,53.5,0.907,high,5,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-02 20:00:00,20,1,0,529,13,11.3,0.0,Clear,0,,1971,1,40.7,0.69,high,4,Evening Peak
VL03,Gobind Puri,Violet Line,2024-01-02 21:00:00,21,1,0,211,5,9.6,0.0,Clear,0,,1436,0,42.2,0.715,high,4,Night
VL03,Gobind Puri,Violet Line,2024-01-02 22:00:00,22,1,0,96,5,9.8,0.0,Clear,0,,836,0,19.2,0.325,low,2,Night
VL03,Gobind Puri,Violet Line,2024-01-02 23:00:00,23,1,0,28,0,9.3,0.0,Clear,0,,335,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,124,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,28,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
VL03,Gobind Puri,Violet Line,2024-01-03 06:00:00,6,2,0,57,4,14.7,0.0,Cloudy,0,,57,0,14.2,0.241,low,2,Night
VL03,Gobind Puri,Violet Line,2024-01-03 07:00:00,7,2,0,231,6,16.2,0.0,Clear,0,,288,0,38.5,0.653,high,4,Night
VL03,Gobind Puri,Violet Line,2024-01-03 08:00:00,8,2,0,688,14,16.0,0.0,Clear,0,,976,1,49.1,0.832,high,5,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-03 09:00:00,9,2,0,796,14,19.3,0.0,Clear,0,,1715,1,56.9,0.964,high,5,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-03 10:00:00,10,2,0,543,14,18.1,0.0,Clear,0,,2027,1,38.8,0.658,high,4,Morning Peak
VL03,Gobind Puri,Violet Line,2024-01-03 11:00:00,11,2,0,368,7,17.9,0.0,Clear,0,,1707,0,52.6,0.892,high,5,Mid Morning
VL03,Gobind Puri,Violet Line,2024-01-03 12:00:00,12,2,0,391,7,18.4,0.0,Clear,0,,1302,0,55.9,0.947,high,5,Mid Morning
