station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL05,Janpath,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL05,Janpath,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL05,Janpath,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL05,Janpath,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL05,Janpath,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL05,Janpath,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL05,Janpath,Violet Line,2024-01-01 06:00:00,6,0,0,106,4,13.7,0.0,Clear,1,New Year,106,0,26.5,0.335,low,2,Night
VL05,Janpath,Violet Line,2024-01-01 07:00:00,7,0,0,426,6,17.7,0.0,Cloudy,1,New Year,532,0,71.0,0.898,high,5,Night
VL05,Janpath,Violet Line,2024-01-01 08:00:00,8,0,0,1177,14,18.6,0.0,Clear,1,New Year,1709,1,84.1,1.0,high,5,Morning Peak
VL05,Janpath,Violet Line,2024-01-01 09:00:00,9,0,0,1432,14,18.5,0.0,Clear,1,New Year,3035,1,102.3,1.0,high,5,Morning Peak
VL05,Janpath,Violet Line,2024-01-01 10:00:00,10,0,0,898,14,18.5,0.0,Clear,1,New Year,3507,1,64.1,0.81,high,5,Morning Peak
VL05,Janpath,Violet Line,2024-01-01 11:00:00,11,0,0,727,7,17.5,0.0,Clear,1,New Year,3057,0,103.9,1.0,high,5,Mid Morning
VL05,Janpath,Violet Line,2024-01-01 12:00:00,12,0,0,708,7,18.0,0.0,Clear,1,New Year,2333,0,101.1,1.0,high,5,Mid Morning
VL05,Janpath,Violet Line,2024-01-01 13:00:00,13,0,0,571,7,16.1,0.0,Clear,1,New Year,2006,0,81.6,1.0,high,5,Mid Morning
VL05,Janpath,Violet Line,2024-01-01 14:00:00,14,0,0,576,7,14.7,0.0,Clear,1,New Year,1855,0,82.3,1.0,high,5,Afternoon
