station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL06,Lajpat Nagar,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 06:00:00,6,0,0,1193,4,13.7,0.0,Clear,1,New Year,1193,0,298.2,0.326,low,2,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 07:00:00,7,0,0,4583,6,17.7,0.0,Cloudy,1,New Year,5776,0,763.8,0.835,high,5,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 08:00:00,8,0,0,13963,14,18.6,0.0,Clear,1,New Year,19739,1,997.4,1.0,high,5,Morning Peak
VL06,Lajpat Nagar,Violet Line,2024-01-01 09:00:00,9,0,0,17912,14,18.5,0.0,Clear,1,New Year,36458,1,1279.4,1.0,high,5,Morning Peak
VL06,Lajpat Nagar,Violet Line,2024-01-01 10:00:00,10,0,0,11255,14,18.5,0.0,Clear,1,New Year,43130,1,803.9,0.879,high,5,Morning Peak
VL06,Lajpat Nagar,Violet Line,2024-01-01 11:00:00,11,0,0,7817,7,17.5,0.0,Clear,1,New Year,36984,0,1116.7,1.0,high,5,Mid Morning
VL06,Lajpat Nagar,Violet Line,2024-01-01 12:00:00,12,0,0,7995,7,18.0,0.0,Clear,1,New Year,27067,0,1142.1,1.0,high,5,Mid Morning
VL06,Lajpat Nagar,Violet Line,2024-01-01 13:00:00,13,0,0,6710,7,16.1,0.0,Clear,1,New Year,22522,0,958.6,1.0,high,5,Mid Morning
VL06,Lajpat Nagar,Violet Line,2024-01-01 14:00:00,14,0,0,6909,7,14.7,0.0,Clear,1,New Year,21614,0,987.0,1.0,high,5,Afternoon
VL06,Lajpat Nagar,Violet Line,2024-01-01 15:00:00,15,0,0,7421,7,12.4,0.0,Clear,1,New Year,21040,0,1060.1,1.0,high,5,Afternoon
VL06,Lajpat Nagar,Violet Line,2024-01-01 16:00:00,16,0,0,8878,7,12.0,0.0,Clear,1,New Year,23208,0,1268.3,1.0,high,5,Afternoon
VL06,Lajpat Nagar,Violet Line,2024-01-01 17:00:00,17,0,0,12748,13,12.6,0.0,Clear,1,New Year,29047,1,980.6,1.0,high,5,Evening Peak
VL06,Lajpat Nagar,Violet Line,2024-01-01 18:00:00,18,0,0,15908,13,11.8,0.0,Clear,1,New Year,37534,1,1223.7,1.0,high,5,Evening Peak
VL06,Lajpat Nagar,Violet Line,2024-01-01 19:00:00,19,0,0,14771,13,9.4,0.0,Clear,1,New Year,43427,1,1136.2,1.0,high,5,Evening Peak
VL06,Lajpat Nagar,Violet Line,2024-01-01 20:00:00,20,0,0,9944,13,9.6,0.0,Clear,1,New Year,40623,1,764.9,0.837,high,5,Evening Peak
VL06,Lajpat Nagar,Violet Line,2024-01-01 21:00:00,21,0,0,4557,5,8.6,0.0,Clear,1,New Year,29272,0,911.4,0.997,high,5,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 22:00:00,22,0,0,1959,5,10.3,0.0,Clear,1,New Year,16460,0,391.8,0.429,medium,3,Night
VL06,Lajpat Nagar,Violet Line,2024-01-01 23:00:00,23,0,0,644,0,10.5,0.0,Clear,1,New Year,7160,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,2603,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,644,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 06:00:00,6,1,0,869,4,14.5,0.0,Clear,0,,869,0,217.2,0.238,low,2,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 07:00:00,7,1,0,3469,6,16.3,0.0,Clear,0,,4338,0,578.2,0.632,medium,4,Night
VL06,Lajpat Nagar,Violet Line,2024-01-02 08:00:00,8,1,0,10947,14,17.4,0.0,Cloudy,0,,15285,1,781.9,0.855,high,5,Morning Peak
VL06,Lajpat Nagar,Violet Line,2024-01-02 09:00:00,9,1,0,13259,14,18.4,0.0,Clear,0,,27675,1,947.1,1.0,high,5,Morning Peak
VL06,Lajpat Nagar,Violet Line,2024-01-02 10:00:00,10,1,0,7761,14,20.4,0.0,Cloudy,0,,31967,1,554.4,0.606,medium,4,Morning Peak
VL06,Lajpat Nagar,Violet Line,2024-01-02 11:00:00,11,1,0,6106,7,19.8,0.0,Cloudy,0,,27126,0,872.3,0.954,high,5,Mid Morning
VL06,Lajpat Nagar,Violet Line,2024-01-02 12:00:00,12,1,0,5627,7,18.2,0.0,Clear,0,,19494,0,803.9,0.879,high,5,Mid Morning
VL06,Lajpat Nagar,Violet Line,2024-01-02 13:00:00,13,1,0,4978,7,16.1,0.0,Clear,0,,16711,0,711.1,0.778,high,5,Mid Morning
VL06,Lajpat Nagar,Violet Line,2024-01-02 14:00:00,14,1,0,4801,7,14.6,0.0,Clear,0,,15406,0,685.9,0.75,high,5,Afternoon
VL06,Lajpat Nagar,Violet Line,2024-01-02 15:00:00,15,1,0,5407,7,13.0,0.0,Clear,0,,15186,0,772.4,0.845,high,5,Afternoon
