station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL07,Nehru Place,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL07,Nehru Place,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL07,Nehru Place,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL07,Nehru Place,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL07,Nehru Place,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL07,Nehru Place,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL07,Nehru Place,Violet Line,2024-01-01 06:00:00,6,0,0,136,4,13.7,0.0,Clear,1,New Year,136,0,34.0,0.346,low,2,Night
VL07,Nehru Place,Violet Line,2024-01-01 07:00:00,7,0,0,463,6,17.7,0.0,Cloudy,1,New Year,599,0,77.2,0.787,high,5,Night
VL07,Nehru Place,Violet Line,2024-01-01 08:00:00,8,0,0,1463,14,18.6,0.0,Clear,1,New Year,2062,1,104.5,1.0,high,5,Morning Peak
VL07,Nehru Place,Violet Line,2024-01-01 09:00:00,9,0,0,1911,14,18.5,0.0,Clear,1,New Year,3837,1,136.5,1.0,high,5,Morning Peak
VL07,Nehru Place,Violet Line,2024-01-01 10:00:00,10,0,0,1124,14,18.5,0.0,Clear,1,New Year,4498,1,80.3,0.818,high,5,Morning Peak
VL07,Nehru Place,Violet Line,2024-01-01 11:00:00,11,0,0,797,7,17.5,0.0,Clear,1,New Year,3832,0,113.9,1.0,high,5,Mid Morning
VL07,Nehru Place,Violet Line,2024-01-01 12:00:00,12,0,0,854,7,18.0,0.0,Clear,1,New Year,2775,0,122.0,1.0,high,5,Mid Morning
VL07,Nehru Place,Violet Line,2024-01-01 13:00:00,13,0,0,705,7,16.1,0.0,Clear,1,New Year,2356,0,100.7,1.0,high,5,Mid Morning
VL07,Nehru Place,Violet Line,2024-01-01 14:00:00,14,0,0,664,7,14.7,0.0,Clear,1,New Year,2223,0,94.9,0.967,high,5,Afternoon
VL07,Nehru Place,Violet Line,2024-01-01 15:00:00,15,0,0,731,7,12.4,0.0,Clear,1,New Year,2100,0,104.4,1.0,high,5,Afternoon
VL07,Nehru Place,Violet Line,2024-01-01 16:00:00,16,0,0,866,7,12.0,0.0,Clear,1,New Year,2261,0,123.7,1.0,high,5,Afternoon
VL07,Nehru Place,Violet Line,2024-01-01 17:00:00,17,0,0,1551,13,12.6,0.0,Clear,1,New Year,3148,1,119.3,1.0,high,5,Evening Peak
