station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL08,Tughlakabad,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-01 06:00:00,6,0,0,68,4,13.7,0.0,Clear,1,New Year,68,0,17.0,0.343,low,2,Night
VL08,Tughlakabad,Violet Line,2024-01-01 07:00:00,7,0,0,256,6,17.7,0.0,Cloudy,1,New Year,324,0,42.7,0.863,high,5,Night
VL08,Tughlakabad,Violet Line,2024-01-01 08:00:00,8,0,0,825,14,18.6,0.0,Clear,1,New Year,1149,1,58.9,1.0,high,5,Morning Peak
VL08,Tughlakabad,Violet Line,2024-01-01 09:00:00,9,0,0,862,14,18.5,0.0,Clear,1,New Year,1943,1,61.6,1.0,high,5,Morning Peak
VL08,Tughlakabad,Violet Line,2024-01-01 10:00:00,10,0,0,586,14,18.5,0.0,Clear,1,New Year,2273,1,41.9,0.846,high,5,Morning Peak
VL08,Tughlakabad,Violet Line,2024-01-01 11:00:00,11,0,0,446,7,17.5,0.0,Clear,1,New Year,1894,0,63.7,1.0,high,5,Mid Morning
VL08,Tughlakabad,Violet Line,2024-01-01 12:00:00,12,0,0,424,7,18.0,0.0,Clear,1,New Year,1456,0,60.6,1.0,high,5,Mid Morning
VL08,Tughlakabad,Violet Line,2024-01-01 13:00:00,13,0,0,378,7,16.1,0.0,Clear,1,New Year,1248,0,54.0,1.0,high,5,Mid Morning
VL08,Tughlakabad,Violet Line,2024-01-01 14:00:00,14,0,0,372,7,14.7,0.0,Clear,1,New Year,1174,0,53.1,1.0,high,5,Afternoon
VL08,Tughlakabad,Violet Line,2024-01-01 15:00:00,15,0,0,408,7,12.4,0.0,Clear,1,New Year,1158,0,58.3,1.0,high,5,Afternoon
VL08,Tughlakabad,Violet Line,2024-01-01 16:00:00,16,0,0,498,7,12.0,0.0,Clear,1,New Year,1278,0,71.1,1.0,high,5,Afternoon
VL08,Tughlakabad,Violet Line,2024-01-01 17:00:00,17,0,0,753,13,12.6,0.0,Clear,1,New Year,1659,1,57.9,1.0,high,5,Evening Peak
VL08,Tughlakabad,Violet Line,2024-01-01 18:00:00,18,0,0,859,13,11.8,0.0,Clear,1,New Year,2110,1,66.1,1.0,high,5,Evening Peak
VL08,Tughlakabad,Violet Line,2024-01-01 19:00:00,19,0,0,744,13,9.4,0.0,Clear,1,New Year,2356,1,57.2,1.0,high,5,Evening Peak
VL08,Tughlakabad,Violet Line,2024-01-01 20:00:00,20,0,0,545,13,9.6,0.0,Clear,1,New Year,2148,1,41.9,0.846,high,5,Evening Peak
VL08,Tughlakabad,Violet Line,2024-01-01 21:00:00,21,0,0,273,5,8.6,0.0,Clear,1,New Year,1562,0,54.6,1.0,high,5,Night
VL08,Tughlakabad,Violet Line,2024-01-01 22:00:00,22,0,0,111,5,10.3,0.0,Clear,1,New Year,929,0,22.2,0.448,medium,3,Night
VL08,Tughlakabad,Violet Line,2024-01-01 23:00:00,23,0,0,36,0,10.5,0.0,Clear,1,New Year,420,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,147,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,36,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL08,Tughlakabad,Violet Line,2024-01-02 06:00:00,6,1,0,52,4,14.5,0.0,Clear,0,,52,0,13.0,0.263,low,2,Night
VL08,Tughlakabad,Violet Line,2024-01-02 07:00:00,7,1,0,178,6,16.3,0.0,Clear,0,,230,0,29.7,0.6,medium,4,Night
VL08,Tughlakabad,Violet Line,2024-01-02 08:00:00,8,1,0,583,14,17.4,0.0,Cloudy,0,,813,1,41.6,0.84,high,5,Morning Peak
VL08,Tughlakabad,Violet Line,2024-01-02 09:00:00,9,1,0,711,14,18.4,0.0,Clear,0,,1472,1,50.8,1.0,high,5,Morning Peak
