station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL09,Badkhal Mor,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 06:00:00,6,0,0,47,4,13.7,0.0,Clear,1,New Year,47,0,11.8,0.371,medium,3,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 07:00:00,7,0,0,171,6,17.7,0.0,Cloudy,1,New Year,218,0,28.5,0.896,high,5,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 08:00:00,8,0,0,490,14,18.6,0.0,Clear,1,New Year,708,1,35.0,1.0,high,5,Morning Peak
VL09,Badkhal Mor,Violet Line,2024-01-01 09:00:00,9,0,0,625,14,18.5,0.0,Clear,1,New Year,1286,1,44.6,1.0,high,5,Morning Peak
VL09,Badkhal Mor,Violet Line,2024-01-01 10:00:00,10,0,0,403,14,18.5,0.0,Clear,1,New Year,1518,1,28.8,0.906,high,5,Morning Peak
VL09,Badkhal Mor,Violet Line,2024-01-01 11:00:00,11,0,0,288,7,17.5,0.0,Clear,1,New Year,1316,0,41.1,1.0,high,5,Mid Morning
VL09,Badkhal Mor,Violet Line,2024-01-01 12:00:00,12,0,0,270,7,18.0,0.0,Clear,1,New Year,961,0,38.6,1.0,high,5,Mid Morning
VL09,Badkhal Mor,Violet Line,2024-01-01 13:00:00,13,0,0,233,7,16.1,0.0,Clear,1,New Year,791,0,33.3,1.0,high,5,Mid Morning
VL09,Badkhal Mor,Violet Line,2024-01-01 14:00:00,14,0,0,221,7,14.7,0.0,Clear,1,New Year,724,0,31.6,0.994,high,5,Afternoon
VL09,Badkhal Mor,Violet Line,2024-01-01 15:00:00,15,0,0,261,7,12.4,0.0,Clear,1,New Year,715,0,37.3,1.0,high,5,Afternoon
VL09,Badkhal Mor,Violet Line,2024-01-01 16:00:00,16,0,0,297,7,12.0,0.0,Clear,1,New Year,779,0,42.4,1.0,high,5,Afternoon
VL09,Badkhal Mor,Violet Line,2024-01-01 17:00:00,17,0,0,448,13,12.6,0.0,Clear,1,New Year,1006,1,34.5,1.0,high,5,Evening Peak
VL09,Badkhal Mor,Violet Line,2024-01-01 18:00:00,18,0,0,536,13,11.8,0.0,Clear,1,New Year,1281,1,41.2,1.0,high,5,Evening Peak
VL09,Badkhal Mor,Violet Line,2024-01-01 19:00:00,19,0,0,510,13,9.4,0.0,Clear,1,New Year,1494,1,39.2,1.0,high,5,Evening Peak
VL09,Badkhal Mor,Violet Line,2024-01-01 20:00:00,20,0,0,381,13,9.6,0.0,Clear,1,New Year,1427,1,29.3,0.921,high,5,Evening Peak
VL09,Badkhal Mor,Violet Line,2024-01-01 21:00:00,21,0,0,155,5,8.6,0.0,Clear,1,New Year,1046,0,31.0,0.975,high,5,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 22:00:00,22,0,0,74,5,10.3,0.0,Clear,1,New Year,610,0,14.8,0.465,medium,3,Night
VL09,Badkhal Mor,Violet Line,2024-01-01 23:00:00,23,0,0,22,0,10.5,0.0,Clear,1,New Year,251,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,96,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,22,0,0.0,0.0,low,1,Night
VL09,Badkhal Mor,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
