station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL10,Bata Chowk,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-01 06:00:00,6,0,0,37,4,13.7,0.0,Clear,1,New Year,37,0,9.2,0.333,low,2,Night
VL10,Bata Chowk,Violet Line,2024-01-01 07:00:00,7,0,0,147,6,17.7,0.0,Cloudy,1,New Year,184,0,24.5,0.886,high,5,Night
VL10,Bata Chowk,Violet Line,2024-01-01 08:00:00,8,0,0,418,14,18.6,0.0,Clear,1,New Year,602,1,29.9,1.0,high,5,Morning Peak
VL10,Bata Chowk,Violet Line,2024-01-01 09:00:00,9,0,0,505,14,18.5,0.0,Clear,1,New Year,1070,1,36.1,1.0,high,5,Morning Peak
VL10,Bata Chowk,Violet Line,2024-01-01 10:00:00,10,0,0,321,14,18.5,0.0,Clear,1,New Year,1244,1,22.9,0.828,high,5,Morning Peak
VL10,Bata Chowk,Violet Line,2024-01-01 11:00:00,11,0,0,218,7,17.5,0.0,Clear,1,New Year,1044,0,31.1,1.0,high,5,Mid Morning
VL10,Bata Chowk,Violet Line,2024-01-01 12:00:00,12,0,0,232,7,18.0,0.0,Clear,1,New Year,771,0,33.1,1.0,high,5,Mid Morning
VL10,Bata Chowk,Violet Line,2024-01-01 13:00:00,13,0,0,220,7,16.1,0.0,Clear,1,New Year,670,0,31.4,1.0,high,5,Mid Morning
VL10,Bata Chowk,Violet Line,2024-01-01 14:00:00,14,0,0,195,7,14.7,0.0,Clear,1,New Year,647,0,27.9,1.0,high,5,Afternoon
VL10,Bata Chowk,Violet Line,2024-01-01 15:00:00,15,0,0,213,7,12.4,0.0,Clear,1,New Year,628,0,30.4,1.0,high,5,Afternoon
VL10,Bata Chowk,Violet Line,2024-01-01 16:00:00,16,0,0,272,7,12.0,0.0,Clear,1,New Year,680,0,38.9,1.0,high,5,Afternoon
VL10,Bata Chowk,Violet Line,2024-01-01 17:00:00,17,0,0,430,13,12.6,0.0,Clear,1,New Year,915,1,33.1,1.0,high,5,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-01 18:00:00,18,0,0,467,13,11.8,0.0,Clear,1,New Year,1169,1,35.9,1.0,high,5,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-01 19:00:00,19,0,0,449,13,9.4,0.0,Clear,1,New Year,1346,1,34.5,1.0,high,5,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-01 20:00:00,20,0,0,318,13,9.6,0.0,Clear,1,New Year,1234,1,24.5,0.886,high,5,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-01 21:00:00,21,0,0,136,5,8.6,0.0,Clear,1,New Year,903,0,27.2,0.983,high,5,Night
VL10,Bata Chowk,Violet Line,2024-01-01 22:00:00,22,0,0,63,5,10.3,0.0,Clear,1,New Year,517,0,12.6,0.455,medium,3,Night
VL10,Bata Chowk,Violet Line,2024-01-01 23:00:00,23,0,0,19,0,10.5,0.0,Clear,1,New Year,218,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,82,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,19,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL10,Bata Chowk,Violet Line,2024-01-02 06:00:00,6,1,0,27,4,14.5,0.0,Clear,0,,27,0,6.8,0.246,low,2,Night
VL10,Bata Chowk,Violet Line,2024-01-02 07:00:00,7,1,0,100,6,16.3,0.0,Clear,0,,127,0,16.7,0.604,medium,4,Night
VL10,Bata Chowk,Violet Line,2024-01-02 08:00:00,8,1,0,334,14,17.4,0.0,Cloudy,0,,461,1,23.9,0.864,high,5,Morning Peak
VL10,Bata Chowk,Violet Line,2024-01-02 09:00:00,9,1,0,378,14,18.4,0.0,Clear,0,,812,1,27.0,0.976,high,5,Morning Peak
VL10,Bata Chowk,Violet Line,2024-01-02 10:00:00,10,1,0,243,14,20.4,0.0,Cloudy,0,,955,1,17.4,0.629,medium,4,Morning Peak
VL10,Bata Chowk,Violet Line,2024-01-02 11:00:00,11,1,0,179,7,19.8,0.0,Cloudy,0,,800,0,25.6,0.925,high,5,Mid Morning
VL10,Bata Chowk,Violet Line,2024-01-02 12:00:00,12,1,0,185,7,18.2,0.0,Clear,0,,607,0,26.4,0.954,high,5,Mid Morning
VL10,Bata Chowk,Violet Line,2024-01-02 13:00:00,13,1,0,158,7,16.1,0.0,Clear,0,,522,0,22.6,0.817,high,5,Mid Morning
VL10,Bata Chowk,Violet Line,2024-01-02 14:00:00,14,1,0,147,7,14.6,0.0,Clear,0,,490,0,21.0,0.759,high,5,Afternoon
VL10,Bata Chowk,Violet Line,2024-01-02 15:00:00,15,1,0,149,7,13.0,0.0,Clear,0,,454,0,21.3,0.77,high,5,Afternoon
VL10,Bata Chowk,Violet Line,2024-01-02 16:00:00,16,1,0,185,7,11.6,0.0,Clear,0,,481,0,26.4,0.954,high,5,Afternoon
VL10,Bata Chowk,Violet Line,2024-01-02 17:00:00,17,1,0,293,13,11.3,0.0,Clear,0,,627,1,22.5,0.813,high,5,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-02 18:00:00,18,1,0,340,13,11.6,0.0,Clear,0,,818,1,26.2,0.947,high,5,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-02 19:00:00,19,1,0,346,13,10.7,0.0,Clear,0,,979,1,26.6,0.962,high,5,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-02 20:00:00,20,1,0,238,13,11.3,0.0,Clear,0,,924,1,18.3,0.661,high,4,Evening Peak
VL10,Bata Chowk,Violet Line,2024-01-02 21:00:00,21,1,0,106,5,9.6,0.0,Clear,0,,690,0,21.2,0.766,high,5,Night
