station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL11,Central Secretariat Violet,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 06:00:00,6,0,0,1019,4,13.7,0.0,Clear,1,New Year,1019,0,254.8,0.317,low,2,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 07:00:00,7,0,0,4278,6,17.7,0.0,Cloudy,1,New Year,5297,0,713.0,0.887,high,5,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 08:00:00,8,0,0,13004,14,18.6,0.0,Clear,1,New Year,18301,1,928.9,1.0,high,5,Morning Peak
VL11,Central Secretariat Violet,Violet Line,2024-01-01 09:00:00,9,0,0,14420,14,18.5,0.0,Clear,1,New Year,31702,1,1030.0,1.0,high,5,Morning Peak
VL11,Central Secretariat Violet,Violet Line,2024-01-01 10:00:00,10,0,0,9587,14,18.5,0.0,Clear,1,New Year,37011,1,684.8,0.852,high,5,Morning Peak
VL11,Central Secretariat Violet,Violet Line,2024-01-01 11:00:00,11,0,0,6651,7,17.5,0.0,Clear,1,New Year,30658,0,950.1,1.0,high,5,Mid Morning
VL11,Central Secretariat Violet,Violet Line,2024-01-01 12:00:00,12,0,0,6474,7,18.0,0.0,Clear,1,New Year,22712,0,924.9,1.0,high,5,Mid Morning
VL11,Central Secretariat Violet,Violet Line,2024-01-01 13:00:00,13,0,0,5778,7,16.1,0.0,Clear,1,New Year,18903,0,825.4,1.0,high,5,Mid Morning
VL11,Central Secretariat Violet,Violet Line,2024-01-01 14:00:00,14,0,0,5846,7,14.7,0.0,Clear,1,New Year,18098,0,835.1,1.0,high,5,Afternoon
VL11,Central Secretariat Violet,Violet Line,2024-01-01 15:00:00,15,0,0,5812,7,12.4,0.0,Clear,1,New Year,17436,0,830.3,1.0,high,5,Afternoon
VL11,Central Secretariat Violet,Violet Line,2024-01-01 16:00:00,16,0,0,7575,7,12.0,0.0,Clear,1,New Year,19233,0,1082.1,1.0,high,5,Afternoon
VL11,Central Secretariat Violet,Violet Line,2024-01-01 17:00:00,17,0,0,11680,13,12.6,0.0,Clear,1,New Year,25067,1,898.5,1.0,high,5,Evening Peak
VL11,Central Secretariat Violet,Violet Line,2024-01-01 18:00:00,18,0,0,14600,13,11.8,0.0,Clear,1,New Year,33855,1,1123.1,1.0,high,5,Evening Peak
VL11,Central Secretariat Violet,Violet Line,2024-01-01 19:00:00,19,0,0,12172,13,9.4,0.0,Clear,1,New Year,38452,1,936.3,1.0,high,5,Evening Peak
VL11,Central Secretariat Violet,Violet Line,2024-01-01 20:00:00,20,0,0,9620,13,9.6,0.0,Clear,1,New Year,36392,1,740.0,0.921,high,5,Evening Peak
VL11,Central Secretariat Violet,Violet Line,2024-01-01 21:00:00,21,0,0,4184,5,8.6,0.0,Clear,1,New Year,25976,0,836.8,1.0,high,5,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 22:00:00,22,0,0,1893,5,10.3,0.0,Clear,1,New Year,15697,0,378.6,0.471,medium,3,Night
VL11,Central Secretariat Violet,Violet Line,2024-01-01 23:00:00,23,0,0,543,0,10.5,0.0,Clear,1,New Year,6620,0,0.0,0.0,low,1,Night
