station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL16,Jama Masjid,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-01 06:00:00,6,0,0,89,4,13.7,0.0,Clear,1,New Year,89,0,22.2,0.351,medium,3,Night
VL16,Jama Masjid,Violet Line,2024-01-01 07:00:00,7,0,0,347,6,17.7,0.0,Cloudy,1,New Year,436,0,57.8,0.915,high,5,Night
VL16,Jama Masjid,Violet Line,2024-01-01 08:00:00,8,0,0,919,14,18.6,0.0,Clear,1,New Year,1355,1,65.6,1.0,high,5,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-01 09:00:00,9,0,0,1220,14,18.5,0.0,Clear,1,New Year,2486,1,87.1,1.0,high,5,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-01 10:00:00,10,0,0,761,14,18.5,0.0,Clear,1,New Year,2900,1,54.4,0.861,high,5,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-01 11:00:00,11,0,0,572,7,17.5,0.0,Clear,1,New Year,2553,0,81.7,1.0,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-01 12:00:00,12,0,0,506,7,18.0,0.0,Clear,1,New Year,1839,0,72.3,1.0,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-01 13:00:00,13,0,0,479,7,16.1,0.0,Clear,1,New Year,1557,0,68.4,1.0,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-01 14:00:00,14,0,0,484,7,14.7,0.0,Clear,1,New Year,1469,0,69.1,1.0,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-01 15:00:00,15,0,0,522,7,12.4,0.0,Clear,1,New Year,1485,0,74.6,1.0,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-01 16:00:00,16,0,0,633,7,12.0,0.0,Clear,1,New Year,1639,0,90.4,1.0,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-01 17:00:00,17,0,0,985,13,12.6,0.0,Clear,1,New Year,2140,1,75.8,1.0,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-01 18:00:00,18,0,0,999,13,11.8,0.0,Clear,1,New Year,2617,1,76.8,1.0,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-01 19:00:00,19,0,0,1052,13,9.4,0.0,Clear,1,New Year,3036,1,80.9,1.0,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-01 20:00:00,20,0,0,740,13,9.6,0.0,Clear,1,New Year,2791,1,56.9,0.901,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-01 21:00:00,21,0,0,349,5,8.6,0.0,Clear,1,New Year,2141,0,69.8,1.0,high,5,Night
VL16,Jama Masjid,Violet Line,2024-01-01 22:00:00,22,0,0,145,5,10.3,0.0,Clear,1,New Year,1234,0,29.0,0.459,medium,3,Night
VL16,Jama Masjid,Violet Line,2024-01-01 23:00:00,23,0,0,41,0,10.5,0.0,Clear,1,New Year,535,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,186,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,41,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-02 06:00:00,6,1,0,69,4,14.5,0.0,Clear,0,,69,0,17.2,0.272,low,2,Night
VL16,Jama Masjid,Violet Line,2024-01-02 07:00:00,7,1,0,224,6,16.3,0.0,Clear,0,,293,0,37.3,0.591,medium,4,Night
VL16,Jama Masjid,Violet Line,2024-01-02 08:00:00,8,1,0,738,14,17.4,0.0,Cloudy,0,,1031,1,52.7,0.834,high,5,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-02 09:00:00,9,1,0,846,14,18.4,0.0,Clear,0,,1808,1,60.4,0.956,high,5,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-02 10:00:00,10,1,0,575,14,20.4,0.0,Cloudy,0,,2159,1,41.1,0.651,high,4,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-02 11:00:00,11,1,0,430,7,19.8,0.0,Cloudy,0,,1851,0,61.4,0.972,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-02 12:00:00,12,1,0,400,7,18.2,0.0,Clear,0,,1405,0,57.1,0.904,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-02 13:00:00,13,1,0,376,7,16.1,0.0,Clear,0,,1206,0,53.7,0.85,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-02 14:00:00,14,1,0,362,7,14.6,0.0,Clear,0,,1138,0,51.7,0.818,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-02 15:00:00,15,1,0,384,7,13.0,0.0,Clear,0,,1122,0,54.9,0.869,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-02 16:00:00,16,1,0,415,7,11.6,0.0,Clear,0,,1161,0,59.3,0.939,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-02 17:00:00,17,1,0,695,13,11.3,0.0,Clear,0,,1494,1,53.5,0.847,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-02 18:00:00,18,1,0,766,13,11.6,0.0,Clear,0,,1876,1,58.9,0.932,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-02 19:00:00,19,1,0,678,13,10.7,0.0,Clear,0,,2139,1,52.2,0.826,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-02 20:00:00,20,1,0,560,13,11.3,0.0,Clear,0,,2004,1,43.1,0.682,high,4,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-02 21:00:00,21,1,0,245,5,9.6,0.0,Clear,0,,1483,0,49.0,0.776,high,5,Night
VL16,Jama Masjid,Violet Line,2024-01-02 22:00:00,22,1,0,98,5,9.8,0.0,Clear,0,,903,0,19.6,0.31,low,2,Night
VL16,Jama Masjid,Violet Line,2024-01-02 23:00:00,23,1,0,34,0,9.3,0.0,Clear,0,,377,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,132,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,34,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
VL16,Jama Masjid,Violet Line,2024-01-03 06:00:00,6,2,0,69,4,14.7,0.0,Cloudy,0,,69,0,17.2,0.272,low,2,Night
VL16,Jama Masjid,Violet Line,2024-01-03 07:00:00,7,2,0,256,6,16.2,0.0,Clear,0,,325,0,42.7,0.676,high,4,Night
VL16,Jama Masjid,Violet Line,2024-01-03 08:00:00,8,2,0,771,14,16.0,0.0,Clear,0,,1096,1,55.1,0.872,high,5,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-03 09:00:00,9,2,0,925,14,19.3,0.0,Clear,0,,1952,1,66.1,1.0,high,5,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-03 10:00:00,10,2,0,566,14,18.1,0.0,Clear,0,,2262,1,40.4,0.64,medium,4,Morning Peak
VL16,Jama Masjid,Violet Line,2024-01-03 11:00:00,11,2,0,391,7,17.9,0.0,Clear,0,,1882,0,55.9,0.885,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-03 12:00:00,12,2,0,416,7,18.4,0.0,Clear,0,,1373,0,59.4,0.94,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-03 13:00:00,13,2,0,378,7,16.5,0.0,Clear,0,,1185,0,54.0,0.855,high,5,Mid Morning
VL16,Jama Masjid,Violet Line,2024-01-03 14:00:00,14,2,0,321,7,14.9,0.0,Clear,0,,1115,0,45.9,0.727,high,4,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-03 15:00:00,15,2,0,373,7,12.6,0.0,Clear,0,,1072,0,53.3,0.844,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-03 16:00:00,16,2,0,424,7,11.3,0.0,Clear,0,,1118,0,60.6,0.959,high,5,Afternoon
VL16,Jama Masjid,Violet Line,2024-01-03 17:00:00,17,2,0,636,13,10.7,0.0,Clear,0,,1433,1,48.9,0.774,high,5,Evening Peak
VL16,Jama Masjid,Violet Line,2024-01-03 18:00:00,18,2,0,834,13,11.1,0.0,Clear,0,,1894,1,64.2,1.0,high,5,Evening Peak
