station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL17,Jangpura,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-01 06:00:00,6,0,0,67,4,13.7,0.0,Clear,1,New Year,67,0,16.8,0.355,medium,3,Night
VL17,Jangpura,Violet Line,2024-01-01 07:00:00,7,0,0,257,6,17.7,0.0,Cloudy,1,New Year,324,0,42.8,0.906,high,5,Night
VL17,Jangpura,Violet Line,2024-01-01 08:00:00,8,0,0,799,14,18.6,0.0,Clear,1,New Year,1123,1,57.1,1.0,high,5,Morning Peak
VL17,Jangpura,Violet Line,2024-01-01 09:00:00,9,0,0,818,14,18.5,0.0,Clear,1,New Year,1874,1,58.4,1.0,high,5,Morning Peak
VL17,Jangpura,Violet Line,2024-01-01 10:00:00,10,0,0,576,14,18.5,0.0,Clear,1,New Year,2193,1,41.1,0.87,high,5,Morning Peak
VL17,Jangpura,Violet Line,2024-01-01 11:00:00,11,0,0,436,7,17.5,0.0,Clear,1,New Year,1830,0,62.3,1.0,high,5,Mid Morning
VL17,Jangpura,Violet Line,2024-01-01 12:00:00,12,0,0,412,7,18.0,0.0,Clear,1,New Year,1424,0,58.9,1.0,high,5,Mid Morning
VL17,Jangpura,Violet Line,2024-01-01 13:00:00,13,0,0,371,7,16.1,0.0,Clear,1,New Year,1219,0,53.0,1.0,high,5,Mid Morning
VL17,Jangpura,Violet Line,2024-01-01 14:00:00,14,0,0,326,7,14.7,0.0,Clear,1,New Year,1109,0,46.6,0.986,high,5,Afternoon
VL17,Jangpura,Violet Line,2024-01-01 15:00:00,15,0,0,354,7,12.4,0.0,Clear,1,New Year,1051,0,50.6,1.0,high,5,Afternoon
VL17,Jangpura,Violet Line,2024-01-01 16:00:00,16,0,0,420,7,12.0,0.0,Clear,1,New Year,1100,0,60.0,1.0,high,5,Afternoon
VL17,Jangpura,Violet Line,2024-01-01 17:00:00,17,0,0,749,13,12.6,0.0,Clear,1,New Year,1523,1,57.6,1.0,high,5,Evening Peak
VL17,Jangpura,Violet Line,2024-01-01 18:00:00,18,0,0,796,13,11.8,0.0,Clear,1,New Year,1965,1,61.2,1.0,high,5,Evening Peak
VL17,Jangpura,Violet Line,2024-01-01 19:00:00,19,0,0,782,13,9.4,0.0,Clear,1,New Year,2327,1,60.2,1.0,high,5,Evening Peak
VL17,Jangpura,Violet Line,2024-01-01 20:00:00,20,0,0,514,13,9.6,0.0,Clear,1,New Year,2092,1,39.5,0.836,high,5,Evening Peak
VL17,Jangpura,Violet Line,2024-01-01 21:00:00,21,0,0,224,5,8.6,0.0,Clear,1,New Year,1520,0,44.8,0.948,high,5,Night
VL17,Jangpura,Violet Line,2024-01-01 22:00:00,22,0,0,113,5,10.3,0.0,Clear,1,New Year,851,0,22.6,0.478,medium,3,Night
VL17,Jangpura,Violet Line,2024-01-01 23:00:00,23,0,0,35,0,10.5,0.0,Clear,1,New Year,372,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,148,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,35,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL17,Jangpura,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
