station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL18,Jasola Apollo,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 06:00:00,6,0,0,58,4,13.7,0.0,Clear,1,New Year,58,0,14.5,0.365,medium,3,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 07:00:00,7,0,0,213,6,17.7,0.0,Cloudy,1,New Year,271,0,35.5,0.894,high,5,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 08:00:00,8,0,0,612,14,18.6,0.0,Clear,1,New Year,883,1,43.7,1.0,high,5,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-01 09:00:00,9,0,0,781,14,18.5,0.0,Clear,1,New Year,1606,1,55.8,1.0,high,5,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-01 10:00:00,10,0,0,504,14,18.5,0.0,Clear,1,New Year,1897,1,36.0,0.907,high,5,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-01 11:00:00,11,0,0,360,7,17.5,0.0,Clear,1,New Year,1645,0,51.4,1.0,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-01 12:00:00,12,0,0,337,7,18.0,0.0,Clear,1,New Year,1201,0,48.1,1.0,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-01 13:00:00,13,0,0,291,7,16.1,0.0,Clear,1,New Year,988,0,41.6,1.0,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-01 14:00:00,14,0,0,277,7,14.7,0.0,Clear,1,New Year,905,0,39.6,0.997,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-01 15:00:00,15,0,0,326,7,12.4,0.0,Clear,1,New Year,894,0,46.6,1.0,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-01 16:00:00,16,0,0,372,7,12.0,0.0,Clear,1,New Year,975,0,53.1,1.0,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-01 17:00:00,17,0,0,560,13,12.6,0.0,Clear,1,New Year,1258,1,43.1,1.0,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-01 18:00:00,18,0,0,671,13,11.8,0.0,Clear,1,New Year,1603,1,51.6,1.0,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-01 19:00:00,19,0,0,638,13,9.4,0.0,Clear,1,New Year,1869,1,49.1,1.0,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-01 20:00:00,20,0,0,476,13,9.6,0.0,Clear,1,New Year,1785,1,36.6,0.922,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-01 21:00:00,21,0,0,193,5,8.6,0.0,Clear,1,New Year,1307,0,38.6,0.972,high,5,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 22:00:00,22,0,0,93,5,10.3,0.0,Clear,1,New Year,762,0,18.6,0.469,medium,3,Night
VL18,Jasola Apollo,Violet Line,2024-01-01 23:00:00,23,0,0,27,0,10.5,0.0,Clear,1,New Year,313,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,120,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,27,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 06:00:00,6,1,0,43,4,14.5,0.0,Clear,0,,43,0,10.8,0.272,low,2,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 07:00:00,7,1,0,155,6,16.3,0.0,Clear,0,,198,0,25.8,0.65,high,4,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 08:00:00,8,1,0,449,14,17.4,0.0,Cloudy,0,,647,1,32.1,0.809,high,5,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-02 09:00:00,9,1,0,507,14,18.4,0.0,Clear,0,,1111,1,36.2,0.912,high,5,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-02 10:00:00,10,1,0,377,14,20.4,0.0,Cloudy,0,,1333,1,26.9,0.678,high,4,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-02 11:00:00,11,1,0,251,7,19.8,0.0,Cloudy,0,,1135,0,35.9,0.904,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-02 12:00:00,12,1,0,242,7,18.2,0.0,Clear,0,,870,0,34.6,0.872,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-02 13:00:00,13,1,0,236,7,16.1,0.0,Clear,0,,729,0,33.7,0.849,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-02 14:00:00,14,1,0,215,7,14.6,0.0,Clear,0,,693,0,30.7,0.773,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-02 15:00:00,15,1,0,213,7,13.0,0.0,Clear,0,,664,0,30.4,0.766,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-02 16:00:00,16,1,0,258,7,11.6,0.0,Clear,0,,686,0,36.9,0.929,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-02 17:00:00,17,1,0,435,13,11.3,0.0,Clear,0,,906,1,33.5,0.844,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-02 18:00:00,18,1,0,515,13,11.6,0.0,Clear,0,,1208,1,39.6,0.997,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-02 19:00:00,19,1,0,491,13,10.7,0.0,Clear,0,,1441,1,37.8,0.952,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-02 20:00:00,20,1,0,348,13,11.3,0.0,Clear,0,,1354,1,26.8,0.675,high,4,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-02 21:00:00,21,1,0,150,5,9.6,0.0,Clear,0,,989,0,30.0,0.756,high,5,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 22:00:00,22,1,0,63,5,9.8,0.0,Clear,0,,561,0,12.6,0.317,low,2,Night
VL18,Jasola Apollo,Violet Line,2024-01-02 23:00:00,23,1,0,20,0,9.3,0.0,Clear,0,,233,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,83,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,20,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 06:00:00,6,2,0,41,4,14.7,0.0,Cloudy,0,,41,0,10.2,0.257,low,2,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 07:00:00,7,2,0,161,6,16.2,0.0,Clear,0,,202,0,26.8,0.675,high,4,Night
VL18,Jasola Apollo,Violet Line,2024-01-03 08:00:00,8,2,0,484,14,16.0,0.0,Clear,0,,686,1,34.6,0.872,high,5,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-03 09:00:00,9,2,0,550,14,19.3,0.0,Clear,0,,1195,1,39.3,0.99,high,5,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-03 10:00:00,10,2,0,331,14,18.1,0.0,Clear,0,,1365,1,23.6,0.594,medium,4,Morning Peak
VL18,Jasola Apollo,Violet Line,2024-01-03 11:00:00,11,2,0,258,7,17.9,0.0,Clear,0,,1139,0,36.9,0.929,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-03 12:00:00,12,2,0,238,7,18.4,0.0,Clear,0,,827,0,34.0,0.856,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-03 13:00:00,13,2,0,214,7,16.5,0.0,Clear,0,,710,0,30.6,0.771,high,5,Mid Morning
VL18,Jasola Apollo,Violet Line,2024-01-03 14:00:00,14,2,0,195,7,14.9,0.0,Clear,0,,647,0,27.9,0.703,high,4,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-03 15:00:00,15,2,0,240,7,12.6,0.0,Clear,0,,649,0,34.3,0.864,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-03 16:00:00,16,2,0,261,7,11.3,0.0,Clear,0,,696,0,37.3,0.94,high,5,Afternoon
VL18,Jasola Apollo,Violet Line,2024-01-03 17:00:00,17,2,0,419,13,10.7,0.0,Clear,0,,920,1,32.2,0.811,high,5,Evening Peak
VL18,Jasola Apollo,Violet Line,2024-01-03 18:00:00,18,2,0,538,13,11.1,0.0,Clear,0,,1218,1,41.4,1.0,high,5,Evening Peak
