station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 06:00:00,6,0,0,70,4,13.7,0.0,Clear,1,New Year,70,0,17.5,0.316,low,2,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 07:00:00,7,0,0,265,6,17.7,0.0,Cloudy,1,New Year,335,0,44.2,0.798,high,5,Night
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 08:00:00,8,0,0,897,14,18.6,0.0,Clear,1,New Year,1232,1,64.1,1.0,high,5,Morning Peak
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 09:00:00,9,0,0,1095,14,18.5,0.0,Clear,1,New Year,2257,1,78.2,1.0,high,5,Morning Peak
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 10:00:00,10,0,0,715,14,18.5,0.0,Clear,1,New Year,2707,1,51.1,0.923,high,5,Morning Peak
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 11:00:00,11,0,0,447,7,17.5,0.0,Clear,1,New Year,2257,0,63.9,1.0,high,5,Mid Morning
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 12:00:00,12,0,0,456,7,18.0,0.0,Clear,1,New Year,1618,0,65.1,1.0,high,5,Mid Morning
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 13:00:00,13,0,0,459,7,16.1,0.0,Clear,1,New Year,1362,0,65.6,1.0,high,5,Mid Morning
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 14:00:00,14,0,0,404,7,14.7,0.0,Clear,1,New Year,1319,0,57.7,1.0,high,5,Afternoon
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 15:00:00,15,0,0,450,7,12.4,0.0,Clear,1,New Year,1313,0,64.3,1.0,high,5,Afternoon
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 16:00:00,16,0,0,531,7,12.0,0.0,Clear,1,New Year,1385,0,75.9,1.0,high,5,Afternoon
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 17:00:00,17,0,0,802,13,12.6,0.0,Clear,1,New Year,1783,1,61.7,1.0,high,5,Evening Peak
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 18:00:00,18,0,0,1000,13,11.8,0.0,Clear,1,New Year,2333,1,76.9,1.0,high,5,Evening Peak
VL19,Jawaharlal Nehru Stadium,Violet Line,2024-01-01 19:00:00,19,0,0,903,13,9.4,0.0,Clear,1,New Year,2705,1,69.5,1.0,high,5,Evening Peak
