station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL20,Kailash Colony,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-01 06:00:00,6,0,0,60,4,13.7,0.0,Clear,1,New Year,60,0,15.0,0.316,low,2,Night
VL20,Kailash Colony,Violet Line,2024-01-01 07:00:00,7,0,0,253,6,17.7,0.0,Cloudy,1,New Year,313,0,42.2,0.889,high,5,Night
VL20,Kailash Colony,Violet Line,2024-01-01 08:00:00,8,0,0,768,14,18.6,0.0,Clear,1,New Year,1081,1,54.9,1.0,high,5,Morning Peak
VL20,Kailash Colony,Violet Line,2024-01-01 09:00:00,9,0,0,852,14,18.5,0.0,Clear,1,New Year,1873,1,60.9,1.0,high,5,Morning Peak
VL20,Kailash Colony,Violet Line,2024-01-01 10:00:00,10,0,0,566,14,18.5,0.0,Clear,1,New Year,2186,1,40.4,0.851,high,5,Morning Peak
VL20,Kailash Colony,Violet Line,2024-01-01 11:00:00,11,0,0,393,7,17.5,0.0,Clear,1,New Year,1811,0,56.1,1.0,high,5,Mid Morning
VL20,Kailash Colony,Violet Line,2024-01-01 12:00:00,12,0,0,383,7,18.0,0.0,Clear,1,New Year,1342,0,54.7,1.0,high,5,Mid Morning
VL20,Kailash Colony,Violet Line,2024-01-01 13:00:00,13,0,0,341,7,16.1,0.0,Clear,1,New Year,1117,0,48.7,1.0,high,5,Mid Morning
VL20,Kailash Colony,Violet Line,2024-01-01 14:00:00,14,0,0,345,7,14.7,0.0,Clear,1,New Year,1069,0,49.3,1.0,high,5,Afternoon
VL20,Kailash Colony,Violet Line,2024-01-01 15:00:00,15,0,0,343,7,12.4,0.0,Clear,1,New Year,1029,0,49.0,1.0,high,5,Afternoon
VL20,Kailash Colony,Violet Line,2024-01-01 16:00:00,16,0,0,448,7,12.0,0.0,Clear,1,New Year,1136,0,64.0,1.0,high,5,Afternoon
VL20,Kailash Colony,Violet Line,2024-01-01 17:00:00,17,0,0,690,13,12.6,0.0,Clear,1,New Year,1481,1,53.1,1.0,high,5,Evening Peak
VL20,Kailash Colony,Violet Line,2024-01-01 18:00:00,18,0,0,863,13,11.8,0.0,Clear,1,New Year,2001,1,66.4,1.0,high,5,Evening Peak
VL20,Kailash Colony,Violet Line,2024-01-01 19:00:00,19,0,0,719,13,9.4,0.0,Clear,1,New Year,2272,1,55.3,1.0,high,5,Evening Peak
VL20,Kailash Colony,Violet Line,2024-01-01 20:00:00,20,0,0,568,13,9.6,0.0,Clear,1,New Year,2150,1,43.7,0.921,high,5,Evening Peak
VL20,Kailash Colony,Violet Line,2024-01-01 21:00:00,21,0,0,247,5,8.6,0.0,Clear,1,New Year,1534,0,49.4,1.0,high,5,Night
VL20,Kailash Colony,Violet Line,2024-01-01 22:00:00,22,0,0,112,5,10.3,0.0,Clear,1,New Year,927,0,22.4,0.472,medium,3,Night
VL20,Kailash Colony,Violet Line,2024-01-01 23:00:00,23,0,0,32,0,10.5,0.0,Clear,1,New Year,391,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,144,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,32,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL20,Kailash Colony,Violet Line,2024-01-02 06:00:00,6,1,0,48,4,14.5,0.0,Clear,0,,48,0,12.0,0.253,low,2,Night
VL20,Kailash Colony,Violet Line,2024-01-02 07:00:00,7,1,0,187,6,16.3,0.0,Clear,0,,235,0,31.2,0.657,high,4,Night
VL20,Kailash Colony,Violet Line,2024-01-02 08:00:00,8,1,0,528,14,17.4,0.0,Cloudy,0,,763,1,37.7,0.794,high,5,Morning Peak
VL20,Kailash Colony,Violet Line,2024-01-02 09:00:00,9,1,0,666,14,18.4,0.0,Clear,0,,1381,1,47.6,1.0,high,5,Morning Peak
VL20,Kailash Colony,Violet Line,2024-01-02 10:00:00,10,1,0,459,14,20.4,0.0,Cloudy,0,,1653,1,32.8,0.691,high,4,Morning Peak
VL20,Kailash Colony,Violet Line,2024-01-02 11:00:00,11,1,0,306,7,19.8,0.0,Cloudy,0,,1431,0,43.7,0.921,high,5,Mid Morning
VL20,Kailash Colony,Violet Line,2024-01-02 12:00:00,12,1,0,286,7,18.2,0.0,Clear,0,,1051,0,40.9,0.862,high,5,Mid Morning
VL20,Kailash Colony,Violet Line,2024-01-02 13:00:00,13,1,0,273,7,16.1,0.0,Clear,0,,865,0,39.0,0.822,high,5,Mid Morning
VL20,Kailash Colony,Violet Line,2024-01-02 14:00:00,14,1,0,242,7,14.6,0.0,Clear,0,,801,0,34.6,0.729,high,4,Afternoon
VL20,Kailash Colony,Violet Line,2024-01-02 15:00:00,15,1,0,264,7,13.0,0.0,Clear,0,,779,0,37.7,0.794,high,5,Afternoon
VL20,Kailash Colony,Violet Line,2024-01-02 16:00:00,16,1,0,356,7,11.6,0.0,Clear,0,,862,0,50.9,1.0,high,5,Afternoon
VL20,Kailash Colony,Violet Line,2024-01-02 17:00:00,17,1,0,479,13,11.3,0.0,Clear,0,,1099,1,36.8,0.775,high,5,Evening Peak
VL20,Kailash Colony,Violet Line,2024-01-02 18:00:00,18,1,0,603,13,11.6,0.0,Clear,0,,1438,1,46.4,0.978,high,5,Evening Peak
VL20,Kailash Colony,Violet Line,2024-01-02 19:00:00,19,1,0,546,13,10.7,0.0,Clear,0,,1628,1,42.0,0.885,high,5,Evening Peak
VL20,Kailash Colony,Violet Line,2024-01-02 20:00:00,20,1,0,414,13,11.3,0.0,Clear,0,,1563,1,31.8,0.67,high,4,Evening Peak
