station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL25,Mohan Estate,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL25,Mohan Estate,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL25,Mohan Estate,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL25,Mohan Estate,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL25,Mohan Estate,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL25,Mohan Estate,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL25,Mohan Estate,Violet Line,2024-01-01 06:00:00,6,0,0,50,4,13.7,0.0,Clear,1,New Year,50,0,12.5,0.352,medium,3,Night
VL25,Mohan Estate,Violet Line,2024-01-01 07:00:00,7,0,0,195,6,17.7,0.0,Cloudy,1,New Year,245,0,32.5,0.915,high,5,Night
VL25,Mohan Estate,Violet Line,2024-01-01 08:00:00,8,0,0,517,14,18.6,0.0,Clear,1,New Year,762,1,36.9,1.0,high,5,Morning Peak
VL25,Mohan Estate,Violet Line,2024-01-01 09:00:00,9,0,0,686,14,18.5,0.0,Clear,1,New Year,1398,1,49.0,1.0,high,5,Morning Peak
VL25,Mohan Estate,Violet Line,2024-01-01 10:00:00,10,0,0,428,14,18.5,0.0,Clear,1,New Year,1631,1,30.6,0.862,high,5,Morning Peak
VL25,Mohan Estate,Violet Line,2024-01-01 11:00:00,11,0,0,321,7,17.5,0.0,Clear,1,New Year,1435,0,45.9,1.0,high,5,Mid Morning
VL25,Mohan Estate,Violet Line,2024-01-01 12:00:00,12,0,0,285,7,18.0,0.0,Clear,1,New Year,1034,0,40.7,1.0,high,5,Mid Morning
VL25,Mohan Estate,Violet Line,2024-01-01 13:00:00,13,0,0,269,7,16.1,0.0,Clear,1,New Year,875,0,38.4,1.0,high,5,Mid Morning
VL25,Mohan Estate,Violet Line,2024-01-01 14:00:00,14,0,0,272,7,14.7,0.0,Clear,1,New Year,826,0,38.9,1.0,high,5,Afternoon
VL25,Mohan Estate,Violet Line,2024-01-01 15:00:00,15,0,0,294,7,12.4,0.0,Clear,1,New Year,835,0,42.0,1.0,high,5,Afternoon
