station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL26,Moolchand,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-01 06:00:00,6,0,0,79,4,13.7,0.0,Clear,1,New Year,79,0,19.8,0.359,medium,3,Night
VL26,Moolchand,Violet Line,2024-01-01 07:00:00,7,0,0,300,6,17.7,0.0,Cloudy,1,New Year,379,0,50.0,0.907,high,5,Night
VL26,Moolchand,Violet Line,2024-01-01 08:00:00,8,0,0,932,14,18.6,0.0,Clear,1,New Year,1311,1,66.6,1.0,high,5,Morning Peak
VL26,Moolchand,Violet Line,2024-01-01 09:00:00,9,0,0,954,14,18.5,0.0,Clear,1,New Year,2186,1,68.1,1.0,high,5,Morning Peak
VL26,Moolchand,Violet Line,2024-01-01 10:00:00,10,0,0,672,14,18.5,0.0,Clear,1,New Year,2558,1,48.0,0.871,high,5,Morning Peak
VL26,Moolchand,Violet Line,2024-01-01 11:00:00,11,0,0,508,7,17.5,0.0,Clear,1,New Year,2134,0,72.6,1.0,high,5,Mid Morning
VL26,Moolchand,Violet Line,2024-01-01 12:00:00,12,0,0,480,7,18.0,0.0,Clear,1,New Year,1660,0,68.6,1.0,high,5,Mid Morning
VL26,Moolchand,Violet Line,2024-01-01 13:00:00,13,0,0,433,7,16.1,0.0,Clear,1,New Year,1421,0,61.9,1.0,high,5,Mid Morning
VL26,Moolchand,Violet Line,2024-01-01 14:00:00,14,0,0,380,7,14.7,0.0,Clear,1,New Year,1293,0,54.3,0.985,high,5,Afternoon
VL26,Moolchand,Violet Line,2024-01-01 15:00:00,15,0,0,414,7,12.4,0.0,Clear,1,New Year,1227,0,59.1,1.0,high,5,Afternoon
VL26,Moolchand,Violet Line,2024-01-01 16:00:00,16,0,0,490,7,12.0,0.0,Clear,1,New Year,1284,0,70.0,1.0,high,5,Afternoon
VL26,Moolchand,Violet Line,2024-01-01 17:00:00,17,0,0,874,13,12.6,0.0,Clear,1,New Year,1778,1,67.2,1.0,high,5,Evening Peak
VL26,Moolchand,Violet Line,2024-01-01 18:00:00,18,0,0,929,13,11.8,0.0,Clear,1,New Year,2293,1,71.5,1.0,high,5,Evening Peak
VL26,Moolchand,Violet Line,2024-01-01 19:00:00,19,0,0,912,13,9.4,0.0,Clear,1,New Year,2715,1,70.2,1.0,high,5,Evening Peak
VL26,Moolchand,Violet Line,2024-01-01 20:00:00,20,0,0,599,13,9.6,0.0,Clear,1,New Year,2440,1,46.1,0.837,high,5,Evening Peak
VL26,Moolchand,Violet Line,2024-01-01 21:00:00,21,0,0,262,5,8.6,0.0,Clear,1,New Year,1773,0,52.4,0.951,high,5,Night
VL26,Moolchand,Violet Line,2024-01-01 22:00:00,22,0,0,132,5,10.3,0.0,Clear,1,New Year,993,0,26.4,0.479,medium,3,Night
VL26,Moolchand,Violet Line,2024-01-01 23:00:00,23,0,0,41,0,10.5,0.0,Clear,1,New Year,435,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,173,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,41,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL26,Moolchand,Violet Line,2024-01-02 06:00:00,6,1,0,59,4,14.5,0.0,Clear,0,,59,0,14.8,0.269,low,2,Night
