station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL29,Old Faridabad,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-01 06:00:00,6,0,0,41,4,13.7,0.0,Clear,1,New Year,41,0,10.2,0.323,low,2,Night
VL29,Old Faridabad,Violet Line,2024-01-01 07:00:00,7,0,0,168,6,17.7,0.0,Cloudy,1,New Year,209,0,28.0,0.887,high,5,Night
VL29,Old Faridabad,Violet Line,2024-01-01 08:00:00,8,0,0,498,14,18.6,0.0,Clear,1,New Year,707,1,35.6,1.0,high,5,Morning Peak
VL29,Old Faridabad,Violet Line,2024-01-01 09:00:00,9,0,0,540,14,18.5,0.0,Clear,1,New Year,1206,1,38.6,1.0,high,5,Morning Peak
VL29,Old Faridabad,Violet Line,2024-01-01 10:00:00,10,0,0,416,14,18.5,0.0,Clear,1,New Year,1454,1,29.7,0.941,high,5,Morning Peak
VL29,Old Faridabad,Violet Line,2024-01-01 11:00:00,11,0,0,285,7,17.5,0.0,Clear,1,New Year,1241,0,40.7,1.0,high,5,Mid Morning
VL29,Old Faridabad,Violet Line,2024-01-01 12:00:00,12,0,0,286,7,18.0,0.0,Clear,1,New Year,987,0,40.9,1.0,high,5,Mid Morning
VL29,Old Faridabad,Violet Line,2024-01-01 13:00:00,13,0,0,227,7,16.1,0.0,Clear,1,New Year,798,0,32.4,1.0,high,5,Mid Morning
VL29,Old Faridabad,Violet Line,2024-01-01 14:00:00,14,0,0,214,7,14.7,0.0,Clear,1,New Year,727,0,30.6,0.969,high,5,Afternoon
VL29,Old Faridabad,Violet Line,2024-01-01 15:00:00,15,0,0,261,7,12.4,0.0,Clear,1,New Year,702,0,37.3,1.0,high,5,Afternoon
VL29,Old Faridabad,Violet Line,2024-01-01 16:00:00,16,0,0,293,7,12.0,0.0,Clear,1,New Year,768,0,41.9,1.0,high,5,Afternoon
VL29,Old Faridabad,Violet Line,2024-01-01 17:00:00,17,0,0,485,13,12.6,0.0,Clear,1,New Year,1039,1,37.3,1.0,high,5,Evening Peak
VL29,Old Faridabad,Violet Line,2024-01-01 18:00:00,18,0,0,558,13,11.8,0.0,Clear,1,New Year,1336,1,42.9,1.0,high,5,Evening Peak
VL29,Old Faridabad,Violet Line,2024-01-01 19:00:00,19,0,0,512,13,9.4,0.0,Clear,1,New Year,1555,1,39.4,1.0,high,5,Evening Peak
VL29,Old Faridabad,Violet Line,2024-01-01 20:00:00,20,0,0,386,13,9.6,0.0,Clear,1,New Year,1456,1,29.7,0.941,high,5,Evening Peak
VL29,Old Faridabad,Violet Line,2024-01-01 21:00:00,21,0,0,152,5,8.6,0.0,Clear,1,New Year,1050,0,30.4,0.963,high,5,Night
VL29,Old Faridabad,Violet Line,2024-01-01 22:00:00,22,0,0,70,5,10.3,0.0,Clear,1,New Year,608,0,14.0,0.444,medium,3,Night
VL29,Old Faridabad,Violet Line,2024-01-01 23:00:00,23,0,0,23,0,10.5,0.0,Clear,1,New Year,245,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,93,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,23,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL29,Old Faridabad,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
