station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 06:00:00,6,0,0,31,4,13.7,0.0,Clear,1,New Year,31,0,7.8,0.329,low,2,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 07:00:00,7,0,0,129,6,17.7,0.0,Cloudy,1,New Year,160,0,21.5,0.907,high,5,Night
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 08:00:00,8,0,0,401,14,18.6,0.0,Clear,1,New Year,561,1,28.6,1.0,high,5,Morning Peak
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 09:00:00,9,0,0,405,14,18.5,0.0,Clear,1,New Year,935,1,28.9,1.0,high,5,Morning Peak
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 10:00:00,10,0,0,284,14,18.5,0.0,Clear,1,New Year,1090,1,20.3,0.857,high,5,Morning Peak
VL31,Sant Surdas Sihi,Violet Line,2024-01-01 11:00:00,11,0,0,218,7,17.5,0.0,Clear,1,New Year,907,0,31.1,1.0,high,5,Mid Morning
