station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
VL32,Sarai,Violet Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-01 06:00:00,6,0,0,45,4,13.7,0.0,Clear,1,New Year,45,0,11.2,0.353,medium,3,Night
VL32,Sarai,Violet Line,2024-01-01 07:00:00,7,0,0,162,6,17.7,0.0,Cloudy,1,New Year,207,0,27.0,0.852,high,5,Night
VL32,Sarai,Violet Line,2024-01-01 08:00:00,8,0,0,527,14,18.6,0.0,Clear,1,New Year,734,1,37.6,1.0,high,5,Morning Peak
VL32,Sarai,Violet Line,2024-01-01 09:00:00,9,0,0,589,14,18.5,0.0,Clear,1,New Year,1278,1,42.1,1.0,high,5,Morning Peak
VL32,Sarai,Violet Line,2024-01-01 10:00:00,10,0,0,377,14,18.5,0.0,Clear,1,New Year,1493,1,26.9,0.849,high,5,Morning Peak
VL32,Sarai,Violet Line,2024-01-01 11:00:00,11,0,0,258,7,17.5,0.0,Clear,1,New Year,1224,0,36.9,1.0,high,5,Mid Morning
VL32,Sarai,Violet Line,2024-01-01 12:00:00,12,0,0,269,7,18.0,0.0,Clear,1,New Year,904,0,38.4,1.0,high,5,Mid Morning
VL32,Sarai,Violet Line,2024-01-01 13:00:00,13,0,0,254,7,16.1,0.0,Clear,1,New Year,781,0,36.3,1.0,high,5,Mid Morning
VL32,Sarai,Violet Line,2024-01-01 14:00:00,14,0,0,220,7,14.7,0.0,Clear,1,New Year,743,0,31.4,0.991,high,5,Afternoon
VL32,Sarai,Violet Line,2024-01-01 15:00:00,15,0,0,233,7,12.4,0.0,Clear,1,New Year,707,0,33.3,1.0,high,5,Afternoon
VL32,Sarai,Violet Line,2024-01-01 16:00:00,16,0,0,314,7,12.0,0.0,Clear,1,New Year,767,0,44.9,1.0,high,5,Afternoon
VL32,Sarai,Violet Line,2024-01-01 17:00:00,17,0,0,444,13,12.6,0.0,Clear,1,New Year,991,1,34.2,1.0,high,5,Evening Peak
VL32,Sarai,Violet Line,2024-01-01 18:00:00,18,0,0,549,13,11.8,0.0,Clear,1,New Year,1307,1,42.2,1.0,high,5,Evening Peak
VL32,Sarai,Violet Line,2024-01-01 19:00:00,19,0,0,479,13,9.4,0.0,Clear,1,New Year,1472,1,36.8,1.0,high,5,Evening Peak
VL32,Sarai,Violet Line,2024-01-01 20:00:00,20,0,0,377,13,9.6,0.0,Clear,1,New Year,1405,1,29.0,0.915,high,5,Evening Peak
VL32,Sarai,Violet Line,2024-01-01 21:00:00,21,0,0,150,5,8.6,0.0,Clear,1,New Year,1006,0,30.0,0.946,high,5,Night
VL32,Sarai,Violet Line,2024-01-01 22:00:00,22,0,0,69,5,10.3,0.0,Clear,1,New Year,596,0,13.8,0.435,medium,3,Night
VL32,Sarai,Violet Line,2024-01-01 23:00:00,23,0,0,23,0,10.5,0.0,Clear,1,New Year,242,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,92,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,23,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
VL32,Sarai,Violet Line,2024-01-02 06:00:00,6,1,0,30,4,14.5,0.0,Clear,0,,30,0,7.5,0.237,low,2,Night
VL32,Sarai,Violet Line,2024-01-02 07:00:00,7,1,0,112,6,16.3,0.0,Clear,0,,142,0,18.7,0.59,medium,4,Night
