station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL04,Central Secretariat,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 06:00:00,6,0,0,1338,5,13.7,0.0,Clear,1,New Year,1338,0,267.6,0.399,medium,3,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 07:00:00,7,0,0,4675,8,17.7,0.0,Cloudy,1,New Year,6013,0,584.4,0.872,high,5,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 08:00:00,8,0,0,15476,20,18.6,0.0,Clear,1,New Year,21489,1,773.8,1.0,high,5,Morning Peak
YL04,Central Secretariat,Yellow Line,2024-01-01 09:00:00,9,0,0,18834,20,18.5,0.0,Clear,1,New Year,38985,1,941.7,1.0,high,5,Morning Peak
YL04,Central Secretariat,Yellow Line,2024-01-01 10:00:00,10,0,0,11470,20,18.5,0.0,Clear,1,New Year,45780,1,573.5,0.856,high,5,Morning Peak
YL04,Central Secretariat,Yellow Line,2024-01-01 11:00:00,11,0,0,8492,10,17.5,0.0,Clear,1,New Year,38796,0,849.2,1.0,high,5,Mid Morning
YL04,Central Secretariat,Yellow Line,2024-01-01 12:00:00,12,0,0,7735,10,18.0,0.0,Clear,1,New Year,27697,0,773.5,1.0,high,5,Mid Morning
YL04,Central Secretariat,Yellow Line,2024-01-01 13:00:00,13,0,0,7565,10,16.1,0.0,Clear,1,New Year,23792,0,756.5,1.0,high,5,Mid Morning
YL04,Central Secretariat,Yellow Line,2024-01-01 14:00:00,14,0,0,7127,10,14.7,0.0,Clear,1,New Year,22427,0,712.7,1.0,high,5,Afternoon
YL04,Central Secretariat,Yellow Line,2024-01-01 15:00:00,15,0,0,7041,10,12.4,0.0,Clear,1,New Year,21733,0,704.1,1.0,high,5,Afternoon
YL04,Central Secretariat,Yellow Line,2024-01-01 16:00:00,16,0,0,8679,10,12.0,0.0,Clear,1,New Year,22847,0,867.9,1.0,high,5,Afternoon
YL04,Central Secretariat,Yellow Line,2024-01-01 17:00:00,17,0,0,13126,18,12.6,0.0,Clear,1,New Year,28846,1,729.2,1.0,high,5,Evening Peak
YL04,Central Secretariat,Yellow Line,2024-01-01 18:00:00,18,0,0,15490,18,11.8,0.0,Clear,1,New Year,37295,1,860.6,1.0,high,5,Evening Peak
YL04,Central Secretariat,Yellow Line,2024-01-01 19:00:00,19,0,0,15382,18,9.4,0.0,Clear,1,New Year,43998,1,854.6,1.0,high,5,Evening Peak
YL04,Central Secretariat,Yellow Line,2024-01-01 20:00:00,20,0,0,11713,18,9.6,0.0,Clear,1,New Year,42585,1,650.7,0.971,high,5,Evening Peak
YL04,Central Secretariat,Yellow Line,2024-01-01 21:00:00,21,0,0,5015,7,8.6,0.0,Clear,1,New Year,32110,0,716.4,1.0,high,5,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 22:00:00,22,0,0,2220,7,10.3,0.0,Clear,1,New Year,18948,0,317.1,0.473,medium,3,Night
YL04,Central Secretariat,Yellow Line,2024-01-01 23:00:00,23,0,0,661,0,10.5,0.0,Clear,1,New Year,7896,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,2881,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,661,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 06:00:00,6,1,0,948,5,14.5,0.0,Clear,0,,948,0,189.6,0.283,low,2,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 07:00:00,7,1,0,3375,8,16.3,0.0,Clear,0,,4323,0,421.9,0.63,medium,4,Night
YL04,Central Secretariat,Yellow Line,2024-01-02 08:00:00,8,1,0,11535,20,17.4,0.0,Cloudy,0,,15858,1,576.8,0.861,high,5,Morning Peak
YL04,Central Secretariat,Yellow Line,2024-01-02 09:00:00,9,1,0,12489,20,18.4,0.0,Clear,0,,27399,1,624.5,0.932,high,5,Morning Peak
YL04,Central Secretariat,Yellow Line,2024-01-02 10:00:00,10,1,0,9255,20,20.4,0.0,Cloudy,0,,33279,1,462.8,0.691,high,4,Morning Peak
YL04,Central Secretariat,Yellow Line,2024-01-02 11:00:00,11,1,0,5732,10,19.8,0.0,Cloudy,0,,27476,0,573.2,0.855,high,5,Mid Morning
YL04,Central Secretariat,Yellow Line,2024-01-02 12:00:00,12,1,0,6266,10,18.2,0.0,Clear,0,,21253,0,626.6,0.935,high,5,Mid Morning
YL04,Central Secretariat,Yellow Line,2024-01-02 13:00:00,13,1,0,5169,10,16.1,0.0,Clear,0,,17167,0,516.9,0.771,high,5,Mid Morning
YL04,Central Secretariat,Yellow Line,2024-01-02 14:00:00,14,1,0,4768,10,14.6,0.0,Clear,0,,16203,0,476.8,0.712,high,4,Afternoon
YL04,Central Secretariat,Yellow Line,2024-01-02 15:00:00,15,1,0,5321,10,13.0,0.0,Clear,0,,15258,0,532.1,0.794,high,5,Afternoon
YL04,Central Secretariat,Yellow Line,2024-01-02 16:00:00,16,1,0,6955,10,11.6,0.0,Clear,0,,17044,0,695.5,1.0,high,5,Afternoon
YL04,Central Secretariat,Yellow Line,2024-01-02 17:00:00,17,1,0,9549,18,11.3,0.0,Clear,0,,21825,1,530.5,0.792,high,5,Evening Peak
YL04,Central Secretariat,Yellow Line,2024-01-02 18:00:00,18,1,0,11309,18,11.6,0.0,Clear,0,,27813,1,628.3,0.938,high,5,Evening Peak
YL04,Central Secretariat,Yellow Line,2024-01-02 19:00:00,19,1,0,10576,18,10.7,0.0,Clear,0,,31434,1,587.6,0.877,high,5,Evening Peak
YL04,Central Secretariat,Yellow Line,2024-01-02 20:00:00,20,1,0,8574,18,11.3,0.0,Clear,0,,30459,1,476.3,0.711,high,4,Evening Peak
