station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL05,Chandni Chowk,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 06:00:00,6,0,0,480,5,13.7,0.0,Clear,1,New Year,480,0,96.0,0.378,medium,3,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 07:00:00,7,0,0,1933,8,17.7,0.0,Cloudy,1,New Year,2413,0,241.6,0.95,high,5,Night
YL05,Chandni Chowk,Yellow Line,2024-01-01 08:00:00,8,0,0,5338,20,18.6,0.0,Clear,1,New Year,7751,1,266.9,1.0,high,5,Morning Peak
YL05,Chandni Chowk,Yellow Line,2024-01-01 09:00:00,9,0,0,6493,20,18.5,0.0,Clear,1,New Year,13764,1,324.6,1.0,high,5,Morning Peak
YL05,Chandni Chowk,Yellow Line,2024-01-01 10:00:00,10,0,0,4070,20,18.5,0.0,Clear,1,New Year,15901,1,203.5,0.801,high,5,Morning Peak
YL05,Chandni Chowk,Yellow Line,2024-01-01 11:00:00,11,0,0,3298,10,17.5,0.0,Clear,1,New Year,13861,0,329.8,1.0,high,5,Mid Morning
YL05,Chandni Chowk,Yellow Line,2024-01-01 12:00:00,12,0,0,3209,10,18.0,0.0,Clear,1,New Year,10577,0,320.9,1.0,high,5,Mid Morning
YL05,Chandni Chowk,Yellow Line,2024-01-01 13:00:00,13,0,0,2590,10,16.1,0.0,Clear,1,New Year,9097,0,259.0,1.0,high,5,Mid Morning
YL05,Chandni Chowk,Yellow Line,2024-01-01 14:00:00,14,0,0,2612,10,14.7,0.0,Clear,1,New Year,8411,0,261.2,1.0,high,5,Afternoon
YL05,Chandni Chowk,Yellow Line,2024-01-01 15:00:00,15,0,0,2735,10,12.4,0.0,Clear,1,New Year,7937,0,273.5,1.0,high,5,Afternoon
YL05,Chandni Chowk,Yellow Line,2024-01-01 16:00:00,16,0,0,3264,10,12.0,0.0,Clear,1,New Year,8611,0,326.4,1.0,high,5,Afternoon
YL05,Chandni Chowk,Yellow Line,2024-01-01 17:00:00,17,0,0,4982,18,12.6,0.0,Clear,1,New Year,10981,1,276.8,1.0,high,5,Evening Peak
