station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL06,Chawri Bazar,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 06:00:00,6,0,0,78,5,13.7,0.0,Clear,1,New Year,78,0,15.6,0.371,medium,3,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 07:00:00,7,0,0,300,8,17.7,0.0,Cloudy,1,New Year,378,0,37.5,0.891,high,5,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 08:00:00,8,0,0,913,20,18.6,0.0,Clear,1,New Year,1291,1,45.6,1.0,high,5,Morning Peak
YL06,Chawri Bazar,Yellow Line,2024-01-01 09:00:00,9,0,0,1172,20,18.5,0.0,Clear,1,New Year,2385,1,58.6,1.0,high,5,Morning Peak
YL06,Chawri Bazar,Yellow Line,2024-01-01 10:00:00,10,0,0,736,20,18.5,0.0,Clear,1,New Year,2821,1,36.8,0.874,high,5,Morning Peak
YL06,Chawri Bazar,Yellow Line,2024-01-01 11:00:00,11,0,0,511,10,17.5,0.0,Clear,1,New Year,2419,0,51.1,1.0,high,5,Mid Morning
YL06,Chawri Bazar,Yellow Line,2024-01-01 12:00:00,12,0,0,523,10,18.0,0.0,Clear,1,New Year,1770,0,52.3,1.0,high,5,Mid Morning
YL06,Chawri Bazar,Yellow Line,2024-01-01 13:00:00,13,0,0,439,10,16.1,0.0,Clear,1,New Year,1473,0,43.9,1.0,high,5,Mid Morning
YL06,Chawri Bazar,Yellow Line,2024-01-01 14:00:00,14,0,0,452,10,14.7,0.0,Clear,1,New Year,1414,0,45.2,1.0,high,5,Afternoon
YL06,Chawri Bazar,Yellow Line,2024-01-01 15:00:00,15,0,0,485,10,12.4,0.0,Clear,1,New Year,1376,0,48.5,1.0,high,5,Afternoon
YL06,Chawri Bazar,Yellow Line,2024-01-01 16:00:00,16,0,0,581,10,12.0,0.0,Clear,1,New Year,1518,0,58.1,1.0,high,5,Afternoon
YL06,Chawri Bazar,Yellow Line,2024-01-01 17:00:00,17,0,0,834,18,12.6,0.0,Clear,1,New Year,1900,1,46.3,1.0,high,5,Evening Peak
YL06,Chawri Bazar,Yellow Line,2024-01-01 18:00:00,18,0,0,1040,18,11.8,0.0,Clear,1,New Year,2455,1,57.8,1.0,high,5,Evening Peak
YL06,Chawri Bazar,Yellow Line,2024-01-01 19:00:00,19,0,0,966,18,9.4,0.0,Clear,1,New Year,2840,1,53.7,1.0,high,5,Evening Peak
YL06,Chawri Bazar,Yellow Line,2024-01-01 20:00:00,20,0,0,650,18,9.6,0.0,Clear,1,New Year,2656,1,36.1,0.857,high,5,Evening Peak
YL06,Chawri Bazar,Yellow Line,2024-01-01 21:00:00,21,0,0,298,7,8.6,0.0,Clear,1,New Year,1914,0,42.6,1.0,high,5,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 22:00:00,22,0,0,128,7,10.3,0.0,Clear,1,New Year,1076,0,18.3,0.435,medium,3,Night
YL06,Chawri Bazar,Yellow Line,2024-01-01 23:00:00,23,0,0,42,0,10.5,0.0,Clear,1,New Year,468,0,0.0,0.0,low,1,Night
