station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL07,Chhatarpur,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 06:00:00,6,0,0,69,5,13.7,0.0,Clear,1,New Year,69,0,13.8,0.394,medium,3,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 07:00:00,7,0,0,234,8,17.7,0.0,Cloudy,1,New Year,303,0,29.2,0.834,high,5,Night
YL07,Chhatarpur,Yellow Line,2024-01-01 08:00:00,8,0,0,737,20,18.6,0.0,Clear,1,New Year,1040,1,36.9,1.0,high,5,Morning Peak
YL07,Chhatarpur,Yellow Line,2024-01-01 09:00:00,9,0,0,963,20,18.5,0.0,Clear,1,New Year,1934,1,48.1,1.0,high,5,Morning Peak
YL07,Chhatarpur,Yellow Line,2024-01-01 10:00:00,10,0,0,566,20,18.5,0.0,Clear,1,New Year,2266,1,28.3,0.809,high,5,Morning Peak
YL07,Chhatarpur,Yellow Line,2024-01-01 11:00:00,11,0,0,402,10,17.5,0.0,Clear,1,New Year,1931,0,40.2,1.0,high,5,Mid Morning
YL07,Chhatarpur,Yellow Line,2024-01-01 12:00:00,12,0,0,431,10,18.0,0.0,Clear,1,New Year,1399,0,43.1,1.0,high,5,Mid Morning
YL07,Chhatarpur,Yellow Line,2024-01-01 13:00:00,13,0,0,355,10,16.1,0.0,Clear,1,New Year,1188,0,35.5,1.0,high,5,Mid Morning
YL07,Chhatarpur,Yellow Line,2024-01-01 14:00:00,14,0,0,335,10,14.7,0.0,Clear,1,New Year,1121,0,33.5,0.957,high,5,Afternoon
YL07,Chhatarpur,Yellow Line,2024-01-01 15:00:00,15,0,0,368,10,12.4,0.0,Clear,1,New Year,1058,0,36.8,1.0,high,5,Afternoon
