station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL08,GTB Nagar,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 06:00:00,6,0,0,75,5,13.7,0.0,Clear,1,New Year,75,0,15.0,0.39,medium,3,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 07:00:00,7,0,0,282,8,17.7,0.0,Cloudy,1,New Year,357,0,35.2,0.914,high,5,Night
YL08,GTB Nagar,Yellow Line,2024-01-01 08:00:00,8,0,0,907,20,18.6,0.0,Clear,1,New Year,1264,1,45.4,1.0,high,5,Morning Peak
YL08,GTB Nagar,Yellow Line,2024-01-01 09:00:00,9,0,0,948,20,18.5,0.0,Clear,1,New Year,2137,1,47.4,1.0,high,5,Morning Peak
YL08,GTB Nagar,Yellow Line,2024-01-01 10:00:00,10,0,0,645,20,18.5,0.0,Clear,1,New Year,2500,1,32.2,0.836,high,5,Morning Peak
YL08,GTB Nagar,Yellow Line,2024-01-01 11:00:00,11,0,0,490,10,17.5,0.0,Clear,1,New Year,2083,0,49.0,1.0,high,5,Mid Morning
YL08,GTB Nagar,Yellow Line,2024-01-01 12:00:00,12,0,0,467,10,18.0,0.0,Clear,1,New Year,1602,0,46.7,1.0,high,5,Mid Morning
YL08,GTB Nagar,Yellow Line,2024-01-01 13:00:00,13,0,0,416,10,16.1,0.0,Clear,1,New Year,1373,0,41.6,1.0,high,5,Mid Morning
YL08,GTB Nagar,Yellow Line,2024-01-01 14:00:00,14,0,0,409,10,14.7,0.0,Clear,1,New Year,1292,0,40.9,1.0,high,5,Afternoon
YL08,GTB Nagar,Yellow Line,2024-01-01 15:00:00,15,0,0,449,10,12.4,0.0,Clear,1,New Year,1274,0,44.9,1.0,high,5,Afternoon
