station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL09,Guru Dronacharya,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 06:00:00,6,0,0,63,5,13.7,0.0,Clear,1,New Year,63,0,12.6,0.362,medium,3,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 07:00:00,7,0,0,257,8,17.7,0.0,Cloudy,1,New Year,320,0,32.1,0.923,high,5,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 08:00:00,8,0,0,753,20,18.6,0.0,Clear,1,New Year,1073,1,37.6,1.0,high,5,Morning Peak
YL09,Guru Dronacharya,Yellow Line,2024-01-01 09:00:00,9,0,0,979,20,18.5,0.0,Clear,1,New Year,1989,1,49.0,1.0,high,5,Morning Peak
YL09,Guru Dronacharya,Yellow Line,2024-01-01 10:00:00,10,0,0,640,20,18.5,0.0,Clear,1,New Year,2372,1,32.0,0.92,high,5,Morning Peak
YL09,Guru Dronacharya,Yellow Line,2024-01-01 11:00:00,11,0,0,407,10,17.5,0.0,Clear,1,New Year,2026,0,40.7,1.0,high,5,Mid Morning
YL09,Guru Dronacharya,Yellow Line,2024-01-01 12:00:00,12,0,0,393,10,18.0,0.0,Clear,1,New Year,1440,0,39.3,1.0,high,5,Mid Morning
YL09,Guru Dronacharya,Yellow Line,2024-01-01 13:00:00,13,0,0,407,10,16.1,0.0,Clear,1,New Year,1207,0,40.7,1.0,high,5,Mid Morning
YL09,Guru Dronacharya,Yellow Line,2024-01-01 14:00:00,14,0,0,329,10,14.7,0.0,Clear,1,New Year,1129,0,32.9,0.946,high,5,Afternoon
YL09,Guru Dronacharya,Yellow Line,2024-01-01 15:00:00,15,0,0,389,10,12.4,0.0,Clear,1,New Year,1125,0,38.9,1.0,high,5,Afternoon
YL09,Guru Dronacharya,Yellow Line,2024-01-01 16:00:00,16,0,0,481,10,12.0,0.0,Clear,1,New Year,1199,0,48.1,1.0,high,5,Afternoon
YL09,Guru Dronacharya,Yellow Line,2024-01-01 17:00:00,17,0,0,673,18,12.6,0.0,Clear,1,New Year,1543,1,37.4,1.0,high,5,Evening Peak
YL09,Guru Dronacharya,Yellow Line,2024-01-01 18:00:00,18,0,0,873,18,11.8,0.0,Clear,1,New Year,2027,1,48.5,1.0,high,5,Evening Peak
YL09,Guru Dronacharya,Yellow Line,2024-01-01 19:00:00,19,0,0,803,18,9.4,0.0,Clear,1,New Year,2349,1,44.6,1.0,high,5,Evening Peak
YL09,Guru Dronacharya,Yellow Line,2024-01-01 20:00:00,20,0,0,574,18,9.6,0.0,Clear,1,New Year,2250,1,31.9,0.918,high,5,Evening Peak
YL09,Guru Dronacharya,Yellow Line,2024-01-01 21:00:00,21,0,0,270,7,8.6,0.0,Clear,1,New Year,1647,0,38.6,1.0,high,5,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 22:00:00,22,0,0,116,7,10.3,0.0,Clear,1,New Year,960,0,16.6,0.477,medium,3,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-01 23:00:00,23,0,0,35,0,10.5,0.0,Clear,1,New Year,421,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,151,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,35,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 06:00:00,6,1,0,54,5,14.5,0.0,Clear,0,,54,0,10.8,0.311,low,2,Night
YL09,Guru Dronacharya,Yellow Line,2024-01-02 07:00:00,7,1,0,178,8,16.3,0.0,Clear,0,,232,0,22.2,0.639,medium,4,Night
