station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL10,Hauz Khas,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 06:00:00,6,0,0,1183,5,13.7,0.0,Clear,1,New Year,1183,0,236.6,0.371,medium,3,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 07:00:00,7,0,0,4648,8,17.7,0.0,Cloudy,1,New Year,5831,0,581.0,0.91,high,5,Night
YL10,Hauz Khas,Yellow Line,2024-01-01 08:00:00,8,0,0,13209,20,18.6,0.0,Clear,1,New Year,19040,1,660.5,1.0,high,5,Morning Peak
YL10,Hauz Khas,Yellow Line,2024-01-01 09:00:00,9,0,0,17112,20,18.5,0.0,Clear,1,New Year,34969,1,855.6,1.0,high,5,Morning Peak
YL10,Hauz Khas,Yellow Line,2024-01-01 10:00:00,10,0,0,11990,20,18.5,0.0,Clear,1,New Year,42311,1,599.5,0.939,high,5,Morning Peak
YL10,Hauz Khas,Yellow Line,2024-01-01 11:00:00,11,0,0,7337,10,17.5,0.0,Clear,1,New Year,36439,0,733.7,1.0,high,5,Mid Morning
YL10,Hauz Khas,Yellow Line,2024-01-01 12:00:00,12,0,0,7372,10,18.0,0.0,Clear,1,New Year,26699,0,737.2,1.0,high,5,Mid Morning
