station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL11,Huda City Center,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-01 06:00:00,6,0,0,111,5,13.7,0.0,Clear,1,New Year,111,0,22.2,0.396,medium,3,Night
YL11,Huda City Center,Yellow Line,2024-01-01 07:00:00,7,0,0,384,8,17.7,0.0,Cloudy,1,New Year,495,0,48.0,0.856,high,5,Night
YL11,Huda City Center,Yellow Line,2024-01-01 08:00:00,8,0,0,1309,20,18.6,0.0,Clear,1,New Year,1804,1,65.5,1.0,high,5,Morning Peak
YL11,Huda City Center,Yellow Line,2024-01-01 09:00:00,9,0,0,1354,20,18.5,0.0,Clear,1,New Year,3047,1,67.7,1.0,high,5,Morning Peak
YL11,Huda City Center,Yellow Line,2024-01-01 10:00:00,10,0,0,929,20,18.5,0.0,Clear,1,New Year,3592,1,46.5,0.829,high,5,Morning Peak
YL11,Huda City Center,Yellow Line,2024-01-01 11:00:00,11,0,0,727,10,17.5,0.0,Clear,1,New Year,3010,0,72.7,1.0,high,5,Mid Morning
YL11,Huda City Center,Yellow Line,2024-01-01 12:00:00,12,0,0,634,10,18.0,0.0,Clear,1,New Year,2290,0,63.4,1.0,high,5,Mid Morning
YL11,Huda City Center,Yellow Line,2024-01-01 13:00:00,13,0,0,578,10,16.1,0.0,Clear,1,New Year,1939,0,57.8,1.0,high,5,Mid Morning
YL11,Huda City Center,Yellow Line,2024-01-01 14:00:00,14,0,0,534,10,14.7,0.0,Clear,1,New Year,1746,0,53.4,0.952,high,5,Afternoon
YL11,Huda City Center,Yellow Line,2024-01-01 15:00:00,15,0,0,590,10,12.4,0.0,Clear,1,New Year,1702,0,59.0,1.0,high,5,Afternoon
YL11,Huda City Center,Yellow Line,2024-01-01 16:00:00,16,0,0,722,10,12.0,0.0,Clear,1,New Year,1846,0,72.2,1.0,high,5,Afternoon
YL11,Huda City Center,Yellow Line,2024-01-01 17:00:00,17,0,0,1101,18,12.6,0.0,Clear,1,New Year,2413,1,61.2,1.0,high,5,Evening Peak
YL11,Huda City Center,Yellow Line,2024-01-01 18:00:00,18,0,0,1368,18,11.8,0.0,Clear,1,New Year,3191,1,76.0,1.0,high,5,Evening Peak
YL11,Huda City Center,Yellow Line,2024-01-01 19:00:00,19,0,0,1274,18,9.4,0.0,Clear,1,New Year,3743,1,70.8,1.0,high,5,Evening Peak
YL11,Huda City Center,Yellow Line,2024-01-01 20:00:00,20,0,0,868,18,9.6,0.0,Clear,1,New Year,3510,1,48.2,0.859,high,5,Evening Peak
YL11,Huda City Center,Yellow Line,2024-01-01 21:00:00,21,0,0,424,7,8.6,0.0,Clear,1,New Year,2566,0,60.6,1.0,high,5,Night
YL11,Huda City Center,Yellow Line,2024-01-01 22:00:00,22,0,0,174,7,10.3,0.0,Clear,1,New Year,1466,0,24.9,0.444,medium,3,Night
YL11,Huda City Center,Yellow Line,2024-01-01 23:00:00,23,0,0,55,0,10.5,0.0,Clear,1,New Year,653,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,229,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,55,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL11,Huda City Center,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
