station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL13,INA,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL13,INA,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL13,INA,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL13,INA,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL13,INA,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL13,INA,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL13,INA,Yellow Line,2024-01-01 06:00:00,6,0,0,145,5,13.7,0.0,Clear,1,New Year,145,0,29.0,0.37,medium,3,Night
YL13,INA,Yellow Line,2024-01-01 07:00:00,7,0,0,532,8,17.7,0.0,Cloudy,1,New Year,677,0,66.5,0.848,high,5,Night
YL13,INA,Yellow Line,2024-01-01 08:00:00,8,0,0,1863,20,18.6,0.0,Clear,1,New Year,2540,1,93.2,1.0,high,5,Morning Peak
YL13,INA,Yellow Line,2024-01-01 09:00:00,9,0,0,2068,20,18.5,0.0,Clear,1,New Year,4463,1,103.4,1.0,high,5,Morning Peak
YL13,INA,Yellow Line,2024-01-01 10:00:00,10,0,0,1315,20,18.5,0.0,Clear,1,New Year,5246,1,65.8,0.839,high,5,Morning Peak
YL13,INA,Yellow Line,2024-01-01 11:00:00,11,0,0,950,10,17.5,0.0,Clear,1,New Year,4333,0,95.0,1.0,high,5,Mid Morning
YL13,INA,Yellow Line,2024-01-01 12:00:00,12,0,0,998,10,18.0,0.0,Clear,1,New Year,3263,0,99.8,1.0,high,5,Mid Morning
YL13,INA,Yellow Line,2024-01-01 13:00:00,13,0,0,836,10,16.1,0.0,Clear,1,New Year,2784,0,83.6,1.0,high,5,Mid Morning
YL13,INA,Yellow Line,2024-01-01 14:00:00,14,0,0,785,10,14.7,0.0,Clear,1,New Year,2619,0,78.5,1.0,high,5,Afternoon
YL13,INA,Yellow Line,2024-01-01 15:00:00,15,0,0,850,10,12.4,0.0,Clear,1,New Year,2471,0,85.0,1.0,high,5,Afternoon
YL13,INA,Yellow Line,2024-01-01 16:00:00,16,0,0,1030,10,12.0,0.0,Clear,1,New Year,2665,0,103.0,1.0,high,5,Afternoon
