station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL14,Jahangirpuri,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 06:00:00,6,0,0,65,5,13.7,0.0,Clear,1,New Year,65,0,13.0,0.413,medium,3,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 07:00:00,7,0,0,218,8,17.7,0.0,Cloudy,1,New Year,283,0,27.2,0.864,high,5,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 08:00:00,8,0,0,748,20,18.6,0.0,Clear,1,New Year,1031,1,37.4,1.0,high,5,Morning Peak
YL14,Jahangirpuri,Yellow Line,2024-01-01 09:00:00,9,0,0,798,20,18.5,0.0,Clear,1,New Year,1764,1,39.9,1.0,high,5,Morning Peak
YL14,Jahangirpuri,Yellow Line,2024-01-01 10:00:00,10,0,0,506,20,18.5,0.0,Clear,1,New Year,2052,1,25.3,0.804,high,5,Morning Peak
YL14,Jahangirpuri,Yellow Line,2024-01-01 11:00:00,11,0,0,378,10,17.5,0.0,Clear,1,New Year,1682,0,37.8,1.0,high,5,Mid Morning
YL14,Jahangirpuri,Yellow Line,2024-01-01 12:00:00,12,0,0,359,10,18.0,0.0,Clear,1,New Year,1243,0,35.9,1.0,high,5,Mid Morning
YL14,Jahangirpuri,Yellow Line,2024-01-01 13:00:00,13,0,0,344,10,16.1,0.0,Clear,1,New Year,1081,0,34.4,1.0,high,5,Mid Morning
YL14,Jahangirpuri,Yellow Line,2024-01-01 14:00:00,14,0,0,313,10,14.7,0.0,Clear,1,New Year,1016,0,31.3,0.995,high,5,Afternoon
YL14,Jahangirpuri,Yellow Line,2024-01-01 15:00:00,15,0,0,322,10,12.4,0.0,Clear,1,New Year,979,0,32.2,1.0,high,5,Afternoon
YL14,Jahangirpuri,Yellow Line,2024-01-01 16:00:00,16,0,0,450,10,12.0,0.0,Clear,1,New Year,1085,0,45.0,1.0,high,5,Afternoon
YL14,Jahangirpuri,Yellow Line,2024-01-01 17:00:00,17,0,0,633,18,12.6,0.0,Clear,1,New Year,1405,1,35.2,1.0,high,5,Evening Peak
YL14,Jahangirpuri,Yellow Line,2024-01-01 18:00:00,18,0,0,745,18,11.8,0.0,Clear,1,New Year,1828,1,41.4,1.0,high,5,Evening Peak
YL14,Jahangirpuri,Yellow Line,2024-01-01 19:00:00,19,0,0,721,18,9.4,0.0,Clear,1,New Year,2099,1,40.1,1.0,high,5,Evening Peak
YL14,Jahangirpuri,Yellow Line,2024-01-01 20:00:00,20,0,0,553,18,9.6,0.0,Clear,1,New Year,2019,1,30.7,0.976,high,5,Evening Peak
YL14,Jahangirpuri,Yellow Line,2024-01-01 21:00:00,21,0,0,237,7,8.6,0.0,Clear,1,New Year,1511,0,33.9,1.0,high,5,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 22:00:00,22,0,0,106,7,10.3,0.0,Clear,1,New Year,896,0,15.1,0.48,medium,3,Night
YL14,Jahangirpuri,Yellow Line,2024-01-01 23:00:00,23,0,0,30,0,10.5,0.0,Clear,1,New Year,373,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,136,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,30,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 06:00:00,6,1,0,48,5,14.5,0.0,Clear,0,,48,0,9.6,0.305,low,2,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 07:00:00,7,1,0,175,8,16.3,0.0,Clear,0,,223,0,21.9,0.696,high,4,Night
YL14,Jahangirpuri,Yellow Line,2024-01-02 08:00:00,8,1,0,521,20,17.4,0.0,Cloudy,0,,744,1,26.1,0.829,high,5,Morning Peak
YL14,Jahangirpuri,Yellow Line,2024-01-02 09:00:00,9,1,0,564,20,18.4,0.0,Clear,0,,1260,1,28.2,0.896,high,5,Morning Peak
