station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 06:00:00,6,0,0,1106,5,13.7,0.0,Clear,1,New Year,1106,0,221.2,0.361,medium,3,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 07:00:00,7,0,0,4525,8,17.7,0.0,Cloudy,1,New Year,5631,0,565.6,0.922,high,5,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 08:00:00,8,0,0,12997,20,18.6,0.0,Clear,1,New Year,18628,1,649.9,1.0,high,5,Morning Peak
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 09:00:00,9,0,0,15246,20,18.5,0.0,Clear,1,New Year,32768,1,762.3,1.0,high,5,Morning Peak
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 10:00:00,10,0,0,10346,20,18.5,0.0,Clear,1,New Year,38589,1,517.3,0.844,high,5,Morning Peak
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 11:00:00,11,0,0,7452,10,17.5,0.0,Clear,1,New Year,33044,0,745.2,1.0,high,5,Mid Morning
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 12:00:00,12,0,0,7494,10,18.0,0.0,Clear,1,New Year,25292,0,749.4,1.0,high,5,Mid Morning
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 13:00:00,13,0,0,6586,10,16.1,0.0,Clear,1,New Year,21532,0,658.6,1.0,high,5,Mid Morning
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 14:00:00,14,0,0,6072,10,14.7,0.0,Clear,1,New Year,20152,0,607.2,0.99,high,5,Afternoon
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 15:00:00,15,0,0,6432,10,12.4,0.0,Clear,1,New Year,19090,0,643.2,1.0,high,5,Afternoon
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 16:00:00,16,0,0,8151,10,12.0,0.0,Clear,1,New Year,20655,0,815.1,1.0,high,5,Afternoon
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 17:00:00,17,0,0,13196,18,12.6,0.0,Clear,1,New Year,27779,1,733.1,1.0,high,5,Evening Peak
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 18:00:00,18,0,0,14996,18,11.8,0.0,Clear,1,New Year,36343,1,833.1,1.0,high,5,Evening Peak
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 19:00:00,19,0,0,13313,18,9.4,0.0,Clear,1,New Year,41505,1,739.6,1.0,high,5,Evening Peak
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 20:00:00,20,0,0,9945,18,9.6,0.0,Clear,1,New Year,38254,1,552.5,0.901,high,5,Evening Peak
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 21:00:00,21,0,0,4262,7,8.6,0.0,Clear,1,New Year,27520,0,608.9,0.993,high,5,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 22:00:00,22,0,0,1962,7,10.3,0.0,Clear,1,New Year,16169,0,280.3,0.457,medium,3,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-01 23:00:00,23,0,0,593,0,10.5,0.0,Clear,1,New Year,6817,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,2555,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,593,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 06:00:00,6,1,0,902,5,14.5,0.0,Clear,0,,902,0,180.4,0.294,low,2,Night
YL15,Kashmere Gate Metro,Yellow Line,2024-01-02 07:00:00,7,1,0,3448,8,16.3,0.0,Clear,0,,4350,0,431.0,0.703,high,4,Night
