station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL19,Patel Chowk,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 06:00:00,6,0,0,618,5,13.7,0.0,Clear,1,New Year,618,0,123.6,0.395,medium,3,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 07:00:00,7,0,0,2376,8,17.7,0.0,Cloudy,1,New Year,2994,0,297.0,0.95,high,5,Night
YL19,Patel Chowk,Yellow Line,2024-01-01 08:00:00,8,0,0,6981,20,18.6,0.0,Clear,1,New Year,9975,1,349.1,1.0,high,5,Morning Peak
YL19,Patel Chowk,Yellow Line,2024-01-01 09:00:00,9,0,0,7675,20,18.5,0.0,Clear,1,New Year,17032,1,383.8,1.0,high,5,Morning Peak
YL19,Patel Chowk,Yellow Line,2024-01-01 10:00:00,10,0,0,5182,20,18.5,0.0,Clear,1,New Year,19838,1,259.1,0.829,high,5,Morning Peak
YL19,Patel Chowk,Yellow Line,2024-01-01 11:00:00,11,0,0,3894,10,17.5,0.0,Clear,1,New Year,16751,0,389.4,1.0,high,5,Mid Morning
