station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 06:00:00,6,0,0,83,5,13.7,0.0,Clear,1,New Year,83,0,16.6,0.364,medium,3,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 07:00:00,7,0,0,350,8,17.7,0.0,Cloudy,1,New Year,433,0,43.8,0.961,high,5,Night
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 08:00:00,8,0,0,1063,20,18.6,0.0,Clear,1,New Year,1496,1,53.1,1.0,high,5,Morning Peak
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 09:00:00,9,0,0,1247,20,18.5,0.0,Clear,1,New Year,2660,1,62.4,1.0,high,5,Morning Peak
YL23,Vishwavidyalaya,Yellow Line,2024-01-01 10:00:00,10,0,0,812,20,18.5,0.0,Clear,1,New Year,3122,1,40.6,0.891,high,5,Morning Peak
