station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL24,Arjan Garh,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 06:00:00,6,0,0,52,5,13.7,0.0,Clear,1,New Year,52,0,10.4,0.41,medium,3,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 07:00:00,7,0,0,192,8,17.7,0.0,Cloudy,1,New Year,244,0,24.0,0.946,high,5,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 08:00:00,8,0,0,551,20,18.6,0.0,Clear,1,New Year,795,1,27.6,1.0,high,5,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-01 09:00:00,9,0,0,703,20,18.5,0.0,Clear,1,New Year,1446,1,35.1,1.0,high,5,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-01 10:00:00,10,0,0,454,20,18.5,0.0,Clear,1,New Year,1708,1,22.7,0.895,high,5,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-01 11:00:00,11,0,0,324,10,17.5,0.0,Clear,1,New Year,1481,0,32.4,1.0,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-01 12:00:00,12,0,0,304,10,18.0,0.0,Clear,1,New Year,1082,0,30.4,1.0,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-01 13:00:00,13,0,0,262,10,16.1,0.0,Clear,1,New Year,890,0,26.2,1.0,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-01 14:00:00,14,0,0,249,10,14.7,0.0,Clear,1,New Year,815,0,24.9,0.982,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-01 15:00:00,15,0,0,294,10,12.4,0.0,Clear,1,New Year,805,0,29.4,1.0,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-01 16:00:00,16,0,0,335,10,12.0,0.0,Clear,1,New Year,878,0,33.5,1.0,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-01 17:00:00,17,0,0,504,18,12.6,0.0,Clear,1,New Year,1133,1,28.0,1.0,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-01 18:00:00,18,0,0,604,18,11.8,0.0,Clear,1,New Year,1443,1,33.6,1.0,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-01 19:00:00,19,0,0,574,18,9.4,0.0,Clear,1,New Year,1682,1,31.9,1.0,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-01 20:00:00,20,0,0,428,18,9.6,0.0,Clear,1,New Year,1606,1,23.8,0.938,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-01 21:00:00,21,0,0,174,7,8.6,0.0,Clear,1,New Year,1176,0,24.9,0.982,high,5,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 22:00:00,22,0,0,83,7,10.3,0.0,Clear,1,New Year,685,0,11.9,0.469,medium,3,Night
YL24,Arjan Garh,Yellow Line,2024-01-01 23:00:00,23,0,0,24,0,10.5,0.0,Clear,1,New Year,281,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,107,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,24,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 06:00:00,6,1,0,38,5,14.5,0.0,Clear,0,,38,0,7.6,0.3,low,2,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 07:00:00,7,1,0,140,8,16.3,0.0,Clear,0,,178,0,17.5,0.69,high,4,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 08:00:00,8,1,0,404,20,17.4,0.0,Cloudy,0,,582,1,20.2,0.796,high,5,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-02 09:00:00,9,1,0,456,20,18.4,0.0,Clear,0,,1000,1,22.8,0.899,high,5,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-02 10:00:00,10,1,0,340,20,20.4,0.0,Cloudy,0,,1200,1,17.0,0.67,high,4,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-02 11:00:00,11,1,0,226,10,19.8,0.0,Cloudy,0,,1022,0,22.6,0.891,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-02 12:00:00,12,1,0,218,10,18.2,0.0,Clear,0,,784,0,21.8,0.859,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-02 13:00:00,13,1,0,212,10,16.1,0.0,Clear,0,,656,0,21.2,0.836,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-02 14:00:00,14,1,0,193,10,14.6,0.0,Clear,0,,623,0,19.3,0.761,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-02 15:00:00,15,1,0,191,10,13.0,0.0,Clear,0,,596,0,19.1,0.753,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-02 16:00:00,16,1,0,233,10,11.6,0.0,Clear,0,,617,0,23.3,0.919,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-02 17:00:00,17,1,0,391,18,11.3,0.0,Clear,0,,815,1,21.7,0.856,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-02 18:00:00,18,1,0,463,18,11.6,0.0,Clear,0,,1087,1,25.7,1.0,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-02 19:00:00,19,1,0,442,18,10.7,0.0,Clear,0,,1296,1,24.6,0.97,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-02 20:00:00,20,1,0,313,18,11.3,0.0,Clear,0,,1218,1,17.4,0.686,high,4,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-02 21:00:00,21,1,0,135,7,9.6,0.0,Clear,0,,890,0,19.3,0.761,high,5,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 22:00:00,22,1,0,56,7,9.8,0.0,Clear,0,,504,0,8.0,0.315,low,2,Night
YL24,Arjan Garh,Yellow Line,2024-01-02 23:00:00,23,1,0,18,0,9.3,0.0,Clear,0,,209,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,74,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,18,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 06:00:00,6,2,0,37,5,14.7,0.0,Cloudy,0,,37,0,7.4,0.292,low,2,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 07:00:00,7,2,0,145,8,16.2,0.0,Clear,0,,182,0,18.1,0.714,high,4,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 08:00:00,8,2,0,436,20,16.0,0.0,Clear,0,,618,1,21.8,0.859,high,5,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-03 09:00:00,9,2,0,495,20,19.3,0.0,Clear,0,,1076,1,24.8,0.978,high,5,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-03 10:00:00,10,2,0,298,20,18.1,0.0,Clear,0,,1229,1,14.9,0.587,medium,4,Morning Peak
YL24,Arjan Garh,Yellow Line,2024-01-03 11:00:00,11,2,0,232,10,17.9,0.0,Clear,0,,1025,0,23.2,0.915,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-03 12:00:00,12,2,0,214,10,18.4,0.0,Clear,0,,744,0,21.4,0.844,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-03 13:00:00,13,2,0,193,10,16.5,0.0,Clear,0,,639,0,19.3,0.761,high,5,Mid Morning
YL24,Arjan Garh,Yellow Line,2024-01-03 14:00:00,14,2,0,175,10,14.9,0.0,Clear,0,,582,0,17.5,0.69,high,4,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-03 15:00:00,15,2,0,216,10,12.6,0.0,Clear,0,,584,0,21.6,0.852,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-03 16:00:00,16,2,0,235,10,11.3,0.0,Clear,0,,626,0,23.5,0.926,high,5,Afternoon
YL24,Arjan Garh,Yellow Line,2024-01-03 17:00:00,17,2,0,377,18,10.7,0.0,Clear,0,,828,1,20.9,0.824,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-03 18:00:00,18,2,0,484,18,11.1,0.0,Clear,0,,1096,1,26.9,1.0,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-03 19:00:00,19,2,0,384,18,11.5,0.0,Cloudy,0,,1245,1,21.3,0.84,high,5,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-03 20:00:00,20,2,0,294,18,10.0,0.0,Clear,0,,1162,1,16.3,0.643,medium,4,Evening Peak
YL24,Arjan Garh,Yellow Line,2024-01-03 21:00:00,21,2,0,137,7,7.6,0.0,Clear,0,,815,0,19.6,0.773,high,5,Night
YL24,Arjan Garh,Yellow Line,2024-01-03 22:00:00,22,2,0,54,7,10.0,0.0,Clear,0,,485,0,7.7,0.304,low,2,Night
