station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL28,Green Park,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-01 06:00:00,6,0,0,69,5,13.7,0.0,Clear,1,New Year,69,0,13.8,0.409,medium,3,Night
YL28,Green Park,Yellow Line,2024-01-01 07:00:00,7,0,0,225,8,17.7,0.0,Cloudy,1,New Year,294,0,28.1,0.834,high,5,Night
YL28,Green Park,Yellow Line,2024-01-01 08:00:00,8,0,0,796,20,18.6,0.0,Clear,1,New Year,1090,1,39.8,1.0,high,5,Morning Peak
YL28,Green Park,Yellow Line,2024-01-01 09:00:00,9,0,0,828,20,18.5,0.0,Clear,1,New Year,1849,1,41.4,1.0,high,5,Morning Peak
YL28,Green Park,Yellow Line,2024-01-01 10:00:00,10,0,0,565,20,18.5,0.0,Clear,1,New Year,2189,1,28.2,0.837,high,5,Morning Peak
YL28,Green Park,Yellow Line,2024-01-01 11:00:00,11,0,0,432,10,17.5,0.0,Clear,1,New Year,1825,0,43.2,1.0,high,5,Mid Morning
YL28,Green Park,Yellow Line,2024-01-01 12:00:00,12,0,0,383,10,18.0,0.0,Clear,1,New Year,1380,0,38.3,1.0,high,5,Mid Morning
YL28,Green Park,Yellow Line,2024-01-01 13:00:00,13,0,0,354,10,16.1,0.0,Clear,1,New Year,1169,0,35.4,1.0,high,5,Mid Morning
YL28,Green Park,Yellow Line,2024-01-01 14:00:00,14,0,0,364,10,14.7,0.0,Clear,1,New Year,1101,0,36.4,1.0,high,5,Afternoon
YL28,Green Park,Yellow Line,2024-01-01 15:00:00,15,0,0,387,10,12.4,0.0,Clear,1,New Year,1105,0,38.7,1.0,high,5,Afternoon
YL28,Green Park,Yellow Line,2024-01-01 16:00:00,16,0,0,432,10,12.0,0.0,Clear,1,New Year,1183,0,43.2,1.0,high,5,Afternoon
YL28,Green Park,Yellow Line,2024-01-01 17:00:00,17,0,0,671,18,12.6,0.0,Clear,1,New Year,1490,1,37.3,1.0,high,5,Evening Peak
YL28,Green Park,Yellow Line,2024-01-01 18:00:00,18,0,0,817,18,11.8,0.0,Clear,1,New Year,1920,1,45.4,1.0,high,5,Evening Peak
YL28,Green Park,Yellow Line,2024-01-01 19:00:00,19,0,0,688,18,9.4,0.0,Clear,1,New Year,2176,1,38.2,1.0,high,5,Evening Peak
YL28,Green Park,Yellow Line,2024-01-01 20:00:00,20,0,0,536,18,9.6,0.0,Clear,1,New Year,2041,1,29.8,0.884,high,5,Evening Peak
YL28,Green Park,Yellow Line,2024-01-01 21:00:00,21,0,0,237,7,8.6,0.0,Clear,1,New Year,1461,0,33.9,1.0,high,5,Night
YL28,Green Park,Yellow Line,2024-01-01 22:00:00,22,0,0,113,7,10.3,0.0,Clear,1,New Year,886,0,16.1,0.478,medium,3,Night
YL28,Green Park,Yellow Line,2024-01-01 23:00:00,23,0,0,31,0,10.5,0.0,Clear,1,New Year,381,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,144,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,31,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-02 06:00:00,6,1,0,49,5,14.5,0.0,Clear,0,,49,0,9.8,0.291,low,2,Night
YL28,Green Park,Yellow Line,2024-01-02 07:00:00,7,1,0,193,8,16.3,0.0,Clear,0,,242,0,24.1,0.715,high,4,Night
YL28,Green Park,Yellow Line,2024-01-02 08:00:00,8,1,0,527,20,17.4,0.0,Cloudy,0,,769,1,26.4,0.783,high,5,Morning Peak
YL28,Green Park,Yellow Line,2024-01-02 09:00:00,9,1,0,655,20,18.4,0.0,Clear,0,,1375,1,32.8,0.973,high,5,Morning Peak
YL28,Green Park,Yellow Line,2024-01-02 10:00:00,10,1,0,434,20,20.4,0.0,Cloudy,0,,1616,1,21.7,0.644,medium,4,Morning Peak
YL28,Green Park,Yellow Line,2024-01-02 11:00:00,11,1,0,296,10,19.8,0.0,Cloudy,0,,1385,0,29.6,0.878,high,5,Mid Morning
YL28,Green Park,Yellow Line,2024-01-02 12:00:00,12,1,0,322,10,18.2,0.0,Clear,0,,1052,0,32.2,0.955,high,5,Mid Morning
YL28,Green Park,Yellow Line,2024-01-02 13:00:00,13,1,0,273,10,16.1,0.0,Clear,0,,891,0,27.3,0.81,high,5,Mid Morning
YL28,Green Park,Yellow Line,2024-01-02 14:00:00,14,1,0,247,10,14.6,0.0,Clear,0,,842,0,24.7,0.733,high,4,Afternoon
YL28,Green Park,Yellow Line,2024-01-02 15:00:00,15,1,0,278,10,13.0,0.0,Clear,0,,798,0,27.8,0.825,high,5,Afternoon
YL28,Green Park,Yellow Line,2024-01-02 16:00:00,16,1,0,331,10,11.6,0.0,Clear,0,,856,0,33.1,0.982,high,5,Afternoon
YL28,Green Park,Yellow Line,2024-01-02 17:00:00,17,1,0,524,18,11.3,0.0,Clear,0,,1133,1,29.1,0.864,high,5,Evening Peak
YL28,Green Park,Yellow Line,2024-01-02 18:00:00,18,1,0,565,18,11.6,0.0,Clear,0,,1420,1,31.4,0.932,high,5,Evening Peak
YL28,Green Park,Yellow Line,2024-01-02 19:00:00,19,1,0,557,18,10.7,0.0,Clear,0,,1646,1,30.9,0.917,high,5,Evening Peak
YL28,Green Park,Yellow Line,2024-01-02 20:00:00,20,1,0,407,18,11.3,0.0,Clear,0,,1529,1,22.6,0.671,high,4,Evening Peak
YL28,Green Park,Yellow Line,2024-01-02 21:00:00,21,1,0,179,7,9.6,0.0,Clear,0,,1143,0,25.6,0.76,high,5,Night
YL28,Green Park,Yellow Line,2024-01-02 22:00:00,22,1,0,84,7,9.8,0.0,Clear,0,,670,0,12.0,0.356,medium,3,Night
YL28,Green Park,Yellow Line,2024-01-02 23:00:00,23,1,0,25,0,9.3,0.0,Clear,0,,288,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,109,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,25,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
YL28,Green Park,Yellow Line,2024-01-03 06:00:00,6,2,0,46,5,14.7,0.0,Cloudy,0,,46,0,9.2,0.273,low,2,Night
YL28,Green Park,Yellow Line,2024-01-03 07:00:00,7,2,0,183,8,16.2,0.0,Clear,0,,229,0,22.9,0.68,high,4,Night
YL28,Green Park,Yellow Line,2024-01-03 08:00:00,8,2,0,531,20,16.0,0.0,Clear,0,,760,1,26.6,0.789,high,5,Morning Peak
