station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 06:00:00,6,0,0,50,5,13.7,0.0,Clear,1,New Year,50,0,10.0,0.356,medium,3,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 07:00:00,7,0,0,187,8,17.7,0.0,Cloudy,1,New Year,237,0,23.4,0.833,high,5,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 08:00:00,8,0,0,579,20,18.6,0.0,Clear,1,New Year,816,1,28.9,1.0,high,5,Morning Peak
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 09:00:00,9,0,0,760,20,18.5,0.0,Clear,1,New Year,1526,1,38.0,1.0,high,5,Morning Peak
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 10:00:00,10,0,0,519,20,18.5,0.0,Clear,1,New Year,1858,1,25.9,0.922,high,5,Morning Peak
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 11:00:00,11,0,0,344,10,17.5,0.0,Clear,1,New Year,1623,0,34.4,1.0,high,5,Mid Morning
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 12:00:00,12,0,0,361,10,18.0,0.0,Clear,1,New Year,1224,0,36.1,1.0,high,5,Mid Morning
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 13:00:00,13,0,0,296,10,16.1,0.0,Clear,1,New Year,1001,0,29.6,1.0,high,5,Mid Morning
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 14:00:00,14,0,0,294,10,14.7,0.0,Clear,1,New Year,951,0,29.4,1.0,high,5,Afternoon
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 15:00:00,15,0,0,334,10,12.4,0.0,Clear,1,New Year,924,0,33.4,1.0,high,5,Afternoon
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 16:00:00,16,0,0,352,10,12.0,0.0,Clear,1,New Year,980,0,35.2,1.0,high,5,Afternoon
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 17:00:00,17,0,0,580,18,12.6,0.0,Clear,1,New Year,1266,1,32.2,1.0,high,5,Evening Peak
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 18:00:00,18,0,0,648,18,11.8,0.0,Clear,1,New Year,1580,1,36.0,1.0,high,5,Evening Peak
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 19:00:00,19,0,0,605,18,9.4,0.0,Clear,1,New Year,1833,1,33.6,1.0,high,5,Evening Peak
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 20:00:00,20,0,0,465,18,9.6,0.0,Clear,1,New Year,1718,1,25.8,0.918,high,5,Evening Peak
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 21:00:00,21,0,0,207,7,8.6,0.0,Clear,1,New Year,1277,0,29.6,1.0,high,5,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 22:00:00,22,0,0,95,7,10.3,0.0,Clear,1,New Year,767,0,13.6,0.484,medium,3,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-01 23:00:00,23,0,0,28,0,10.5,0.0,Clear,1,New Year,330,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,123,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,28,0,0.0,0.0,low,1,Night
YL30,Haiderpur Badli Mor,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
