station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL31,Jor Bagh,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 06:00:00,6,0,0,72,5,13.7,0.0,Clear,1,New Year,72,0,14.4,0.396,medium,3,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 07:00:00,7,0,0,282,8,17.7,0.0,Cloudy,1,New Year,354,0,35.2,0.967,high,5,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 08:00:00,8,0,0,747,20,18.6,0.0,Clear,1,New Year,1101,1,37.4,1.0,high,5,Morning Peak
YL31,Jor Bagh,Yellow Line,2024-01-01 09:00:00,9,0,0,991,20,18.5,0.0,Clear,1,New Year,2020,1,49.5,1.0,high,5,Morning Peak
YL31,Jor Bagh,Yellow Line,2024-01-01 10:00:00,10,0,0,618,20,18.5,0.0,Clear,1,New Year,2356,1,30.9,0.849,high,5,Morning Peak
YL31,Jor Bagh,Yellow Line,2024-01-01 11:00:00,11,0,0,464,10,17.5,0.0,Clear,1,New Year,2073,0,46.4,1.0,high,5,Mid Morning
YL31,Jor Bagh,Yellow Line,2024-01-01 12:00:00,12,0,0,411,10,18.0,0.0,Clear,1,New Year,1493,0,41.1,1.0,high,5,Mid Morning
YL31,Jor Bagh,Yellow Line,2024-01-01 13:00:00,13,0,0,389,10,16.1,0.0,Clear,1,New Year,1264,0,38.9,1.0,high,5,Mid Morning
YL31,Jor Bagh,Yellow Line,2024-01-01 14:00:00,14,0,0,393,10,14.7,0.0,Clear,1,New Year,1193,0,39.3,1.0,high,5,Afternoon
YL31,Jor Bagh,Yellow Line,2024-01-01 15:00:00,15,0,0,424,10,12.4,0.0,Clear,1,New Year,1206,0,42.4,1.0,high,5,Afternoon
YL31,Jor Bagh,Yellow Line,2024-01-01 16:00:00,16,0,0,514,10,12.0,0.0,Clear,1,New Year,1331,0,51.4,1.0,high,5,Afternoon
YL31,Jor Bagh,Yellow Line,2024-01-01 17:00:00,17,0,0,801,18,12.6,0.0,Clear,1,New Year,1739,1,44.5,1.0,high,5,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-01 18:00:00,18,0,0,812,18,11.8,0.0,Clear,1,New Year,2127,1,45.1,1.0,high,5,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-01 19:00:00,19,0,0,855,18,9.4,0.0,Clear,1,New Year,2468,1,47.5,1.0,high,5,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-01 20:00:00,20,0,0,601,18,9.6,0.0,Clear,1,New Year,2268,1,33.4,0.918,high,5,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-01 21:00:00,21,0,0,283,7,8.6,0.0,Clear,1,New Year,1739,0,40.4,1.0,high,5,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 22:00:00,22,0,0,117,7,10.3,0.0,Clear,1,New Year,1001,0,16.7,0.459,medium,3,Night
YL31,Jor Bagh,Yellow Line,2024-01-01 23:00:00,23,0,0,33,0,10.5,0.0,Clear,1,New Year,433,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,150,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,33,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 06:00:00,6,1,0,56,5,14.5,0.0,Clear,0,,56,0,11.2,0.308,low,2,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 07:00:00,7,1,0,182,8,16.3,0.0,Clear,0,,238,0,22.8,0.626,medium,4,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 08:00:00,8,1,0,599,20,17.4,0.0,Cloudy,0,,837,1,29.9,0.821,high,5,Morning Peak
YL31,Jor Bagh,Yellow Line,2024-01-02 09:00:00,9,1,0,687,20,18.4,0.0,Clear,0,,1468,1,34.4,0.945,high,5,Morning Peak
YL31,Jor Bagh,Yellow Line,2024-01-02 10:00:00,10,1,0,468,20,20.4,0.0,Cloudy,0,,1754,1,23.4,0.643,medium,4,Morning Peak
YL31,Jor Bagh,Yellow Line,2024-01-02 11:00:00,11,1,0,349,10,19.8,0.0,Cloudy,0,,1504,0,34.9,0.959,high,5,Mid Morning
YL31,Jor Bagh,Yellow Line,2024-01-02 12:00:00,12,1,0,325,10,18.2,0.0,Clear,0,,1142,0,32.5,0.893,high,5,Mid Morning
YL31,Jor Bagh,Yellow Line,2024-01-02 13:00:00,13,1,0,305,10,16.1,0.0,Clear,0,,979,0,30.5,0.838,high,5,Mid Morning
YL31,Jor Bagh,Yellow Line,2024-01-02 14:00:00,14,1,0,294,10,14.6,0.0,Clear,0,,924,0,29.4,0.808,high,5,Afternoon
YL31,Jor Bagh,Yellow Line,2024-01-02 15:00:00,15,1,0,312,10,13.0,0.0,Clear,0,,911,0,31.2,0.857,high,5,Afternoon
YL31,Jor Bagh,Yellow Line,2024-01-02 16:00:00,16,1,0,337,10,11.6,0.0,Clear,0,,943,0,33.7,0.926,high,5,Afternoon
YL31,Jor Bagh,Yellow Line,2024-01-02 17:00:00,17,1,0,565,18,11.3,0.0,Clear,0,,1214,1,31.4,0.863,high,5,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-02 18:00:00,18,1,0,622,18,11.6,0.0,Clear,0,,1524,1,34.6,0.951,high,5,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-02 19:00:00,19,1,0,551,18,10.7,0.0,Clear,0,,1738,1,30.6,0.841,high,5,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-02 20:00:00,20,1,0,455,18,11.3,0.0,Clear,0,,1628,1,25.3,0.695,high,4,Evening Peak
YL31,Jor Bagh,Yellow Line,2024-01-02 21:00:00,21,1,0,199,7,9.6,0.0,Clear,0,,1205,0,28.4,0.78,high,5,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 22:00:00,22,1,0,79,7,9.8,0.0,Clear,0,,733,0,11.3,0.31,low,2,Night
YL31,Jor Bagh,Yellow Line,2024-01-02 23:00:00,23,1,0,28,0,9.3,0.0,Clear,0,,306,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,107,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,28,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
YL31,Jor Bagh,Yellow Line,2024-01-03 06:00:00,6,2,0,56,5,14.7,0.0,Cloudy,0,,56,0,11.2,0.308,low,2,Night
