station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 06:00:00,6,0,0,90,5,13.7,0.0,Clear,1,New Year,90,0,18.0,0.402,medium,3,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 07:00:00,7,0,0,343,8,17.7,0.0,Cloudy,1,New Year,433,0,42.9,0.958,high,5,Night
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 08:00:00,8,0,0,1065,20,18.6,0.0,Clear,1,New Year,1498,1,53.2,1.0,high,5,Morning Peak
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 09:00:00,9,0,0,1090,20,18.5,0.0,Clear,1,New Year,2498,1,54.5,1.0,high,5,Morning Peak
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 10:00:00,10,0,0,767,20,18.5,0.0,Clear,1,New Year,2922,1,38.4,0.857,high,5,Morning Peak
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 11:00:00,11,0,0,581,10,17.5,0.0,Clear,1,New Year,2438,0,58.1,1.0,high,5,Mid Morning
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 12:00:00,12,0,0,549,10,18.0,0.0,Clear,1,New Year,1897,0,54.9,1.0,high,5,Mid Morning
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 13:00:00,13,0,0,495,10,16.1,0.0,Clear,1,New Year,1625,0,49.5,1.0,high,5,Mid Morning
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 14:00:00,14,0,0,434,10,14.7,0.0,Clear,1,New Year,1478,0,43.4,0.969,high,5,Afternoon
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 15:00:00,15,0,0,473,10,12.4,0.0,Clear,1,New Year,1402,0,47.3,1.0,high,5,Afternoon
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 16:00:00,16,0,0,560,10,12.0,0.0,Clear,1,New Year,1467,0,56.0,1.0,high,5,Afternoon
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 17:00:00,17,0,0,999,18,12.6,0.0,Clear,1,New Year,2032,1,55.5,1.0,high,5,Evening Peak
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 18:00:00,18,0,0,1061,18,11.8,0.0,Clear,1,New Year,2620,1,58.9,1.0,high,5,Evening Peak
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 19:00:00,19,0,0,1043,18,9.4,0.0,Clear,1,New Year,3103,1,57.9,1.0,high,5,Evening Peak
YL32,Lok Kalyan Marg,Yellow Line,2024-01-01 20:00:00,20,0,0,685,18,9.6,0.0,Clear,1,New Year,2789,1,38.1,0.85,high,5,Evening Peak
