station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 06:00:00,6,0,0,94,5,13.7,0.0,Clear,1,New Year,94,0,18.8,0.359,medium,3,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 07:00:00,7,0,0,355,8,17.7,0.0,Cloudy,1,New Year,449,0,44.4,0.847,high,5,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 08:00:00,8,0,0,1205,20,18.6,0.0,Clear,1,New Year,1654,1,60.2,1.0,high,5,Morning Peak
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 09:00:00,9,0,0,1470,20,18.5,0.0,Clear,1,New Year,3030,1,73.5,1.0,high,5,Morning Peak
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 10:00:00,10,0,0,961,20,18.5,0.0,Clear,1,New Year,3636,1,48.0,0.916,high,5,Morning Peak
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 11:00:00,11,0,0,600,10,17.5,0.0,Clear,1,New Year,3031,0,60.0,1.0,high,5,Mid Morning
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 12:00:00,12,0,0,613,10,18.0,0.0,Clear,1,New Year,2174,0,61.3,1.0,high,5,Mid Morning
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 13:00:00,13,0,0,616,10,16.1,0.0,Clear,1,New Year,1829,0,61.6,1.0,high,5,Mid Morning
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 14:00:00,14,0,0,543,10,14.7,0.0,Clear,1,New Year,1772,0,54.3,1.0,high,5,Afternoon
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 15:00:00,15,0,0,604,10,12.4,0.0,Clear,1,New Year,1763,0,60.4,1.0,high,5,Afternoon
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 16:00:00,16,0,0,713,10,12.0,0.0,Clear,1,New Year,1860,0,71.3,1.0,high,5,Afternoon
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 17:00:00,17,0,0,1078,18,12.6,0.0,Clear,1,New Year,2395,1,59.9,1.0,high,5,Evening Peak
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 18:00:00,18,0,0,1343,18,11.8,0.0,Clear,1,New Year,3134,1,74.6,1.0,high,5,Evening Peak
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 19:00:00,19,0,0,1213,18,9.4,0.0,Clear,1,New Year,3634,1,67.4,1.0,high,5,Evening Peak
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 20:00:00,20,0,0,804,18,9.6,0.0,Clear,1,New Year,3360,1,44.7,0.853,high,5,Evening Peak
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 21:00:00,21,0,0,372,7,8.6,0.0,Clear,1,New Year,2389,0,53.1,1.0,high,5,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 22:00:00,22,0,0,176,7,10.3,0.0,Clear,1,New Year,1352,0,25.1,0.479,medium,3,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-01 23:00:00,23,0,0,47,0,10.5,0.0,Clear,1,New Year,595,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,223,0,0.0,0.0,low,1,Night
YL34,Millennium City Centre Gurugram,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,47,0,0.0,0.0,low,1,Night
