station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL36,Qutab Minar,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 06:00:00,6,0,0,74,5,13.7,0.0,Clear,1,New Year,74,0,14.8,0.377,medium,3,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 07:00:00,7,0,0,296,8,17.7,0.0,Cloudy,1,New Year,370,0,37.0,0.941,high,5,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 08:00:00,8,0,0,833,20,18.6,0.0,Clear,1,New Year,1203,1,41.6,1.0,high,5,Morning Peak
YL36,Qutab Minar,Yellow Line,2024-01-01 09:00:00,9,0,0,1091,20,18.5,0.0,Clear,1,New Year,2220,1,54.5,1.0,high,5,Morning Peak
YL36,Qutab Minar,Yellow Line,2024-01-01 10:00:00,10,0,0,733,20,18.5,0.0,Clear,1,New Year,2657,1,36.6,0.931,high,5,Morning Peak
YL36,Qutab Minar,Yellow Line,2024-01-01 11:00:00,11,0,0,504,10,17.5,0.0,Clear,1,New Year,2328,0,50.4,1.0,high,5,Mid Morning
YL36,Qutab Minar,Yellow Line,2024-01-01 12:00:00,12,0,0,509,10,18.0,0.0,Clear,1,New Year,1746,0,50.9,1.0,high,5,Mid Morning
YL36,Qutab Minar,Yellow Line,2024-01-01 13:00:00,13,0,0,396,10,16.1,0.0,Clear,1,New Year,1409,0,39.6,1.0,high,5,Mid Morning
YL36,Qutab Minar,Yellow Line,2024-01-01 14:00:00,14,0,0,424,10,14.7,0.0,Clear,1,New Year,1329,0,42.4,1.0,high,5,Afternoon
YL36,Qutab Minar,Yellow Line,2024-01-01 15:00:00,15,0,0,431,10,12.4,0.0,Clear,1,New Year,1251,0,43.1,1.0,high,5,Afternoon
YL36,Qutab Minar,Yellow Line,2024-01-01 16:00:00,16,0,0,549,10,12.0,0.0,Clear,1,New Year,1404,0,54.9,1.0,high,5,Afternoon
YL36,Qutab Minar,Yellow Line,2024-01-01 17:00:00,17,0,0,837,18,12.6,0.0,Clear,1,New Year,1817,1,46.5,1.0,high,5,Evening Peak
YL36,Qutab Minar,Yellow Line,2024-01-01 18:00:00,18,0,0,986,18,11.8,0.0,Clear,1,New Year,2372,1,54.8,1.0,high,5,Evening Peak
YL36,Qutab Minar,Yellow Line,2024-01-01 19:00:00,19,0,0,901,18,9.4,0.0,Clear,1,New Year,2724,1,50.1,1.0,high,5,Evening Peak
YL36,Qutab Minar,Yellow Line,2024-01-01 20:00:00,20,0,0,632,18,9.6,0.0,Clear,1,New Year,2519,1,35.1,0.893,high,5,Evening Peak
YL36,Qutab Minar,Yellow Line,2024-01-01 21:00:00,21,0,0,288,7,8.6,0.0,Clear,1,New Year,1821,0,41.1,1.0,high,5,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 22:00:00,22,0,0,130,7,10.3,0.0,Clear,1,New Year,1050,0,18.6,0.473,medium,3,Night
YL36,Qutab Minar,Yellow Line,2024-01-01 23:00:00,23,0,0,36,0,10.5,0.0,Clear,1,New Year,454,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,166,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,36,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 06:00:00,6,1,0,59,5,14.5,0.0,Clear,0,,59,0,11.8,0.3,low,2,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 07:00:00,7,1,0,211,8,16.3,0.0,Clear,0,,270,0,26.4,0.672,high,4,Night
YL36,Qutab Minar,Yellow Line,2024-01-02 08:00:00,8,1,0,604,20,17.4,0.0,Cloudy,0,,874,1,30.2,0.768,high,5,Morning Peak
YL36,Qutab Minar,Yellow Line,2024-01-02 09:00:00,9,1,0,712,20,18.4,0.0,Clear,0,,1527,1,35.6,0.906,high,5,Morning Peak
YL36,Qutab Minar,Yellow Line,2024-01-02 10:00:00,10,1,0,484,20,20.4,0.0,Cloudy,0,,1800,1,24.2,0.616,medium,4,Morning Peak
YL36,Qutab Minar,Yellow Line,2024-01-02 11:00:00,11,1,0,324,10,19.8,0.0,Cloudy,0,,1520,0,32.4,0.824,high,5,Mid Morning
YL36,Qutab Minar,Yellow Line,2024-01-02 12:00:00,12,1,0,345,10,18.2,0.0,Clear,0,,1153,0,34.5,0.878,high,5,Mid Morning
YL36,Qutab Minar,Yellow Line,2024-01-02 13:00:00,13,1,0,306,10,16.1,0.0,Clear,0,,975,0,30.6,0.779,high,5,Mid Morning
YL36,Qutab Minar,Yellow Line,2024-01-02 14:00:00,14,1,0,291,10,14.6,0.0,Clear,0,,942,0,29.1,0.74,high,4,Afternoon
YL36,Qutab Minar,Yellow Line,2024-01-02 15:00:00,15,1,0,329,10,13.0,0.0,Clear,0,,926,0,32.9,0.837,high,5,Afternoon
YL36,Qutab Minar,Yellow Line,2024-01-02 16:00:00,16,1,0,412,10,11.6,0.0,Clear,0,,1032,0,41.2,1.0,high,5,Afternoon
YL36,Qutab Minar,Yellow Line,2024-01-02 17:00:00,17,1,0,584,18,11.3,0.0,Clear,0,,1325,1,32.4,0.824,high,5,Evening Peak
YL36,Qutab Minar,Yellow Line,2024-01-02 18:00:00,18,1,0,684,18,11.6,0.0,Clear,0,,1680,1,38.0,0.967,high,5,Evening Peak
